Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
3,70,MIN,Pat Elflein,C,23,2022,0,0,3,26,20,65,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,College Stats,ElflPa00
3,71,LAC,Dan Feeney,G,23,2024,0,0,4,32,27,120,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats,FeenDa00
3,72,TEN,Taywan Taylor,WR,22,2020,0,0,0,6,6,35,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky,College Stats,TaylTa00
3,73,CIN,Jordan Willis,OLB,22,2022,0,0,0,8,4,69,0,0,0,0,0,0,0,0,0,0,0,55,,10.5,Kansas St.,College Stats,WillJo09
3,74,BAL,Chris Wormley,DE,23,2024,0,0,3,17,8,87,0,0,0,0,0,0,0,0,0,0,0,82,,11.0,Michigan,College Stats,WormCh00
3,75,ATL,Duke Riley,LB,23,2024,0,0,2,19,7,124,0,0,0,0,0,0,0,0,0,0,0,169,1,2.0,LSU,College Stats,RileDu00
3,76,NOR,Alex Anzalone,LB,22,2024,0,0,4,30,9,95,0,0,0,0,0,0,0,0,0,0,0,339,3,10.5,Florida,College Stats,AnzaAl00
3,77,CAR,Daeshon Hall,DE,22,2019,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Texas A&M,College Stats,HallDa01
3,78,BAL,Tim Williams,OLB,23,2019,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2.0,Alabama,College Stats,WillTi00
3,79,NYJ,ArDarius Stewart,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,College Stats,StewAr00
3,80,IND,Tarell Basham,DE,23,2022,0,0,1,13,1,82,0,0,0,0,0,0,0,0,0,0,0,70,1,11.0,Ohio,College Stats,BashTa00
3,81,WAS,Fabian Moreau,CB,23,2024,0,0,4,20,8,113,0,0,0,0,0,0,0,0,0,0,0,217,7,,UCLA,College Stats,MoreFa00
3,82,DEN,Carlos Henderson,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats,HendCa01
3,83,NWE,Derek Rivers,DE,23,2021,0,0,0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,11,,3.5,Youngstown St.,,RiveDe00
3,84,TAM,Chris Godwin,WR,21,2024,0,1,6,51,51,111,0,1,0,0,0,13,74,2,579,7266,39,8,,,Penn St.,College Stats,GodwCh00
