Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Tyler Ervin,HOU,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.90%,All Tyler Ervin red zone receiving plays
Gavin Escobar,DAL,1,1,100.00%,2,1,1.90%,1,1,100.00%,2,1,3.30%,All Gavin Escobar red zone receiving plays
George Farmer,SEA,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All George Farmer red zone receiving plays
Kenneth Farrow,SDG,1,0,0.00%,0,0,1.10%,0,0,,0,0,0.00%,All Kenneth Farrow red zone receiving plays
Arian Foster,MIA,1,0,0.00%,0,0,2.00%,1,0,0.00%,0,0,4.50%,All Arian Foster red zone receiving plays
Jalston Fowler,TEN,1,1,100.00%,14,0,1.50%,0,0,,0,0,0.00%,All Jalston Fowler red zone receiving plays
Ted Ginn,CAR,1,1,100.00%,13,0,1.50%,0,0,,0,0,0.00%,All Ted Ginn red zone receiving plays
Corey Grant,JAX,1,1,100.00%,15,1,1.50%,0,0,,0,0,0.00%,All Corey Grant red zone receiving plays
Rashad Greene,JAX,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Rashad Greene red zone receiving plays
Xavier Grimble,PIT,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,3.40%,All Xavier Grimble red zone receiving plays
Connor Hamlett,CLE,1,1,100.00%,17,1,1.80%,0,0,,0,0,0.00%,All Connor Hamlett red zone receiving plays
Je'Ron Hamm,SFO,1,0,0.00%,0,0,2.10%,0,0,,0,0,0.00%,All Je'Ron Hamm red zone receiving plays
DuJuan Harris,SFO,1,1,100.00%,4,0,2.10%,1,1,100.00%,4,0,5.30%,All DuJuan Harris red zone receiving plays
Dwayne Harris,NYG,1,1,100.00%,13,1,1.70%,0,0,,0,0,0.00%,All Dwayne Harris red zone receiving plays
Ronnie Hillman,SDG,1,0,0.00%,0,0,1.10%,0,0,,0,0,0.00%,All Ronnie Hillman red zone receiving plays
Akeem Hunt,HOU,1,1,100.00%,4,0,1.50%,0,0,,0,0,0.00%,All Akeem Hunt red zone receiving plays
David Johnson,PIT,1,1,100.00%,2,0,1.60%,1,1,100.00%,2,0,3.40%,All David Johnson red zone receiving plays
Dominique Jones,MIA,1,1,100.00%,1,1,2.00%,1,1,100.00%,1,1,4.50%,All Dominique Jones red zone receiving plays
Tavarres King,NYG,1,1,100.00%,6,0,1.70%,1,1,100.00%,6,0,3.80%,All Tavarres King red zone receiving plays
Tyler Kroft,CIN,1,1,100.00%,7,0,1.60%,0,0,,0,0,0.00%,All Tyler Kroft red zone receiving plays
Paul Lasike,CHI,1,1,100.00%,3,0,1.40%,1,1,100.00%,3,0,2.90%,All Paul Lasike red zone receiving plays
Cody Latimer,DEN,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,2.80%,All Cody Latimer red zone receiving plays
Matt Lengel,NWE,1,1,100.00%,18,1,1.40%,0,0,,0,0,0.00%,All Matt Lengel red zone receiving plays
Taylor Lewan,TEN,1,1,100.00%,10,1,1.50%,1,1,100.00%,10,1,3.30%,All Taylor Lewan red zone receiving plays
Alex Lewis,BAL,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.60%,All Alex Lewis red zone receiving plays
Roger Lewis,NYG,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.80%,All Roger Lewis red zone receiving plays
Bradley Marquez,LAR,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Bradley Marquez red zone receiving plays
Doug Martin,TAM,1,1,100.00%,1,0,1.50%,0,0,,0,0,0.00%,All Doug Martin red zone receiving plays
Ifeanyi Momah,ARI,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Ifeanyi Momah red zone receiving plays
Nick O'Leary,BUF,1,1,100.00%,6,0,2.00%,0,0,,0,0,0.00%,All Nick O'Leary red zone receiving plays
