Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
66.5,Zack Moss,IND,9.6,1.7,6.2,0.6,0.7,,,,,0.4,0.7,0.2,1.8,,8.1,8,7.4,21.1
8.2,Trestan Ebner,CHI,0,,2.3,4.8,0,0,0.8,-0.5,0,,0.8,0,0,,0,,0,0
11.2,Kevin Harris,NE,,,,,,0.5,,,,,,,-0.1,8.6,1.9,0.3,,
0,Mike Hilton,CIN,,,,,,,,,,,0,,,,,,,
0.7,Kylin Hill,GB,,,,,,,,,0.7,,,,,,,,,
1.7,Godwin Igwebuike,SEA,,,,,,,,,,,,,,,,,1.7,0
219.6,Alvin Kamara,NO,7.6,,9.3,,25.4,18.3,17.5,42.8,9.2,7.5,12.9,11,5.7,,12.4,19,9,12
117.9,Khalil Herbert,CHI,11.3,5.1,30.9,11.1,1.1,7.5,15.7,15.9,2.3,5.7,,,,,,2.3,3.1,5.9
4.8,Adam Prentice,NO,0,1.2,0,,,,,,,0,0,0,0.2,,1.3,0.5,1.6,0
51.1,Justin Jackson,DET,,,,8.7,1.4,,0.2,,2.7,4.8,8.7,2.9,5.3,10.1,4.1,-0.1,,2.3
18.1,Keaontay Ingram,ARZ,,,,,,0.7,11.7,,0.2,0.5,1.9,0.5,,0.1,0,0.2,0,2.3
157.4,Tyler Allgeier,ATL,,3,4,11.4,4.5,5.1,11,17.5,13.3,3.3,7.4,5.4,5.2,,20.6,15.7,16.5,13.5
7,Zamir White,LV,,0.2,,2.4,-0.7,,0.2,0,-0.1,-0.1,,2.8,0.6,0.9,0.4,,,0.4
2,Ty Chandler,MIN,,,,,,,,,,,,,,,,,,2
183.9,Devin Singletary,BUF,8.2,4.1,24.1,13.6,5.6,14.7,,9.3,8.8,17.7,17.7,9,11.1,5.3,10,20.5,,4.2
2.7,J.J. Taylor,NE,,,,,,,,,2.7,,,,,,,,,
11.1,David Johnson,NO,,,,,,,,,,,1.7,,,,1.2,3.4,0,4.8
304.2,Derrick Henry,TEN,8.2,8.5,25.3,23.7,27.2,,16.8,35.8,23.5,8.7,21.2,14.7,5.8,24,26.4,20.6,,13.8
54.1,Ameer Abdullah,LV,0,3.3,,0,,,2.7,6.8,1.8,7.3,3.5,14.5,0.4,3.7,3.4,4.7,0,2
0.3,Nick Bellore,SEA,0,0,,,,0,,,0,,,,0,0,,,0,0.3
10.2,Snoop Conner,JAX,,,,,,,,0,0,,,1.1,0.6,,0.3,0.5,7.7,0
22.8,Malcolm Brown,LA,,,,0,0,3.8,,1,2.9,,,,,3.7,0,3.1,8.3,
44,Justice Hill,BLT,3.1,1.6,6,7.7,,,2.6,2.8,2.9,,6.8,0.3,2.6,0,2.8,1.4,0,3.4
74.2,Chase Edmonds,DEN,10.5,5.1,15.7,10,0.1,5.1,1.7,1.4,,1.9,0.6,,,,,7.3,10.3,4.5
0,Xavier McKinney,NYG,,,,,,0,,,,,,,,,,,,
1.5,Ty'Son Williams,ARZ,,,,,,,,,,,,,,,,,,1.5
45,Raheem Blackshear,CAR,,,,,,,-0.5,0.1,15.3,3.2,3.4,2.1,,11.9,0,8.5,0.9,0.1
351,Christian McCaffrey,SF,15.7,16.8,13.5,25.8,23.4,22.8,8.2,34.9,,17.7,17.6,8.9,28.6,29.3,25.8,13.8,31.3,16.9
246.2,Dalvin Cook,MIN,13.8,7.6,15.6,10.6,26.1,15.3,,25.1,13.6,23.6,7.2,9.6,16.3,10.6,29,10.7,6.4,5.1
64.8,Joshua Kelley,LAC,5.5,3.5,2.3,1.5,16.2,0,,,,,,4,3,4.5,10.1,5.2,5.6,3.4
239.5,Joe Mixon,CIN,21.5,11.3,6.8,17.4,11.8,16.8,18.1,12.9,55.1,,9.2,,,12.6,10.4,17.8,,17.8
144.8,Rachaad White,TB,4.1,0.1,0,16.6,7.2,5.3,4.2,7.3,6.4,10.5,,19.9,18.9,12.4,5.3,15.3,9.8,1.5
0,Tory Carter,TEN,0,0,0,0,0,,,,,,0,,,,,,,
104.1,Kenyan Drake,BLT,5.6,0.8,,,3.7,19.7,0.5,16.7,24.9,,7.3,0.2,6.6,2.2,,,,15.9
139,Isiah Pacheco,KC,12.2,0.6,0.9,6.3,0,3.8,4.3,,1.9,8.2,10.7,15.6,16.2,12.3,10.7,10,12.9,12.4
53.6,Kyle Juszczyk,SF,0,6.1,3.4,5.4,4.7,7.3,6.4,,,0,0.4,2.2,10.2,2.7,0,0,0.9,3.9
228.2,Leonard Fournette,TB,15.7,9.4,12,18.4,35.9,22.1,4.6,14.8,11,12.8,,,14.1,10.6,11.4,25.3,8.7,1.4
88.6,James Robinson,NYJ,19.9,15.8,20.6,2.9,5.9,6.5,0,1.7,13.3,,1,,1,,,,,
0,Julian Love,NYG,,,,,,,,,,0,,,,,0,,,
48.2,DeeJay Dallas,SEA,0,0,5.8,0,2,0.1,6.1,0,0.4,,,3.5,3.7,,,10.2,12.8,3.6
18.7,Benny Snell Jr.,PIT,,,,,,,,,,,0,13.8,4.5,0.4,,,,
0,Qadree Ollison,DAL,,,,,,,,0,,,,,,,,,,
9.4,Tyler Badie,DEN,,,,,,,,,,,,,,,,,,9.4
21.1,Darrel Williams,ARZ,,14.2,0.7,1.9,0.9,,,3.4,,,,,,,,,,
52.1,Mark Ingram II,NO,3.3,8.1,7.8,7.3,1.6,6.7,5.2,1.2,,,,1,9.9,,,,,
30.8,Craig Reynolds,DET,,3.9,2.8,5.2,12.2,,6,0.7,0,,,,,,,,0,
12.8,Chris Evans,CIN,,0,1.4,0,,0,,3.6,0,,,0,7.8,,,,,
5.4,D'Ernest Johnson,CLV,,,,0,,2.9,,1.7,,0.8,,,,,0,0,,
5.8,Patrick Taylor,GB,,,,,,0,,,,,,,0.6,,1.5,2.7,1,
21.9,Corey Clement,ARZ,,,,,,,0,,,,,1.8,,3.1,,,3.2,13.8
59.8,Matt Breida,NYG,2.4,-0.4,0.3,1.8,4.7,3.1,4.3,2.5,,2,9.9,2.5,1.4,3.5,2.2,0.9,7.7,11
