player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Matthew Stafford,4924,QB,DET,16,583,73.5,162,170,8.3,2.39,2,4,2.2,63.5,108,63,9.2,194,33.3,11,66,,,,,54.1,61.4,83.3,,60.9,,61.2,,2,4,205,34.9,86.3,11.3,22,2,0,4,6,5,2.4,1198,7,0,11,77.8,82,78.6,82.5,74,335,358,9.9,2.62,6,28,7.2,64.5,231,103,6.9,389,66.7,17,149,,,,,86.2,89.3,86.1,,84.7,58.4,89.2,,3,6,421,16.5,101.1,4.4,17,14,7,7,20,9,2.1,2886,8.1,76.2,399,413,8.7,2.29,6,22,5,68,281,0,7.6,417,71.5,23,169,,,,,91.4,88.2,86.3,,85.5,58.4,67.9,,0,8,443,,97.6,0,0,4,7,1,18,9,2,3208,7.8,3,64.3,98,115,12,3.18,2,10,7.8,50.4,58,166,7.9,166,28.5,5,46,,,,,30.9,60.4,82.8,,55,,87.9,,5,2,183,23.5,91.8,23.5,39,12,0,10,8,5,2.7,876,7.6
Kirk Cousins,7102,QB,MIN,16,572,71.9,160,181,9.2,2.65,5,7,3.6,61.3,111,101,3.5,205,35.8,4,75,,,,,28.4,63,39.1,,62,,70.3,,2,1,219,17.8,112.3,8.8,18,6,0,14,15,7,3.2,1467,8.1,0,18,61.2,83.4,80.6,79.2,82.1,307,335,8.5,2.8,4,17,4.7,71,238,120,5.6,367,64.2,14,147,,,,,84.7,90.5,85.9,,87.7,,77.3,,6,12,394,17.5,101.1,5.7,21,11,3,15,20,10,2.5,2798,8.4,82.3,328,343,8.2,2.48,7,16,4.4,75.8,260,0,3.7,351,61.4,10,162,,,,,91.1,92.4,85.6,,90.7,,87.6,,0,8,373,,121.7,0,0,8,3,5,29,7,1.9,3123,9.1,6,69.8,139,173,9.9,3.17,2,8,4.3,51.4,89,221,8.2,221,38.6,8,60,,,,,26.5,54.9,42.7,,55.1,,61.8,,8,5,240,17.6,72,17.6,39,9,0,24,6,10,4.2,1142,6.6
Aaron Rodgers,2241,QB,GB,16,570,74.2,163,176,9.6,2.55,1,13,6.9,63.1,111,54,8.3,187,32.8,10,80,,,,,90,88.4,83.2,,87.2,,53.5,,0,4,200,9.3,112.3,2.7,5,6,0,12,18,5,2.5,1396,7.9,1,12,84.9,94.5,94.3,54.6,84.9,324,350,7.7,2.76,2,30,8.2,74.6,261,81,5.1,383,67.2,14,149,,,,,85.6,95.3,86,,94.2,,70.5,,1,1,407,18.5,126.2,3.9,15,18,3,20,30,7,1.7,2903,8.3,84.6,408,420,7.2,2.38,3,33,7.5,77.1,324,0,6.1,435,76.3,21,192,,,,,91.4,97.6,86.4,,96.5,,63.3,,0,4,455,,129.7,0,0,15,3,6,40,6,1.3,3579,8.5,6,64.6,79,106,14.5,3.7,0,10,8.4,45.3,48,135,5.9,135,23.7,3,37,,,,,65.8,67,82.1,,65.4,,66.7,,1,1,152,14.8,89.3,14.8,20,9,0,26,8,6,3.9,720,6.8
Derek Carr,8671,QB,LV,16,566,74.8,163,173,9.2,2.55,4,13,7,63.6,110,69,9.8,184,32.5,12,73,,,,,71.4,79.7,83.2,,77.9,,61.1,,1,3,199,13,107.6,4.9,9,2,1,4,13,4,2,1439,8.3,1,23,43.4,84.7,83.9,55.7,80.3,315,344,8.2,2.87,3,24,6.6,69.2,238,101,5.9,382,67.5,15,130,,,,,50.2,84.2,86,,82.2,60,67.1,,4,6,405,16.8,98.3,4.5,17,21,3,19,14,14,3.5,2664,7.7,81.8,373,385,8.1,2.47,5,26,6.4,73.8,284,0,6.9,396,70,21,156,,,,,91.3,93.1,86.1,,91.7,60,77.6,,0,4,419,,112.1,0,0,11,4,3,22,6,1.4,3125,8.1,2,66.7,105,132,9.8,3.46,2,11,7.6,48.5,64,170,8.6,170,30,6,47,,,,,23.5,49.9,82.9,,50.8,,54.4,,5,5,185,15.3,70.2,15.3,26,12,0,20,5,12,6.5,978,7.4
Philip Rivers,1725,QB,IND,16,564,69.1,136,148,8.2,2.27,3,4,2.6,60.8,90,40,4.3,153,27.1,4,59,,,,,66.9,65.2,82.4,,64.5,,,,2,1,162,12.5,99.9,3.3,5,0,1,6,8,6,3.7,1135,7.7,1,14,90.5,77.4,75.8,59.4,79.8,372,396,7.4,2.42,9,23,5.4,70.7,280,93,5.7,411,72.9,17,141,,,,,91.4,79.6,61.5,,78.2,,58.3,,3,10,438,15.1,95.9,3.4,14,1,2,10,16,14,3.2,3034,7.7,78.5,414,431,6.7,2.19,8,15,3.3,71.9,310,0,4.6,431,76.4,15,163,,,,,91.4,79.5,86.4,,77.6,,,,0,8,450,,100.5,0,0,0,3,6,18,14,3.1,3340,7.7,4,70.2,94,113,11.7,2.99,4,12,9.3,53.1,60,133,9.1,133,23.6,6,37,,,,,64.9,64.4,21.3,,64.8,,58.3,,5,3,150,14.3,83.5,14.3,19,1,0,10,6,6,4,829,7.3
Teddy Bridgewater,8667,QB,CAR,15,560,75.7,144,157,7,2.42,4,7,4.2,66.2,104,68,4.6,177,31.6,5,68,,,,,70.1,57.1,82.9,,56,58.4,67.1,,2,5,186,17.6,96.3,6.8,12,8,0,7,9,8,4.3,1251,8,1,5,68.2,66,66.4,53.9,81.4,312,335,7.8,2.69,6,10,2.8,70.4,236,105,7.1,383,68.4,18,121,,,,,74.5,70.9,86,,70.9,,57.2,,0,6,408,18.1,90.2,5,19,28,2,15,6,12,2.9,2482,7.4,80.4,357,369,7.3,2.31,5,14,3.6,73.2,270,0,5.9,387,69.1,17,150,,,,,91.2,74.5,86,,73,58.4,65.1,,0,4,404,,105.3,0,0,17,2,5,14,12,3,3018,8.2,5,76.8,99,123,8.5,3.27,5,3,2.2,56.9,70,173,7.9,173,30.9,6,39,,,,,32,49.3,83,,49.6,,56.1,,2,7,190,17.9,52.7,17.9,31,19,0,17,1,8,4.2,715,5.8
Baker Mayfield,46518,QB,CLV,16,538,77.2,162,184,8.6,2.84,5,11,5.6,63.6,117,67,6.4,206,38.3,8,80,,,,64.7,73.7,77.3,83.6,,75.6,90.6,57.3,,3,4,221,19.4,93.3,6.3,13,8,1,13,8,7,3.2,1446,7.9,0,8,59.7,81.6,81.6,53.8,75.5,273,302,9.5,3.03,5,20,6.3,62.3,188,75,8.7,332,61.7,18,118,,,,,70.5,81.7,28.9,,80.5,58.9,65.7,,0,4,347,17.3,97.5,3.9,13,17,4,20,18,10,2.9,2117,7,77.2,364,383,9.2,2.65,7,28,7,67.9,260,0,7.5,396,73.6,21,169,,,,,91.3,92,61.5,,91.2,,61.7,,0,4,412,,108.9,0,0,13,5,7,24,10,2.4,3096,8.1,9,70.4,71,103,9,3.8,3,3,2.7,43.7,45,142,10,142,26.4,5,29,,,,64.7,28.5,42.8,27.7,,41,90.8,63,,3,4,156,18.3,47.7,18.3,26,12,0,26,2,7,4.5,467,4.5
Ryan Tannehill,7014,QB,TEN,16,528,74.8,159,175,9,2.57,3,5,2.7,63.4,111,74,6.7,202,38.3,8,94,,,,,38.9,88.6,83.5,,82.8,58.9,90.6,,5,3,214,23,108.7,8.4,17,10,0,8,13,6,2.8,1519,8.7,0,31,67,90.3,85.2,91,77.2,281,306,8.7,2.67,6,14,4.4,66.7,204,90,6,326,61.7,13,119,,,,,82.3,83.2,85.3,,80.5,,71.7,,5,4,343,7.8,105.3,2.1,7,12,0,14,20,16,4.7,2300,7.5,79.9,343,352,8.6,2.44,8,13,3.5,73.6,259,0,5.5,364,68.9,15,174,,,,,91.1,94.4,85.7,,92.1,,93.2,,0,3,382,,118.9,0,0,11,0,1,23,11,2.9,3151,9,2,63.9,97,129,9.6,3.06,1,6,4.3,43.4,56,164,9.7,164,31.1,6,39,,,,,26.2,51.5,82.7,,51.9,58.9,57.2,,10,4,175,14.6,72.8,14.6,24,11,0,21,10,11,6.3,668,5.2
Daniel Jones,39395,QB,NYG,14,516,72.8,158,170,7.5,2.59,2,9,4.9,60,102,111,11.3,202,39.1,13,62,,,,,73.2,73.2,83.5,,70.9,,71.2,,3,4,216,22.5,78.2,12.4,25,7,0,7,4,3,1.4,1146,6.7,0,21,34.1,78.4,74.4,78.8,76.1,255,278,8.4,2.77,8,15,5,64,178,97,8.2,314,60.9,16,106,,,,,27.5,76.1,85.2,,73.3,,74.8,,5,6,336,20.6,81.8,6.4,20,15,2,8,7,14,4.2,1797,6.5,79.4,286,299,8,2.39,9,18,5.7,69.9,209,0,7.9,308,59.7,18,115,,,,,78.8,91.2,85.1,,90.5,,57.9,,0,5,327,,92.8,0.3,1,8,2,2,8,8,2.4,2187,7.3,5,64.6,127,149,8.2,3.16,1,6,3.7,47.7,71,208,13.4,208,40.3,11,53,,,,,23.8,48.2,83.7,,43.5,,84.1,,8,5,225,21.2,55.7,21.2,44,14,0,13,3,9,4,756,5.1
Carson Wentz,10636,QB,PHI,12,509,70.6,143,158,9.7,2.64,3,6,3.6,56.3,89,82,11.9,184,36.1,12,51,,,,,71.6,64.8,83.1,,64.7,,55.9,,3,6,196,25.6,68.5,11.4,21,5,0,9,5,7,3.6,940,5.9,0,24,40.4,65,60,82.6,69.8,258,279,9.2,3.02,3,14,4.7,58.1,162,108,10,325,63.9,18,87,,,,,43.4,63,85.4,,56.9,53.2,93.2,,3,9,348,26.9,75.3,8.9,29,16,1,14,11,17,4.9,1680,6,73.8,302,312,8.4,2.44,5,14,4.2,64.7,202,0,9.4,319,62.7,21,102,,,,,90.9,76.1,85.3,,73.1,55.7,87.1,,0,10,341,,82.5,0.6,2,4,1,4,12,13,3.8,2025,6.5,2,58.6,99,125,12.4,3.62,1,6,4.5,39.2,49,190,15.5,190,37.3,9,36,,,,,24.5,43.6,83.3,,37.2,59.4,88.9,,6,5,203,25.3,48.6,25.3,48,17,0,19,4,11,5.4,595,4.8
