Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Stefon Diggs,MIN,1,-1,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Stefon Diggs red zone rushing plays,DiggSt00
Eric Ebron,DET,1,1,1,2.7%,1,1,1,4.5%,1,1,1,8.3%,All Eric Ebron red zone rushing plays,EbroEr00
Julian Edelman,NWE,1,4,0,1.0%,1,4,0,1.6%,0,0,0,.0%,All Julian Edelman red zone rushing plays,EdelJu00
Rhett Ellison,MIN,1,1,1,1.5%,1,1,1,2.3%,1,1,1,4.8%,All Rhett Ellison red zone rushing plays,ElliRh00
George Farmer,SEA,1,1,0,1.7%,1,1,0,2.9%,0,0,0,.0%,All George Farmer red zone rushing plays,FarmGe02
Coby Fleener,NOR,1,2,1,1.2%,1,2,1,1.9%,1,2,1,4.2%,All Coby Fleener red zone rushing plays,FleeCo00
D.J. Foster,NWE,1,5,0,1.0%,1,5,0,1.6%,0,0,0,.0%,All D.J. Foster red zone rushing plays,FostD.01
Travis Frederick,DAL,1,-5,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Travis Frederick red zone rushing plays,FredTr00
Will Fuller,HOU,1,-3,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Will Fuller red zone rushing plays,FullWi01
Taylor Gabriel,ATL,1,9,1,1.2%,1,9,1,2.0%,0,0,0,.0%,All Taylor Gabriel red zone rushing plays,GabrTa00
Jimmy Garoppolo,NWE,1,3,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Jimmy Garoppolo red zone rushing plays,GaroJi00
Ted Ginn,CAR,1,13,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Ted Ginn red zone rushing plays,GinnTe00
Jared Goff,LAR,1,2,1,2.3%,1,2,1,3.8%,1,2,1,7.1%,All Jared Goff red zone rushing plays,GoffJa00
Jonathan Grimes,HOU,1,5,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Jonathan Grimes red zone rushing plays,GrimJo01
Josh Huff,TAM,1,5,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Josh Huff red zone rushing plays,HuffJo00
Don Jackson,GNB,1,2,0,1.8%,1,2,0,3.2%,0,0,0,.0%,All Don Jackson red zone rushing plays,JackDo01
Mike James,TAM,1,-1,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Mike James red zone rushing plays,JameMi00
Jeff Janis,GNB,1,19,1,1.8%,0,0,0,.0%,0,0,0,.0%,All Jeff Janis red zone rushing plays,JaniJe00
Malcolm Johnson,CLE,1,2,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Malcolm Johnson red zone rushing plays,JohnMa06
Kyle Juszczyk,BAL,1,10,1,2.3%,1,10,1,5.6%,0,0,0,.0%,All Kyle Juszczyk red zone rushing plays,JuszKy00
Drew Kaser,SDG,1,0,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Drew Kaser red zone rushing plays,KaseDr00
Travis Kelce,KAN,1,-5,0,1.5%,1,-5,0,2.2%,1,-5,0,5.3%,All Travis Kelce red zone rushing plays,KelcTr00
Marquette King,OAK,1,5,0,1.8%,0,0,0,.0%,0,0,0,.0%,All Marquette King red zone rushing plays,KingMa00
Tommylee Lewis,NOR,1,3,0,1.2%,1,3,0,1.9%,0,0,0,.0%,All Tommylee Lewis red zone rushing plays,LewiTo00
Zach Line,MIN,1,0,0,1.5%,1,0,0,2.3%,0,0,0,.0%,All Zach Line red zone rushing plays,LineZa01
