Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
301.6,CeeDee Lamb,DAL,4.9,15.1,22.7,21.7,10.3,12.7,10.6,18.8,,38,9.5,17.7,20.4,8.3,19.7,34,21,16.2
0,Kirk Merritt,NO,,,,,,,,,,,,,0,,,0,0,
100.5,Rashid Shaheed,NO,,,,,,10.4,12.3,6.8,0,2.2,1.8,7.9,11.5,,18.5,8.1,13.9,7.1
3.3,Austin Trammell,LA,,,,,,,,,,,,,1.8,1.5,0,0,0,0
103.6,Romeo Doubs,GB,8.8,4.7,21.3,15.7,5.9,6.1,0,16.2,2.8,,,,,,10.5,6.6,5,0
8.4,Jalen Guyton,LAC,0,0,8.4,,,,,,,,,,,,,,,
81.7,Randall Cobb,GB,3.4,6.7,7.7,7.2,16.9,1.8,,,,,13.3,9.9,0,,6.2,1.5,4,3.1
22.1,Tom Kennedy,DET,,,,8.4,0,,3.4,,2.6,5.4,2.3,0,,,,,,
3.6,KaVontae Turpin,DAL,0,0.3,0,0,0,0,0.3,1.1,,1.9,0,0,0,0,0,0,0,
0,Lynn Bowden Jr.,NE,,,,,,,,,0,,,,,,,,,
24.6,N'Keal Harry,CHI,,,,,,,2.4,10.4,1.6,,,,5.9,,,0,2.6,1.7
144.6,Brandin Cooks,HST,15.2,9.4,4.2,18.7,6,,8.6,11.3,,8.2,10,10.1,,,,13.4,7.9,21.6
335.5,Davante Adams,LV,30.1,9.2,14.2,19.5,27.4,,17.5,1.2,36.6,27.6,33.1,14.4,37.7,10.1,6.8,3.5,34.3,12.3
51.6,Wan'Dale Robinson,NYG,1.5,,,,,12.7,11,3.5,,3.5,19.4,,,,,,,
97.1,Nico Collins,HST,4.6,9.8,6.1,11.2,10.5,,6.3,,,15.9,9.8,10.4,12.5,,,,,
51.1,Michael Thomas,NO,22.7,18.5,9.9,,,,,,,,,,,,,,,
65.2,Dante Pettis,CHI,12.1,0,0,0,0,18.4,4.1,5.8,2.2,2.7,0,2.2,2.4,,2.3,9.1,0,3.9
174.8,Allen Lazard,GB,,9.3,14.5,17.6,13.5,17.6,11.5,,18.7,7.5,10.7,4.4,11.7,,1.7,11.1,10.9,14.1
42.5,Ashton Dulin,IND,7.6,13.2,1.7,3.8,2.8,,,,,0,0,0,8.4,,5,0,,0
0,Binjimen Victor,BLT,,,,,,,,,0,,,,0,,,,,
26.4,Cedrick Wilson Jr.,MIA,4.8,0,0,,4,0,0,0,4.3,1.7,,4.6,0,3.9,3.1,0,0,
1.3,Mason Kinsey,TEN,,,,,,,1.3,,,,,,,,,,,
34.4,Sterling Shepard,NYG,15.1,9.4,9.9,,,,,,,,,,,,,,,
2.4,Demetric Felton Jr.,CLV,0,0.9,,,,,,,,,,,0,0,1.5,,,
1.6,C.J. Board,TEN,,,,,,,,,,,,,1.6,,,,,
13.8,D'Wayne Eskridge,SEA,1,1.6,0,2.6,0,6.9,0.4,1.3,0,,,,,,,,,
