Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Travis Homer,SEA,3,-4,0,4.3%,2,-1,0,5.6%,0,0,0,.0%,All Travis Homer red zone rushing plays,HomeTr00
Alec Ingold,OAK,3,2,0,4.8%,3,2,0,8.8%,3,2,0,15.8%,All Alec Ingold red zone rushing plays,IngoAl01
Case Keenum,WAS,3,-1,1,6.8%,2,1,1,9.5%,2,1,1,14.3%,All Case Keenum red zone rushing plays,KeenCa00
Dion Lewis,TEN,3,17,0,5.5%,0,0,0,.0%,0,0,0,.0%,All Dion Lewis red zone rushing plays,LewiDi00
Marshawn Lynch,SEA,3,2,1,4.3%,1,1,1,2.8%,1,1,1,5.9%,All Marshawn Lynch red zone rushing plays,LyncMa00
Cordarrelle Patterson,CHI,3,13,0,5.9%,2,10,0,6.1%,0,0,0,.0%,All Cordarrelle Patterson red zone rushing plays,PattCo00
Matt Ryan,ATL,3,10,1,5.5%,1,1,1,4.8%,1,1,1,9.1%,All Matt Ryan red zone rushing plays,RyanMa00
Mark Walton,MIA,3,-3,0,5.1%,2,-5,0,6.1%,2,-5,0,13.3%,All Mark Walton red zone rushing plays,WaltMa00
Ameer Abdullah,MIN,2,14,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Ameer Abdullah red zone rushing plays,AbduAm00
Jay Ajayi,PHI,2,2,0,2.7%,0,0,0,.0%,0,0,0,.0%,All Jay Ajayi red zone rushing plays,AjayJa00
C.J. Anderson,DET,2,1,0,3.9%,0,0,0,.0%,0,0,0,.0%,All C.J. Anderson red zone rushing plays,AndeC.00
Alex Armah,CAR,2,1,1,3.0%,2,1,1,5.0%,2,1,1,9.5%,All Alex Armah red zone rushing plays,ArmaAl00
Dalyn Dawkins,TEN,2,3,0,3.6%,0,0,0,.0%,0,0,0,.0%,All Dalyn Dawkins red zone rushing plays,DawkDa01
Joe Flacco,DEN,2,3,0,3.4%,2,3,0,6.9%,1,1,0,7.1%,All Joe Flacco red zone rushing plays,FlacJo00
Taylor Gabriel,CHI,2,21,0,3.9%,0,0,0,.0%,0,0,0,.0%,All Taylor Gabriel red zone rushing plays,GabrTa00
Jakeem Grant,MIA,2,5,1,3.4%,2,5,1,6.1%,0,0,0,.0%,All Jakeem Grant red zone rushing plays,GranJa00
C.J. Ham,MIN,2,-1,0,2.2%,2,-1,0,3.3%,2,-1,0,8.3%,All C.J. Ham red zone rushing plays,HamxC.00
Dwayne Haskins,WAS,2,18,0,4.5%,1,4,0,4.8%,0,0,0,.0%,All Dwayne Haskins red zone rushing plays,HaskDw00
Darrell Henderson,LAR,2,4,0,2.5%,2,4,0,3.8%,0,0,0,.0%,All Darrell Henderson red zone rushing plays,HendDa00
Tyreek Hill,KAN,2,10,0,3.0%,0,0,0,.0%,0,0,0,.0%,All Tyreek Hill red zone rushing plays,HillTy00
Buddy Howell,HOU,2,4,0,3.3%,1,1,0,3.3%,1,1,0,5.3%,All Buddy Howell red zone rushing plays,HoweGr00
Brett Hundley,ARI,2,18,0,3.4%,1,6,0,3.7%,0,0,0,.0%,All Brett Hundley red zone rushing plays,HundBr00
Richie James,SFO,2,-1,0,2.6%,1,-1,0,2.5%,0,0,0,.0%,All Richie James red zone rushing plays,JameRi00
George Kittle,SFO,2,-5,0,2.6%,1,-2,0,2.5%,1,-2,0,4.5%,All George Kittle red zone rushing plays,KittGe00
Drew Lock,DEN,2,-3,0,3.4%,0,0,0,.0%,0,0,0,.0%,All Drew Lock red zone rushing plays,LockDr00
