player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Trent Williams,5529,T,WAS,10,0,32,72.1,100,129,54,129,77.6,0,100,239,239,66.6,100,89,37.2,89
Trevor Siemian,9683,QB,DEN,11,0,10,60,100,119,50,119,60,0,97.1,238,245,60,100,95,39.9,95
Mike Wallace,5007,WR,BLT,15,0,3,62.5,100,111,46.8,111,60.1,0,99.6,237,238,58.7,100,104,43.9,104
Jesse Davis,9989,G,MIA,15,0,17,48,100,96,40.5,96,50,1,100,237,237,54.7,100,122,51.5,122
Amari Cooper,9437,WR,OAK,14,0,23,62.9,100,81,34.5,81,62.9,0,99.6,235,236,62.7,100,135,57.4,135
Seth Roberts,9079,WR,OAK,15,0,23,71.8,100,81,34.5,81,62.5,1,100,235,235,57.3,100,134,57,134
Earl Watford,7898,G,ARZ,10,0,1,50.4,100,133,56.8,133,49.4,1,100,234,234,48.6,100,80,34.2,80
Evan Smith,5390,G,TB,15,0,30,72.8,100,86,36.8,86,73.8,1,100,234,234,76.1,100,125,53.4,125
Laurent Duvernay-Tardif,8834,G,KC,11,0,16,66.9,100,90,38.8,90,70.2,2,100,232,232,67.2,100,123,53,123
Demar Dotson,5410,T,TB,11,0,30,68.2,100,96,41.4,96,64.8,0,100,232,232,62.4,100,120,51.7,120
Evan Engram,11778,TE,NYG,15,0,21,41.4,100,125,54.6,125,48.7,1,99.6,229,230,60.3,100,92,40.2,92
Chris Clark,4623,T,HST,9,0,13,51.7,100,71,31.3,71,51.8,1,100,227,227,61.6,100,138,60.8,138
Tyreek Hill,10799,WR,KC,15,1,16,59.5,93,93,41,100,69.9,1,93.4,227,243,59.6,99.2,130,57.3,131
Roger Lewis Jr.,11246,WR,NYG,15,0,21,70.2,100,125,55.3,125,53.4,0,100,226,226,61.2,100,87,38.5,87
James Develin,6142,FB,NE,16,0,19,85.5,100,110,48.7,110,78.5,0,100,226,226,62,100,87,38.5,87
Kyle Long,7801,G,CHI,9,0,6,62.8,100,47,20.9,47,72.1,0,100,225,225,74.9,100,160,71.1,160
Terrance Williams,7855,WR,DAL,16,0,9,71.6,100,64,28.6,64,70,0,99.1,224,226,60.7,100,148,66.1,148
Charles Clay,6326,TE,BUF,13,0,4,58.4,100,81,36.2,81,61.2,0,100,224,224,62.2,100,128,57.1,128
Bruce Ellington,8741,WR,HST,11,1,13,66.7,100,53,23.8,53,71.8,1,98.7,223,226,63.6,99.4,155,69.5,156
Troy Niklas,8687,TE,ARZ,15,0,1,51.4,100,126,56.8,126,52.4,2,100,222,222,55.1,100,72,32.4,72
Paul Richardson Jr.,8680,WR,SEA,16,0,29,65,100,37,16.7,37,60.8,0,100,222,222,67.4,100,170,76.6,170
Brent Qvale,8921,T,NYJ,15,0,22,60.4,100,59,26.8,59,68.4,2,100,220,220,69.9,100,131,59.5,131
Austin Seferian-Jenkins,8673,TE,NYJ,13,0,22,63.2,100,66,30.1,66,59.6,4,100,219,219,60,100,135,61.6,135
Jermon Bushrod,3741,G,MIA,10,0,17,56.3,100,55,25.1,55,49.7,3,100,219,219,46.4,100,150,68.5,150
Brett Hundley,9580,QB,GB,11,0,12,60,100,90,41.1,90,60.5,0,94,219,233,60.8,94.4,117,53.4,124
Kelvin Benjamin,8663,WR,BUF,14,0,4,69.7,100,122,56.2,122,55.9,0,100,217,217,65.9,100,72,33.2,72
Sterling Shepard,10674,WR,NYG,11,0,21,61.7,100,128,59.3,128,73.1,0,98.2,216,220,63.3,100,80,37,80
Randall Cobb,6216,WR,GB,15,0,12,57.7,98.6,72,33.6,73,59.5,0,96.4,214,222,64,95.5,126,58.9,132
Kamar Aiken,6671,WR,IND,15,0,14,77.2,100,44,20.6,44,72.7,1,100,214,214,70.6,100,161,75.2,161
Julius Thomas,6281,TE,MIA,14,0,17,43.2,100,66,31.1,66,43.6,0,100,212,212,52,100,130,61.3,130
Shawn Lauvao,5616,G,WAS,9,0,32,48.5,100,111,52.4,111,57.8,0,100,212,212,64.4,100,78,36.8,78
Donte Moncrief,8725,WR,IND,12,0,14,39,100,43,20.5,43,55.7,1,100,210,210,66.8,100,152,72.4,152
Allen Hurns,8931,WR,JAX,10,0,15,62.3,100,67,31.9,67,75.1,0,100,210,210,68,100,136,64.8,136
Greg Mancz,10019,G,HST,10,0,13,69.5,100,68,32.4,68,58.1,0,100,210,210,53.9,100,118,56.2,118
Duane Brown,4340,T,SEA,10,0,29,60.2,100,46,21.9,46,62.1,0,100,210,210,65.1,100,148,70.5,148
Demetrius Harris,8524,TE,KC,16,0,16,55.7,100,62,29.5,62,61.2,0,100,210,210,57.3,100,121,57.6,121
Kyle Juszczyk,7912,FB,SF,14,0,28,55.1,97.1,33,15.7,34,75.1,2,96.8,210,217,78.9,98.2,162,77.1,165
Ryan Grant,8777,WR,WAS,16,0,32,66.5,100,91,43.5,91,66.1,0,100,209,209,65.7,100,98,46.9,98
Justin McCray,9234,T,GB,12,0,12,54.5,100,89,42.6,89,51,0,100,209,209,53,100,105,50.2,105
