player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Charlie Woerner,42257,TE,SF,16,6,0,28,0,,0,,,0,0,,0,0,0,,41.1,0,0,11.1,1,9,0,77.8,7,0,0,0,0,0,0,,,0,11.7,0,100,,0,0,0,0,3,0,74.6,67.5,0,27,0,0,14,3,85.7,12,118.8,3,25,0,45,10,3.3,15,3.75
D.J. Montgomery,55003,WR,NYJ,3,6,0,22,0,,0,,,0,0,,0,0,0,,50.4,0,0,0,0,3,0,100,3,0,0,0,0,0,0,,,0,,0,,,0,0,,0,0,0,72.1,55.8,0,0,0,0,7,0,100,7,0,0,0,0,0,0,,,0
Sean McKeon,42266,TE,DAL,8,6,0,9,0,,0,,,0,0,,0,0,0,,46.4,0,0,20,1,5,0,80,4,0,0,0,0,0,0,,,0,4,0,50,,0,0,0,0,0,0,73.4,57.3,0,3,0,0,11,1,100,11,56.3,2,18.2,0,3,0,0,3,0.27
Chris Hogan,6468,WR,NO,5,6,0,20,0,,0,,,0,0,,0,0,0,,50.6,0,0,0,0,4,0,75,3,0,0,0,0,0,0,,,0,9,0,50,,0,0,0,0,1,0,74.6,70.6,0,16,0,0,14,1,100,14,77.1,2,14.3,0,16,9,9,16,1.14
David Sills V,34579,WR,NYG,4,6,0,21,0,2,0,0,,0,0,,0,0,0,,48.4,0,0,0,0,5,0,100,5,39.6,1,20,0,0,0,,,0,9,0,0,,0,0,,0,0,0,36.2,46.6,1,0,10,1,10,0,90,9,0,1,11.1,0,0,0,,,0
Parker Hesse,48369,TE,ATL,8,6,0,2,0,,0,,,0,0,,0,0,0,,48.4,0,0,20,1,5,0,60,3,0,0,0,0,0,0,,,0,5,0,100,,0,0,0,0,0,0,73.4,55.2,0,5,0,0,21,1,95.2,20,87.5,1,5,0,5,0,0,5,0.25
Chris Myarick,47358,TE,NYG,8,6,0,21,0,,0,,,0,0,,0,0,0,,32.1,0,0,14.3,1,7,0,71.4,5,0,0,0,0,0,0,,,0,3,0,0,,0,0,100,1,0,0,28,43.8,0,0,0,0,9,0,100,9,39.6,1,11.1,0,0,0,,,0
Cody White,61448,WR,PIT,7,6,0,25,0,,0,,,0,0,,0,0,0,,52.5,0,0,0,0,1,0,100,1,0,0,0,0,0,0,,,0,4.8,0,80,,0,0,20,1,2,0,45.8,54.1,0,6,0,0,22,4,100,22,85,5,22.7,0,22,18,4.5,5.5,1
J.J. Arcega-Whiteside,35014,WR,PHI,12,5,0,24,0,,0,,,0,0,,0,0,0,,42.9,0,0,0,0,19,0,89.5,17,0,0,0,0,0,0,,,0,10.7,0,33.3,,0,0,50,1,1,0,28.8,45.5,1,13,11.8,4,34,1,82.4,28,8.3,3,10.7,0,13,11,11,13,0.46
Qadree Ollison,45934,HB,ATL,6,5,0,2,0,-3,0,0,,0,0,100,1,0,0,21.7,16.3,0,0,25,1,4,0,75,3,39.6,1,33.3,0,0,0,,,0,,0,,,0,0,,0,0,0,49.7,51.2,0,0,,0,0,0,,0,0,0,,0,0,0,,,
