Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
2,53,TEN,Dillon Radunz,T,23,2024,0,0,2,11,11,54,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,,RaduDi00
2,54,IND,Dayo Odeyingbo,DL,21,2024,0,0,1,12,12,61,0,0,0,0,0,0,0,0,0,0,0,58,,16.5,Vanderbilt,College Stats,OdeyDa00
2,55,PIT,Pat Freiermuth,TE,22,2024,0,0,2,18,18,61,0,0,0,0,0,0,0,0,220,2190,18,2,,,Penn St.,College Stats,FreiPa00
2,56,SEA,D'Wayne Eskridge,WR,24,2024,0,0,0,2,2,30,0,0,0,0,0,8,74,0,20,166,1,1,,,Western Michigan,College Stats,EskrDW00
2,57,LAR,Tutu Atwell,WR,21,2024,0,0,1,12,12,54,0,1,0,0,0,16,72,1,99,1343,4,,,,Louisville,College Stats,AtweTu00
2,58,KAN,Nick Bolton,LB,21,2024,0,0,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,289,4,5.0,Missouri,College Stats,BoltNi00
2,59,CAR,Terrace Marshall Jr.,WR,21,2024,0,0,1,6,6,43,0,0,0,0,0,0,0,0,67,808,1,1,,,LSU,College Stats,MarsTe00
2,60,NOR,Pete Werner,LB,22,2024,0,0,3,23,23,56,0,0,0,0,0,0,0,0,0,0,0,206,1,0.5,Ohio St.,College Stats,WernPe00
2,61,BUF,Boogie Basham,DL,23,2024,0,0,0,4,3,40,0,0,0,0,0,0,0,0,0,0,0,26,1,4.5,Wake Forest,College Stats,BashCa00
2,62,GNB,Josh Myers,C,23,2024,0,0,3,27,27,56,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,MyerJo00
2,63,KAN,Creed Humphrey,OL,22,2024,1,3,4,40,40,68,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,HumpCr00
2,64,TAM,Kyle Trask,QB,23,2024,0,0,0,0,0,7,4,11,28,0,0,6,-5,0,0,0,0,,,,Florida,College Stats,TrasKy00
3,65,JAX,Andre Cisco,DB,21,2024,0,0,3,18,18,63,0,0,0,0,0,0,0,0,0,0,0,154,8,1.5,Syracuse,College Stats,CiscAn00
