player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Desmond Reid,159936,HB,PITTSBURGH,11,185,42,12,38.9,377,0,968,3,22,42,532,78,24,48,268,0,75,91.5,77.3,86.8,,23.5,76.3,79.3,60.9,72,0,580,51,323,219,0,0,70,236,5,968,532,2.88,5.2,1.8,102
Kalel Mullings,129590,HB,MICHIGAN,12,185,38,11,39,370,0,948,1,2,38,657,74.4,16,58,222,0,111,90.8,87.3,85.9,,50.8,49.6,88,63.5,63,0,35,6,89,240,0,0,8,191,12,948,657,3.55,5.1,0.39,74
Delbert Mimms III,99609,HB,E MICHIGAN,12,184,34,12,38.5,312,0,810,1,6,34,574,61.5,16,54,160,1,72,83.5,72,86.5,,74.1,58.2,73.5,49.5,41,0,145,19,168,234,0,0,22,203,9,810,574,3.12,4.4,0.86,112
Bhayshul Tuten,150568,HB,VA TECH,11,183,62,21,54,621,0,1150,0,5,62,818,145.4,34,45,337,4,46,58.2,77.4,86.2,,47.7,60.9,80.7,56,83,0,81,23,188,277,0,0,27,206,15,1150,818,4.47,6.3,0.43,137
Raheim Sanders,146626,HB,S CAROLINA,12,183,46,10,37.1,327,0,881,2,22,46,675,119.4,21,52,289,3,71,66.1,81.2,86.5,,34.8,68.2,86.1,46.8,66,0,311,27,206,272,0,0,30,210,11,881,675,3.69,4.8,1.51,111
Avery Morrow,128240,HB,COLO STATE,12,183,36,13,39.9,398,0,997,0,4,36,617,67.8,28,50,144,3,15,65.8,74,87.5,,61.4,57.3,76.6,32.8,73,1,96,16,155,225,0,0,17,199,9,997,617,3.37,5.4,0.62,168
Ismail Mahdi,161419,HB,TEXAS ST,12,182,43,13,29.8,293,0,982,0,12,43,561,82.3,32,62,314,3,115,75.3,80.3,51,,43.6,64.3,84.2,49.1,45,1,195,24,216,206,0,0,24,206,4,982,561,3.08,5.4,0.9,64
Kanye Udoh,171024,HB,ARMY,13,179,32,11,37.9,421,1,1111,0,0,32,620,61.6,22,51,114,2,71,73.1,76.9,25.9,,47.3,55.1,79.6,56.4,72,3,3,1,12,458,0,0,1,180,10,1111,620,3.46,6.2,0.25,34
Keyon Mozee,145809,HB,MIAMI OH,14,178,37,15,48.5,532,0,1098,0,0,37,669,77.7,26,41,221,1,22,82.8,84.5,82.6,,54.5,49.7,83.4,59.1,74,0,2,1,44,190,0,0,3,179,4,1098,669,3.76,6.2,0.05,150
Bryson Washington,174649,HB,BAYLOR,11,177,29,13,38.4,397,0,1035,2,5,29,727,70.5,23,54,118,2,66,83,85.9,84.7,,35.5,69.9,87.9,56,51,1,210,21,158,194,0,0,24,198,12,1035,727,4.11,5.8,1.33,111
Kye Robichaux,145532,HB,BOSTON COL,13,174,16,5,20.4,151,0,739,0,0,16,497,25,17,44,121,2,121,72.8,69.7,86.6,,46.6,55.4,72.2,54.4,41,0,44,9,151,213,0,0,10,183,10,739,497,2.86,4.2,0.29,53
Nicholas Singleton,164188,HB,PENN STATE,15,174,33,18,40.5,448,0,1106,4,4,33,616,60.9,32,56,266,1,89,83.9,79.3,57.3,,40.1,67,83.1,62.7,58,1,375,41,231,243,0,0,52,215,12,1106,616,3.54,6.4,1.62,81
Riley Leonard,143862,QB,NOTRE DAME,16,173,42,6,18.1,178,0,611,0,0,28,359,67,25,68,258,4,67,71.7,83.5,60.8,73.9,,57.2,82.8,60,50,4,-8,1,0,435,371,51,1,123,17,982,551,3.18,5.7,,27
Blake Horvath,162555,QB,NAVY,12,173,32,19,58,758,0,1231,1,0,30,615,71.6,29,67,237,12,82,28.5,84.8,66.9,59.8,,51.1,90.6,60,95,2,13,1,4,432,76,13,2,161,17,1307,660,3.82,7.6,3.25,35
Damien Taylor,147252,HB,TROY,12,170,51,16,41.8,419,0,1002,0,1,51,677,119.7,26,55,318,1,84,81.9,83,48.7,,50.7,53.3,86.9,59.3,56,3,19,3,150,224,0,0,3,173,7,1002,677,3.98,5.9,0.13,86
Aaron Young,97161,HB,DOMINION,11,170,30,13,33.3,294,0,883,2,2,30,586,60.9,23,41,263,0,77,90.5,80.4,86.3,,59.6,46.9,85.6,59.1,51,0,89,11,171,246,0,0,16,181,8,883,586,3.45,5.2,0.52,91
Lee Beebe Jr.,163009,HB,UAB,12,169,46,10,30.3,266,0,877,3,7,46,648,102.1,25,56,321,3,71,64.6,80.4,88,,65.7,59.8,85,70.5,61,0,219,30,265,198,0,0,40,199,7,877,648,3.83,5.2,0.83,95
Jamal Haynes,143918,HB,GA TECH,13,169,31,16,52.4,495,0,944,3,11,31,560,70.6,24,42,176,2,98,73.3,67.9,29.2,,33.7,57.2,73.5,52.3,68,2,166,28,248,277,0,0,38,197,9,944,560,3.31,5.6,0.67,71
Terion Stewart,130386,HB,BOWL GREEN,11,167,64,17,49.5,454,0,917,1,0,64,679,154.9,29,45,122,3,96,62.2,75.9,83.2,,22.4,44.3,76.2,56.5,73,1,12,1,52,187,0,0,2,168,6,917,679,4.07,5.5,0.23,71
Jalen White,122464,HB,GA SOUTHRN,13,165,31,12,37.2,275,1,740,1,2,31,527,57.3,19,44,174,0,112,90.4,75.7,48.8,,41.7,52.3,82.3,49,49,1,71,19,190,195,0,0,24,184,13,740,527,3.19,4.5,0.37,52
CJ Campbell Jr.,143876,HB,FAU,12,165,48,12,47.1,396,0,840,3,23,48,662,139,24,39,165,0,58,90.5,79.6,86.4,,55.5,76.3,79.5,66.5,58,0,467,40,217,218,0,0,48,205,11,840,662,4.01,5.1,2.15,105
Jai'Den Thomas,174080,HB,UNLV,14,164,31,10,32.9,302,0,918,1,7,31,542,71.8,23,43,325,0,109,90.5,79.9,86,,83.9,51.5,83.5,53.6,54,0,91,11,157,235,0,0,13,175,7,918,542,3.3,5.6,0.58,52
Sedrick Alexander,172605,HB,VANDERBILT,13,164,33,2,7.9,46,0,580,0,4,33,446,53.8,9,38,333,2,131,72.8,74.7,89.4,,67.1,71.6,75.7,55.2,31,0,252,23,178,319,0,0,29,187,6,580,446,2.72,3.5,1.42,27
Isaac Brown,183312,HB,LOUISVILLE,13,163,37,25,60.3,704,0,1168,3,11,37,662,101,33,54,210,2,77,65.4,83.2,86.3,,43.8,69.7,84.8,59.1,77,0,152,30,170,175,0,0,38,193,11,1168,662,4.06,7.2,0.89,82
Bill Davis,176332,HB,LA LAFAYET,14,163,31,8,33.8,269,0,796,1,1,31,584,65.9,22,40,207,1,48,81.7,72.5,42.3,,52.6,56,75.8,40,73,1,86,11,145,184,0,0,14,174,9,796,584,3.58,4.9,0.59,115
George Pettaway,156351,HB,JAMES MAD,13,162,28,17,34.5,338,0,981,4,6,28,533,60.1,35,45,197,0,71,90.5,78.1,85.8,,27.3,62.7,82.2,58.8,31,1,200,24,182,224,0,0,31,186,5,981,533,3.29,6.1,1.1,88
CJ Donaldson,157372,HB,W VIRGINIA,13,162,29,9,29.6,219,1,739,0,4,29,458,53,20,58,343,2,67,72.2,70.8,54.3,,41.9,61,75.2,49.6,48,1,104,14,184,240,0,0,17,176,11,739,458,2.83,4.6,0.57,94
Jeremiyah Love,171090,HB,NOTRE DAME,16,162,62,15,52.5,590,0,1124,2,16,62,711,180.2,24,47,258,0,69,90.4,91.1,86.1,,55.3,78.5,91.8,64.5,98,0,229,28,167,236,0,0,32,190,17,1124,711,4.39,6.9,1.37,89
Marion Lukes,145697,HB,C MICHIGAN,11,161,50,13,37.6,299,0,795,0,4,50,581,110.1,26,44,134,3,61,56.2,78.3,86.2,,55.9,78.8,76.5,56.7,66,0,160,16,130,204,0,0,21,177,5,795,581,3.61,4.9,1.23,95
Damien Martinez,162437,HB,MIAMI FL,13,160,42,13,37.4,376,0,1006,2,8,42,714,126.1,24,60,220,1,107,90.3,91.2,85.2,,57.4,63,94.4,62.5,75,0,204,17,208,177,0,0,21,177,10,1006,714,4.46,6.3,0.98,51
Devon Dampier,171556,QB,NEW MEXICO,12,160,54,18,38.8,459,0,897,0,0,37,374,96.1,39,72,241,10,77,56.9,89.9,89.9,78.9,,,86.5,60.8,85,4,0,0,0,422,287,40,0,120,19,1184,521,3.26,7.4,,29
Nate Noel,122249,HB,MISSOURI,11,160,18,11,31.2,254,0,814,0,4,18,420,33,21,38,229,0,39,90.5,70.8,87.7,,78.3,58,72.1,51.2,64,0,44,15,152,187,0,0,17,175,3,814,420,2.63,5.1,0.29,121
Dean Connors,156624,HB,RICE,12,160,30,9,38.4,298,1,776,5,16,30,556,72.3,22,45,275,5,34,56,71.2,56.1,,50.3,68.4,73.5,57.3,71,1,486,61,301,173,0,0,78,221,9,776,556,3.48,4.9,1.61,118
Justice Ellison,123383,HB,INDIANA,13,159,20,11,31,263,0,848,0,4,20,552,48.4,24,58,190,1,63,81.4,82.1,84.7,34.4,50.5,63.3,84.5,61.3,47,0,90,13,131,195,0,0,14,172,10,848,552,3.47,5.3,0.69,91
Jay Ducker,130550,HB,SM HOUSTON,13,158,40,11,39.7,296,0,745,1,6,40,493,83,19,39,281,0,54,90.3,76.3,86,,59.9,71.1,76.8,58.1,86,0,110,15,134,284,0,0,18,173,7,745,493,3.12,4.7,0.82,102
Justin Marshall,173460,HB,COLO STATE,13,155,33,10,34.9,263,0,753,0,1,33,529,71.2,21,31,144,1,9,80.9,77.3,84.9,,74.9,51.3,78.8,57,42,0,62,8,122,175,0,0,10,163,4,753,529,3.41,4.9,0.51,145
Zak Wallace,104843,HB,ARK STATE,13,154,29,9,33.9,248,0,731,2,2,29,558,66.5,19,47,113,0,58,90.2,74.3,84.9,,53,51.7,77.4,71.5,57,0,95,15,164,212,0,0,17,169,11,731,558,3.62,4.7,0.58,95
Mike Washington Jr.,145672,HB,NEW MEX ST,12,154,32,10,32.4,226,0,697,4,3,32,475,65.8,20,33,242,4,54,40.3,65.5,85.4,,63.2,41.2,70.5,46.4,47,0,91,10,106,226,0,0,18,164,8,697,475,3.08,4.5,0.86,99
Seth McGowan,122936,HB,NEW MEX ST,12,154,49,13,32.8,270,0,824,3,6,49,578,116,24,38,242,3,52,51.7,80.9,50.7,,47,77.6,81.1,60.7,38,1,280,24,155,239,0,0,38,178,3,824,578,3.75,5.4,1.81,100
Parker Navarro,123758,QB,OHIO,13,153,46,14,34.9,386,0,743,0,0,27,419,87,40,60,259,10,50,36.3,81.4,72.1,69.7,,,82.7,60.1,55,2,0,0,0,410,363,39,0,114,18,1106,624,4.08,7.2,,33
Floyd Chalk IV,167095,HB,S JOSE ST,13,153,45,10,37.8,278,0,735,1,6,45,505,105.2,21,40,285,1,56,80.8,80.4,85.4,,75.9,52,81,58.3,66,0,57,7,106,185,0,0,8,160,10,735,505,3.3,4.8,0.54,94
Davon Booth,174754,HB,MISS STATE,12,152,27,16,53.2,403,1,757,0,2,27,457,52.8,20,38,227,0,63,90.3,75.9,45.3,,62.4,68.2,76.5,62.9,43,1,164,13,157,175,0,0,17,165,5,757,457,3.01,5,1.04,87
Kentrel Bullock,124129,HB,S ALABAMA,13,151,52,14,39.3,325,0,828,1,5,52,621,141.2,32,47,288,1,117,80.6,83.2,48.5,,50.7,60.1,88.5,61.8,59,1,153,15,210,197,0,0,20,166,7,828,621,4.11,5.5,0.73,34
Braedon Sloan,150238,HB,BALL ST,12,150,18,5,19.1,113,0,590,1,12,17,403,44.1,11,39,117,0,58,90.1,70.8,86.7,72.6,66.1,66.3,71.8,48.9,40,0,329,29,239,174,2,1,37,178,4,592,407,2.71,3.9,1.38,89
Carson Hansen,174669,HB,IOWA STATE,14,150,23,10,35.4,260,0,734,2,1,23,485,47.3,16,47,193,2,101,69.7,70.3,86.7,74.3,22.6,45.7,77.5,62.9,57,0,99,14,178,188,0,0,18,164,13,734,485,3.23,4.9,0.56,48
Jalen Milroe,146590,QB,ALABAMA,13,150,32,12,40.4,355,0,679,0,0,23,325,47.1,30,54,103,11,67,53,87.4,80.6,78.3,,60,81.8,60.1,72,5,0,0,1,382,200,24,0,126,20,879,433,2.89,5.9,0,27
Quali Conley,141259,HB,ARIZONA,12,150,35,13,47.4,353,1,744,2,11,35,569,92.3,23,40,109,2,83,72.1,73.2,57.1,,66.6,60.7,76.6,66.1,58,1,245,39,237,173,0,0,42,189,8,744,569,3.79,5,1.03,66
Ahmani Marshall,123391,HB,APP STATE,11,149,24,8,24,171,0,713,0,2,24,536,58.5,24,44,108,1,29,80.5,75.8,14,,49.4,62,77.4,57.8,29,1,75,11,105,167,0,0,13,160,7,713,536,3.6,4.8,0.71,120
Jahiem White,173192,HB,W VIRGINIA,13,149,53,14,40.8,344,0,843,2,3,53,599,134,27,39,343,2,74,70.3,69.9,16.8,,27.2,52.7,77.1,44.2,55,2,115,19,158,219,0,0,27,168,7,843,599,4.02,5.7,0.73,75
Ja'Quinden Jackson,123119,HB,ARKANSAS,10,149,41,10,28,224,0,800,0,4,41,522,97.3,27,65,111,2,73,69.8,80.5,87,,37.3,61.9,85.5,50,46,0,139,13,166,205,0,0,14,162,15,800,522,3.5,5.4,0.84,74
John Mateer,158516,QB,WASH STATE,12,149,54,12,33.6,339,0,604,0,0,23,413,91.3,37,66,341,3,53,69.1,83.3,72.5,70.8,,84.5,86,60.1,68,4,21,0,0,336,404,47,0,102,15,1008,702,4.71,6.8,,18
Hunter Watson,183993,QB,SM HOUSTON,12,149,21,8,24.8,193,0,612,0,0,16,329,33.7,20,43,281,8,78,62.6,69.1,79.7,61.7,62.2,54.3,71.2,60.3,46,3,0,0,1,378,166,24,0,125,9,778,408,2.74,5.2,0,25
Eli Sanders,144541,HB,NEW MEXICO,12,147,41,18,54.3,574,0,1057,1,2,41,523,94.4,28,41,241,1,80,80.2,77.8,85.6,,74.8,49,84.3,61.9,75,0,134,15,176,221,0,0,22,162,9,1057,523,3.56,7.2,0.76,67
Freddie Brock,142276,HB,GA STATE,12,147,31,10,39.9,317,0,795,3,7,31,585,89.5,21,37,175,0,56,90.2,81.7,84.3,,74.9,59.3,84.6,58.6,57,0,175,22,167,172,0,0,29,169,8,795,585,3.98,5.4,1.05,89
Jam Miller,157003,HB,ALABAMA,13,146,24,5,27.5,186,0,676,2,2,24,395,43.4,14,36,103,1,61,80.1,75.6,85.3,,56.8,58.9,79.1,60.6,56,0,155,16,167,237,0,0,20,162,7,676,395,2.71,4.6,0.93,85
Cam Edwards,158615,HB,UCONN,13,146,17,10,39.2,325,0,830,4,7,17,584,60.4,22,38,146,1,39,80.2,70.6,86.7,,23.9,48.9,75.7,59.4,71,0,148,13,140,206,0,0,20,159,8,830,584,4,5.7,1.06,105
TreVeyon Henderson,145059,HB,OHIO STATE,16,145,37,21,53.9,544,0,1010,1,5,37,643,108.9,32,44,260,0,77,90.1,88.4,51.7,,48.9,75.1,91.8,66.1,66,1,281,26,239,189,0,0,30,171,10,1010,643,4.43,7,1.18,64
Hajj-Malik Williams,102348,QB,UNLV,13,144,47,11,32,321,0,534,1,0,11,218,30.3,35,54,325,8,45,39.3,76.7,79.8,67.3,,29.7,78.3,60,71,2,0,0,3,387,469,55,1,89,9,1003,656,4.56,7,0,25
Jaden Nixon,144652,HB,W MICHIGAN,13,144,34,16,61,564,0,925,1,2,34,658,106.8,30,40,347,1,48,72.2,80.9,0,,56.1,66.6,80.5,55.9,92,2,77,10,63,165,0,0,13,154,12,925,658,4.57,6.4,1.22,96
Marcus Carroll,123849,HB,MISSOURI,13,143,21,8,27.2,163,0,599,1,2,21,323,34.2,11,50,229,1,54,79.4,78.1,86.9,,46.4,53.2,79.4,65.4,35,0,66,9,88,180,0,0,10,152,12,599,323,2.26,4.2,0.75,89
