Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
DJ Chark,JAX,10,5,50.00%,47,3,16.90%,6,2,33.33%,12,2,18.20%,All DJ Chark red zone receiving plays
Eric Ebron,IND,10,5,50.00%,32,2,15.20%,3,2,66.67%,7,2,10.00%,All Eric Ebron red zone receiving plays
Alex Erickson,CIN,10,2,20.00%,12,0,13.50%,3,0,0.00%,0,0,8.30%,All Alex Erickson red zone receiving plays
Devonta Freeman,ATL,10,7,70.00%,49,4,12.80%,5,4,80.00%,31,3,15.60%,All Devonta Freeman red zone receiving plays
Jimmy Graham,GNB,10,5,50.00%,36,3,13.70%,6,3,50.00%,14,2,18.20%,All Jimmy Graham red zone receiving plays
Hunter Henry,LAC,10,7,70.00%,45,4,13.50%,6,5,83.33%,25,3,17.10%,All Hunter Henry red zone receiving plays
Anthony Miller,CHI,10,5,50.00%,33,2,15.20%,4,1,25.00%,2,1,12.10%,All Anthony Miller red zone receiving plays
Hunter Renfrow,OAK,10,8,80.00%,56,2,16.70%,6,5,83.33%,27,2,21.40%,All Hunter Renfrow red zone receiving plays
Miles Sanders,PHI,10,8,80.00%,46,2,14.50%,3,1,33.33%,-3,0,10.30%,All Miles Sanders red zone receiving plays
Sterling Shepard,NYG,10,5,50.00%,39,2,14.90%,4,1,25.00%,7,1,14.80%,All Sterling Shepard red zone receiving plays
Irv Smith,MIN,10,7,70.00%,39,2,20.40%,3,2,66.67%,11,2,14.30%,All Irv Smith red zone receiving plays
Preston Williams,MIA,10,6,60.00%,54,3,14.10%,3,2,66.67%,11,2,14.30%,All Preston Williams red zone receiving plays
Jason Witten,DAL,10,7,70.00%,50,4,17.20%,6,4,66.67%,13,3,30.00%,All Jason Witten red zone receiving plays
Danny Amendola,DET,9,6,66.67%,22,0,15.00%,4,2,50.00%,11,0,10.50%,All Danny Amendola red zone receiving plays
Le'Veon Bell,NYJ,9,6,66.67%,23,1,18.40%,3,3,100.00%,16,1,16.70%,All Le'Veon Bell red zone receiving plays
Tarik Cohen,CHI,9,6,66.67%,33,3,13.60%,2,2,100.00%,19,2,6.10%,All Tarik Cohen red zone receiving plays
Jared Cook,NOR,9,4,44.44%,32,4,11.70%,5,3,60.00%,16,3,14.30%,All Jared Cook red zone receiving plays
Amari Cooper,DAL,9,6,66.67%,73,5,15.50%,3,2,66.67%,15,2,15.00%,All Amari Cooper red zone receiving plays
Phillip Dorsett,NWE,9,5,55.56%,32,1,10.60%,4,1,25.00%,5,0,9.80%,All Phillip Dorsett red zone receiving plays
Tyler Eifert,CIN,9,4,44.44%,39,2,12.20%,7,2,28.57%,7,2,19.40%,All Tyler Eifert red zone receiving plays
Evan Engram,NYG,9,3,33.33%,3,2,13.40%,5,2,40.00%,3,2,18.50%,All Evan Engram red zone receiving plays
Noah Fant,DEN,9,1,11.11%,14,1,13.20%,6,0,0.00%,0,0,20.70%,All Noah Fant red zone receiving plays
Leonard Fournette,JAX,9,7,77.78%,40,0,15.30%,4,3,75.00%,14,0,12.10%,All Leonard Fournette red zone receiving plays
Alshon Jeffery,PHI,9,5,55.56%,37,4,13.00%,5,4,80.00%,24,4,17.20%,All Alshon Jeffery red zone receiving plays
Duke Johnson,HOU,9,5,55.56%,51,3,14.50%,5,1,20.00%,5,0,20.80%,All Duke Johnson red zone receiving plays
Vance McDonald,PIT,9,7,77.78%,38,3,20.50%,5,3,60.00%,18,3,33.30%,All Vance McDonald red zone receiving plays
Mohamed Sanu,2TM,9,5,55.56%,41,2,,6,2,33.33%,11,1,,All Mohamed Sanu red zone receiving plays
Robert Woods,LAR,9,6,66.67%,39,2,13.40%,4,2,50.00%,3,1,11.40%,All Robert Woods red zone receiving plays
Geronimo Allison,GNB,8,4,50.00%,41,2,11.00%,3,2,66.67%,10,0,9.10%,All Geronimo Allison red zone receiving plays
Cole Beasley,BUF,8,7,87.50%,57,5,16.70%,4,4,100.00%,17,3,19.00%,All Cole Beasley red zone receiving plays
Cameron Brate,TAM,8,6,75.00%,42,4,12.50%,5,3,60.00%,15,3,13.20%,All Cameron Brate red zone receiving plays
A.J. Brown,TEN,8,5,62.50%,51,4,17.00%,2,2,100.00%,13,2,10.00%,All A.J. Brown red zone receiving plays
John Brown,BUF,8,4,50.00%,34,1,16.70%,3,2,66.67%,17,1,14.30%,All John Brown red zone receiving plays
Randall Cobb,DAL,8,4,50.00%,48,1,13.80%,2,0,0.00%,0,0,10.00%,All Randall Cobb red zone receiving plays
Tevin Coleman,SFO,8,4,50.00%,35,1,11.30%,4,2,50.00%,13,1,10.30%,All Tevin Coleman red zone receiving plays
Gerald Everett,LAR,8,7,87.50%,42,2,11.90%,4,3,75.00%,15,2,11.40%,All Gerald Everett red zone receiving plays
Michael Gallup,DAL,8,4,50.00%,36,2,13.80%,2,1,50.00%,4,1,10.00%,All Michael Gallup red zone receiving plays
T.Y. Hilton,IND,8,7,87.50%,43,5,12.10%,6,5,83.33%,19,4,20.00%,All T.Y. Hilton red zone receiving plays
O.J. Howard,TAM,8,4,50.00%,37,1,12.50%,3,1,33.33%,10,1,7.90%,All O.J. Howard red zone receiving plays
David Moore,SEA,8,2,25.00%,21,1,9.90%,3,1,33.33%,10,1,9.40%,All David Moore red zone receiving plays
Latavius Murray,NOR,8,6,75.00%,35,1,10.40%,0,0,,0,0,0.00%,All Latavius Murray red zone receiving plays
Jaylen Samuels,PIT,8,6,75.00%,12,1,18.20%,2,1,50.00%,3,1,13.30%,All Jaylen Samuels red zone receiving plays
Steven Sims,WAS,8,5,62.50%,25,4,12.90%,7,4,57.14%,28,4,21.90%,All Steven Sims red zone receiving plays
Golden Tate,NYG,8,6,75.00%,49,1,11.90%,0,0,,0,0,0.00%,All Golden Tate red zone receiving plays
Jamaal Williams,GNB,8,7,87.50%,50,5,11.00%,5,5,100.00%,28,4,15.20%,All Jamaal Williams red zone receiving plays
Tyrell Williams,OAK,8,4,50.00%,42,4,13.30%,5,2,40.00%,12,2,17.90%,All Tyrell Williams red zone receiving plays
Saquon Barkley,NYG,7,3,42.86%,7,1,10.40%,5,2,40.00%,6,1,18.50%,All Saquon Barkley red zone receiving plays
Giovani Bernard,CIN,7,5,71.43%,35,0,9.50%,2,0,0.00%,0,0,5.60%,All Giovani Bernard red zone receiving plays
Chris Conley,JAX,7,3,42.86%,16,2,11.90%,5,3,60.00%,16,2,15.20%,All Chris Conley red zone receiving plays
Demetrius Harris,CLE,7,2,28.57%,3,2,10.10%,4,2,50.00%,3,2,10.80%,All Demetrius Harris red zone receiving plays
Tyreek Hill,KAN,7,4,57.14%,24,3,11.10%,5,2,40.00%,11,2,17.20%,All Tyreek Hill red zone receiving plays
T.J. Hockenson,DET,7,3,42.86%,16,1,11.70%,4,2,50.00%,7,1,10.50%,All T.J. Hockenson red zone receiving plays
Diontae Johnson,PIT,7,4,57.14%,26,1,15.90%,1,1,100.00%,2,1,6.70%,All Diontae Johnson red zone receiving plays
Olabisi Johnson,MIN,7,4,57.14%,17,3,14.30%,6,4,66.67%,17,3,28.60%,All Olabisi Johnson red zone receiving plays
Isaiah McKenzie,BUF,7,3,42.86%,16,1,14.60%,1,1,100.00%,-8,0,4.80%,All Isaiah McKenzie red zone receiving plays
Joe Mixon,CIN,7,7,100.00%,18,3,9.50%,4,4,100.00%,3,3,11.10%,All Joe Mixon red zone receiving plays
Foster Moreau,OAK,7,7,100.00%,55,5,11.70%,4,4,100.00%,16,4,14.30%,All Foster Moreau red zone receiving plays
Dare Ogunbowale,TAM,7,4,57.14%,28,0,10.90%,4,1,25.00%,7,0,10.50%,All Dare Ogunbowale red zone receiving plays
Calvin Ridley,ATL,7,4,57.14%,46,3,9.00%,3,2,66.67%,15,2,9.40%,All Calvin Ridley red zone receiving plays
Willie Snead,BAL,7,5,71.43%,26,3,11.10%,3,3,100.00%,18,3,10.00%,All Willie Snead red zone receiving plays
Damien Williams,KAN,7,5,71.43%,38,2,11.10%,2,1,50.00%,-1,0,6.90%,All Damien Williams red zone receiving plays
Nelson Agholor,PHI,6,2,33.33%,6,2,8.70%,4,2,50.00%,6,2,13.80%,All Nelson Agholor red zone receiving plays
Jordan Akins,HOU,6,1,16.67%,15,1,9.70%,1,0,0.00%,0,0,4.20%,All Jordan Akins red zone receiving plays
Kendrick Bourne,SFO,6,5,83.33%,31,5,8.50%,5,5,100.00%,31,5,12.80%,All Kendrick Bourne red zone receiving plays
Nick Boyle,BAL,6,2,33.33%,8,2,9.50%,5,2,40.00%,8,2,16.70%,All Nick Boyle red zone receiving plays
Jaron Brown,SEA,6,3,50.00%,29,2,7.40%,4,1,25.00%,6,1,12.50%,All Jaron Brown red zone receiving plays
Keelan Cole,JAX,6,5,83.33%,37,3,10.20%,2,2,100.00%,8,2,6.10%,All Keelan Cole red zone receiving plays
Chase Edmonds,ARI,6,4,66.67%,18,1,8.70%,1,1,100.00%,2,1,3.10%,All Chase Edmonds red zone receiving plays
Royce Freeman,DEN,6,4,66.67%,14,1,8.80%,1,1,100.00%,3,1,3.40%,All Royce Freeman red zone receiving plays
Will Fuller,HOU,6,4,66.67%,28,1,9.70%,4,2,50.00%,12,1,16.70%,All Will Fuller red zone receiving plays
Ryan Griffin,NYJ,6,5,83.33%,37,4,12.20%,4,3,75.00%,9,3,22.20%,All Ryan Griffin red zone receiving plays
DaeSean Hamilton,DEN,6,3,50.00%,25,1,8.80%,2,1,50.00%,3,1,6.90%,All DaeSean Hamilton red zone receiving plays
Mecole Hardman,KAN,6,3,50.00%,19,0,9.50%,1,0,0.00%,0,0,3.40%,All Mecole Hardman red zone receiving plays
Kelvin Harmon,WAS,6,2,33.33%,11,0,9.70%,3,0,0.00%,0,0,9.40%,All Kelvin Harmon red zone receiving plays
N'Keal Harry,NWE,6,3,50.00%,29,2,7.10%,4,2,50.00%,17,2,9.80%,All N'Keal Harry red zone receiving plays
Taysom Hill,NOR,6,6,100.00%,38,4,7.80%,5,5,100.00%,24,4,14.30%,All Taysom Hill red zone receiving plays
Allen Hurns,MIA,6,4,66.67%,49,2,8.50%,1,0,0.00%,0,0,4.80%,All Allen Hurns red zone receiving plays
Hayden Hurst,BAL,6,2,33.33%,7,1,9.50%,3,2,66.67%,7,1,10.00%,All Hayden Hurst red zone receiving plays
Mark Ingram,BAL,6,6,100.00%,42,4,9.50%,2,2,100.00%,17,2,6.70%,All Mark Ingram red zone receiving plays
David Johnson,ARI,6,6,100.00%,38,2,8.70%,2,2,100.00%,7,1,6.30%,All David Johnson red zone receiving plays
KeeSean Johnson,ARI,6,1,16.67%,9,1,8.70%,3,1,33.33%,9,1,9.40%,All KeeSean Johnson red zone receiving plays
Zay Jones,2TM,6,3,50.00%,8,0,,5,2,40.00%,5,0,,All Zay Jones red zone receiving plays
Kyle Juszczyk,SFO,6,6,100.00%,36,1,8.50%,3,3,100.00%,11,1,7.70%,All Kyle Juszczyk red zone receiving plays
Dawson Knox,BUF,6,2,33.33%,9,1,12.50%,4,2,50.00%,9,1,19.00%,All Dawson Knox red zone receiving plays
Cody Latimer,NYG,6,5,83.33%,32,2,9.00%,2,2,100.00%,11,2,7.40%,All Cody Latimer red zone receiving plays
Tony Pollard,DAL,6,3,50.00%,7,0,10.30%,0,0,,0,0,0.00%,All Tony Pollard red zone receiving plays
Paul Richardson,WAS,6,3,50.00%,15,2,9.70%,2,2,100.00%,11,2,6.30%,All Paul Richardson red zone receiving plays
Demarcus Robinson,KAN,6,2,33.33%,18,1,9.50%,2,1,50.00%,0,0,6.90%,All Demarcus Robinson red zone receiving plays
Ricky Seals-Jones,CLE,6,4,66.67%,19,3,8.70%,4,3,75.00%,12,3,10.80%,All Ricky Seals-Jones red zone receiving plays
Darius Slayton,NYG,6,3,50.00%,8,2,9.00%,4,3,75.00%,8,2,14.80%,All Darius Slayton red zone receiving plays
Jonnu Smith,TEN,6,5,83.33%,44,2,12.80%,2,2,100.00%,10,1,10.00%,All Jonnu Smith red zone receiving plays
JuJu Smith-Schuster,PIT,6,3,50.00%,16,0,13.60%,1,0,0.00%,0,0,6.70%,All JuJu Smith-Schuster red zone receiving plays
Kaden Smith,NYG,6,5,83.33%,20,3,9.00%,3,3,100.00%,15,3,11.10%,All Kaden Smith red zone receiving plays
Adam Thielen,MIN,6,5,83.33%,43,3,12.20%,3,2,66.67%,15,2,14.30%,All Adam Thielen red zone receiving plays
Demaryius Thomas,NYJ,6,3,50.00%,23,1,12.20%,0,0,,0,0,0.00%,All Demaryius Thomas red zone receiving plays
Sammy Watkins,KAN,6,3,50.00%,12,1,9.50%,4,2,50.00%,2,1,13.80%,All Sammy Watkins red zone receiving plays
Albert Wilson,MIA,6,6,100.00%,28,1,8.50%,3,3,100.00%,6,1,14.30%,All Albert Wilson red zone receiving plays
Javon Wims,CHI,6,2,33.33%,6,1,9.10%,4,2,50.00%,6,1,12.10%,All Javon Wims red zone receiving plays
Robbie Chosen,NYJ,5,2,40.00%,7,2,10.20%,3,2,66.67%,7,2,16.70%,All Robbie Chosen red zone receiving plays
Kalen Ballage,MIA,5,2,40.00%,-2,0,7.00%,0,0,,0,0,0.00%,All Kalen Ballage red zone receiving plays
Antonio Callaway,CLE,5,2,40.00%,17,0,7.20%,1,0,0.00%,0,0,2.70%,All Antonio Callaway red zone receiving plays
Parris Campbell,IND,5,5,100.00%,26,1,7.60%,1,1,100.00%,2,0,3.30%,All Parris Campbell red zone receiving plays
Charles Clay,ARI,5,4,80.00%,38,1,7.20%,1,1,100.00%,5,1,3.10%,All Charles Clay red zone receiving plays
James Conner,PIT,5,5,100.00%,10,1,11.40%,0,0,,0,0,0.00%,All James Conner red zone receiving plays
Brandin Cooks,LAR,5,3,60.00%,14,2,7.50%,5,3,60.00%,14,2,14.30%,All Brandin Cooks red zone receiving plays
Stefon Diggs,MIN,5,1,20.00%,11,1,10.20%,2,0,0.00%,0,0,9.50%,All Stefon Diggs red zone receiving plays
Will Dissly,SEA,5,4,80.00%,39,4,6.20%,3,2,66.67%,13,2,9.40%,All Will Dissly red zone receiving plays
Kenyan Drake,2TM,5,3,60.00%,23,0,,1,1,100.00%,5,0,,All Kenyan Drake red zone receiving plays
Isaiah Ford,MIA,5,2,40.00%,9,0,7.00%,2,1,50.00%,4,0,9.50%,All Isaiah Ford red zone receiving plays
Ted Ginn,NOR,5,4,80.00%,15,1,6.50%,2,1,50.00%,6,1,5.70%,All Ted Ginn red zone receiving plays
Melvin Gordon,LAC,5,4,80.00%,12,1,6.80%,2,2,100.00%,7,1,5.70%,All Melvin Gordon red zone receiving plays
Nyheim Hines,IND,5,3,60.00%,11,0,7.60%,4,2,50.00%,9,0,13.30%,All Nyheim Hines red zone receiving plays
Mack Hollins,PHI,5,1,20.00%,6,0,7.20%,3,1,33.33%,6,0,10.30%,All Mack Hollins red zone receiving plays
Patrick Laird,MIA,5,2,40.00%,20,0,7.00%,1,0,0.00%,0,0,4.80%,All Patrick Laird red zone receiving plays
Dion Lewis,TEN,5,3,60.00%,23,1,10.60%,1,1,100.00%,2,0,5.00%,All Dion Lewis red zone receiving plays
Phillip Lindsay,DEN,5,2,40.00%,8,0,7.40%,2,1,50.00%,3,0,6.90%,All Phillip Lindsay red zone receiving plays
LeSean McCoy,KAN,5,3,60.00%,23,1,7.90%,1,1,100.00%,4,0,3.40%,All LeSean McCoy red zone receiving plays
Tim Patrick,DEN,5,2,40.00%,14,0,7.40%,1,0,0.00%,0,0,3.40%,All Tim Patrick red zone receiving plays
Cordarrelle Patterson,CHI,5,3,60.00%,6,0,7.60%,4,2,50.00%,1,0,12.10%,All Cordarrelle Patterson red zone receiving plays
Trey Quinn,WAS,5,2,40.00%,11,1,8.10%,3,1,33.33%,4,1,9.40%,All Trey Quinn red zone receiving plays
Damion Ratley,CLE,5,1,20.00%,5,0,7.20%,4,0,0.00%,0,0,10.80%,All Damion Ratley red zone receiving plays
Devin Singletary,BUF,5,2,40.00%,-5,0,10.40%,2,1,50.00%,-1,0,9.50%,All Devin Singletary red zone receiving plays
Chris Thompson,WAS,5,1,20.00%,11,0,8.10%,2,0,0.00%,0,0,6.30%,All Chris Thompson red zone receiving plays
Logan Thomas,DET,5,3,60.00%,40,1,8.30%,2,0,0.00%,0,0,5.30%,All Logan Thomas red zone receiving plays
Delanie Walker,TEN,5,2,40.00%,18,2,10.60%,1,1,100.00%,7,1,5.00%,All Delanie Walker red zone receiving plays
Greg Ward,PHI,5,4,80.00%,32,1,7.20%,2,1,50.00%,4,1,6.90%,All Greg Ward red zone receiving plays
DeAndre Washington,OAK,5,4,80.00%,38,0,8.30%,0,0,,0,0,0.00%,All DeAndre Washington red zone receiving plays
JJ Arcega-Whiteside,PHI,4,2,50.00%,22,1,5.80%,2,0,0.00%,0,0,6.90%,All JJ Arcega-Whiteside red zone receiving plays
Miles Boykin,BAL,4,4,100.00%,27,3,6.30%,3,3,100.00%,19,3,10.00%,All Miles Boykin red zone receiving plays
Antonio Brown,NWE,4,1,25.00%,8,0,4.70%,2,0,0.00%,0,0,4.90%,All Antonio Brown red zone receiving plays
Rex Burkhead,NWE,4,3,75.00%,17,0,4.70%,3,2,66.67%,12,0,7.30%,All Rex Burkhead red zone receiving plays
Derek Carrier,OAK,4,3,75.00%,13,1,6.70%,1,1,100.00%,4,1,3.60%,All Derek Carrier red zone receiving plays
Nick Chubb,CLE,4,1,25.00%,1,0,5.80%,1,0,0.00%,0,0,2.70%,All Nick Chubb red zone receiving plays
Pharoh Cooper,ARI,4,1,25.00%,5,1,5.80%,2,1,50.00%,5,1,6.30%,All Pharoh Cooper red zone receiving plays
Seth Devalve,JAX,4,1,25.00%,11,0,6.80%,2,0,0.00%,0,0,6.10%,All Seth Devalve red zone receiving plays
Anthony Firkser,TEN,4,2,50.00%,16,1,8.50%,2,1,50.00%,9,1,10.00%,All Anthony Firkser red zone receiving plays
Bennie Fowler,NYG,4,2,50.00%,9,0,6.00%,0,0,,0,0,0.00%,All Bennie Fowler red zone receiving plays
Josh Gordon,NWE,4,1,25.00%,7,0,4.70%,2,0,0.00%,0,0,4.90%,All Josh Gordon red zone receiving plays
Todd Gurley,LAR,4,3,75.00%,8,2,6.00%,1,1,100.00%,2,1,2.90%,All Todd Gurley red zone receiving plays
C.J. Ham,MIN,4,2,50.00%,7,1,8.20%,3,1,33.33%,5,1,14.30%,All C.J. Ham red zone receiving plays
Hale Hentges,WAS,4,1,25.00%,6,1,6.50%,1,1,100.00%,6,1,3.10%,All Hale Hentges red zone receiving plays
Jeff Heuerman,DEN,4,3,75.00%,23,1,5.90%,1,1,100.00%,8,1,3.40%,All Jeff Heuerman red zone receiving plays
Carlos Hyde,HOU,4,2,50.00%,11,0,6.50%,0,0,,0,0,0.00%,All Carlos Hyde red zone receiving plays
Jakobi Meyers,NWE,4,1,25.00%,6,0,4.70%,2,0,0.00%,0,0,4.90%,All Jakobi Meyers red zone receiving plays
James O'Shaughnessy,JAX,4,3,75.00%,32,2,6.80%,2,1,50.00%,7,1,6.10%,All James O'Shaughnessy red zone receiving plays
Josh Reynolds,LAR,4,0,0.00%,0,0,6.00%,2,0,0.00%,0,0,5.70%,All Josh Reynolds red zone receiving plays
Chester Rogers,IND,4,2,50.00%,8,2,6.10%,2,2,100.00%,8,2,6.70%,All Chester Rogers red zone receiving plays
Wendell Smallwood,WAS,4,2,50.00%,9,0,6.50%,0,0,,0,0,0.00%,All Wendell Smallwood red zone receiving plays
Tre'Quan Smith,NOR,4,4,100.00%,46,4,5.20%,1,1,100.00%,1,1,2.90%,All Tre'Quan Smith red zone receiving plays
Jeremy Sprinkle,WAS,4,1,25.00%,1,1,6.50%,4,1,25.00%,1,1,12.50%,All Jeremy Sprinkle red zone receiving plays
Kenny Stills,HOU,4,2,50.00%,28,2,6.50%,0,0,,0,0,0.00%,All Kenny Stills red zone receiving plays
Marquez Valdes-Scantling,GNB,4,1,25.00%,6,0,5.50%,2,0,0.00%,0,0,6.10%,All Marquez Valdes-Scantling red zone receiving plays
Justin Watson,TAM,4,3,75.00%,35,2,6.30%,1,1,100.00%,8,1,2.60%,All Justin Watson red zone receiving plays
Ryquell Armstead,JAX,3,2,66.67%,10,2,5.10%,3,2,66.67%,10,2,9.10%,All Ryquell Armstead red zone receiving plays
Dan Arnold,ARI,3,1,33.33%,6,1,4.30%,1,1,100.00%,6,1,3.10%,All Dan Arnold red zone receiving plays
