Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
182.7,Wan'Dale Robinson,NYG,11.8,9.8,13.1,18.1,16,10,8.3,8,4,10.1,,9.7,2.6,7.8,7.8,13.2,18.1,14.3
210.6,Nico Collins,HST,17.7,27.5,12.6,33.1,15.8,,,,,,9.4,20.2,19.9,,17.7,13,8.9,14.8
30,Dante Pettis,NO,,,,,,,,,,1.8,1.9,,1.5,0,4.4,5.1,5.7,9.6
126,Allen Lazard,NYJ,26.9,3.1,13.8,10.8,13.4,23.4,9.8,,,,,,,2.8,0,4,1.9,16.1
199,Jayden Reed,GB,33.1,6.6,10.9,27.1,13.7,14.8,3,7.5,16.3,,9.8,5.6,19.7,0,11.1,11.1,1.6,7.1
0.8,Brycen Tremayne,WAS,,,,,0.8,,,,,,,,,,,,0,
6.7,Dan Chisena,CAR,,,,,,,,,,,,0,1.6,0,,3.3,1.8,0
19.2,Ashton Dulin,IND,12.4,2.3,0,0,0.9,0,1.2,0,1.7,0.7,0,0,,,,0,0,0
47.1,Cedrick Wilson Jr.,NO,0,0,1.3,0,0,4.8,17.7,,5.4,,0,,2.9,2.8,0,2.3,4.7,5.2
3.7,Mason Kinsey,TEN,,,,,,,,0,,,,,,0,2.1,1.6,0,0
78.3,Sterling Shepard,TB,,,0,8.1,7.4,8.4,2.5,4.8,10.9,2,,6.6,8.2,10.3,2.6,4.4,,2.1
23.7,Xavier Hutchinson,HST,1.3,0,0,0,5.1,0,2.1,2.9,0,2.6,0,0,,,2.3,1.8,4.1,1.5
54.8,Adonai Mitchell,IND,1.2,4,0,1,8.2,2.9,5,1.9,3.2,13.1,4.5,2,0,,-1,4.6,4.2,0
1.1,Kameron Johnson,TB,0,,,0,0,,,,,,,,,,,,1.1,
7.4,D'Wayne Eskridge,MIA,,,4,0,,,,1.6,0,,,,,0,,,1.8,
166.4,George Pickens,PIT,13.5,4.9,10.7,18.3,5.6,8.3,22.1,11.4,,20.5,16.9,8.8,16.4,,,,8,1
0,Jalen Virgil,BUF,,,,,,,,0,0,0,0,,0,0,,,,
119.9,Kayshon Boutte,NE,,,1.2,2.1,5.4,14.9,4.3,7.6,3.8,8.7,7.3,1.6,7.1,,3.9,20.5,6.8,24.7
35.7,Jalen Brooks,DAL,2.8,2,3.4,0,2,2.5,,0,4.6,1.4,,5.1,1,,8.7,,2.2,0
22.3,Trent Sherfield,MIN,0,2.7,1.8,1.8,0,,0,8,1.7,2.1,2.6,0,0,0,1.6,0,0,0
0,Chris Moore,ARZ,0,0,0,0,0,,,,,,,,,,,,,
26.1,KhaDarel Hodge,ATL,0,,0,0,14.7,0,0,0,1.9,0,4.2,,0,0,0,,1.9,3.4
50.5,Kalif Raymond,DET,1.2,5.7,0,1.9,,11.3,12.9,9.4,1,0,5,0,,,,,,2.1
67.1,Troy Franklin,DEN,,0,3.1,1.8,3,11.6,10,1.9,2.9,1.9,9.5,5.1,4.8,,2.9,4.5,0.9,3.2
16.4,Zay Jones,ARZ,,,,,,,0,1.3,0,0,,0,0,2.3,1.3,0,2.9,8.6
80.4,Cedric Tillman,CLV,1.3,1.2,1.4,0,0,-0.5,16.1,28.9,19.5,,7.7,4.8,,,,,,
6.2,Xavier Smith,LA,,,,0,2.6,,3,0,0,,0,,0,,,0,,0.6
13.6,River Cracraft,MIA,,,,,,,,,,0,0,0,0,,1.6,1.6,2.6,7.8
0,Alex Erickson,NE,,,,,,,,,,,,,,,,,,0
1.6,Collin Johnson,CHI,,0,0,,,,,,,,,,0,1.6,0,0,0,0
2.7,Chris Blair,ATL,,,,,,,,,,,,,,,,2.7,0,0
2.4,Casey Washington,ATL,,,,,,,2.4,,,,0,,,,,,,
4.2,Ronnie Bell,SF,0,0,2.2,,0,,2,0,,0,,0,,,,,,
144.5,Ray-Ray McCloud III,ATL,9.2,7.5,5.7,11.2,12.6,6.3,2.9,5.6,12.5,6.6,10.6,,13.3,18.1,2.4,5.7,3.7,10.6
53.1,JuJu Smith-Schuster,KC,0,0,9.7,0,20,,0,,,,1.8,1.6,2,5.1,7.7,0,3.8,1.4
13.5,Michael Woods II,CLV,,,,,,,,,,,,,7.3,2.2,2.7,0,1.3,
0,Jaylen Johnson,LAC,,,,,,,,0,,,,,,,,,,
16.2,DeAndre Carter,CHI,1.6,6.2,5.2,,,0,,1.7,,1.5,0,0,0,,,,,
8.7,Tyquan Thornton,NE,4.7,0,0,0,0,,,4,,,,,,,,,,
195.2,D.K. Metcalf,SEA,5.9,28.9,20.4,17.4,9.5,7.8,19.9,,,,14,9.9,10.6,8.9,5.8,14.7,7.2,14.3
161.4,Alec Pierce,IND,21.5,16.6,5.4,1.9,22.4,0,3.5,2.1,7.1,18.1,10.4,4.9,9.6,,0,,24.2,13.7
-0.1,Jermaine Jackson,NO,,,,,,,,,-0.1,0,,,,,,,,
18.1,Marquise Brown,KC,,,,,,,,,,,,,,,,9.5,8.6,
-0.4,Kadarius Toney,CLV,,,,,,,,,,,-0.7,,0.3,0,,,,
98.8,Mack Hollins,BUF,10.5,0,2.6,1.5,4.7,7.8,0,0,14,12.6,4.7,,7.7,15.7,1.7,4.5,5.3,5.5
64.9,Rashee Rice,KC,17.3,18.5,29.1,0,,,,,,,,,,,,,,
0,Jared Wayne,HST,,,,,,,,,,,,,0,,,0,0,
236.9,Jerry Jeudy,CLV,11.5,12.3,6.7,13.2,2.6,4.5,2.8,12.9,14.3,,26.2,14.5,38.5,17.4,21.8,4,21.4,12.3
0,Zach Pascal,ARZ,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0
167.8,Michael Pittman Jr.,IND,7.1,5.1,7.6,17.3,14.7,12.5,9.3,2.6,2.4,,9.6,15.6,9.2,,11.8,3.9,25.9,13.2
182.5,Khalil Shakir,BUF,13.2,10.6,19.2,10.2,,3.9,13.5,19.9,11,11.8,15,,7,21.6,15.9,4.2,5.5,
218.2,Tyreek Hill,MIA,26,6.6,7,8.2,12.9,,2.3,13.2,12,11.7,19.1,9.8,20.3,28.1,5.6,11.9,19.5,4
2.6,Isaiah Williams,CIN,,,,,,,,2.6,0,,,,0,0,,0,0,0
1.9,Brandon Johnson,PIT,,,,,1.9,,0,0,,,,,,,,,,
125.1,Xavier Legette,CAR,7.5,0,6.2,19.6,1.8,11.3,2.9,13.4,13.9,7,,9.6,9.3,5.9,2.9,,7.8,6
9.8,Kristian Wilkerson,LV,,,,,,9.8,0,,,,,,,,,,,
49.1,Nelson Agholor,BLT,1.6,2.3,6.6,3,1.4,3.5,3,12.6,3.9,7.6,0,0,0,,3.6,,,
0,Steven Sims,BLT,,,,0,,0,,,0,0,,,,,,,,
89,Parker Washington,JAX,1.3,0,3.8,0,0,0,0,7.6,7.1,0,2,,22.3,3.5,8.4,11.4,12.1,9.5
271.6,Malik Nabers,NYG,11.6,28.7,28.2,23.1,,,8.1,14.1,14.9,10.8,,12.4,15.3,12.9,24.2,13.8,36.1,17.4
22.5,Bo Melton,GB,0,0.8,0,3.8,2.2,4.3,1.7,0,2.9,,0,0.5,0,0,0,1.4,4.8,0.1
93.5,Ricky Pearsall,SF,,,,,,,5.1,11.7,,17.3,0,0,0,1.5,2.6,7.7,28.7,18.9
186.4,Keenan Allen,CHI,6.9,,,4.9,6.3,21.1,,5.9,7.6,9.4,8.1,23.6,24.3,6,20.2,29.1,7.5,5.5
129.5,Marvin Mims Jr.,DEN,0,2,1.9,0,3.4,0,3.8,1.8,1.4,7,13.3,7.2,19.9,,6,9.5,30.2,22.1
216.9,A.J. Brown,PHI,22.9,,,,,23.6,19.9,13.4,5.6,15.9,11.5,22.9,11.6,8.3,25,23.7,12.6,
0,Cody Thompson,TB,,,,,0,,,,,,,,,,,,,
146.9,Rome Odunze,CHI,2.1,5.3,23.4,2,9,6,,8.4,15.4,5.3,12.5,8.9,4.5,20.2,5.9,11.7,2.5,3.8
6.1,Alex Bachman,LV,,,,0,0,6.1,0,0,,,,,,,,,,
238.1,DJ Moore,CHI,10,11.3,15.2,11.2,27.5,6,,5.4,7.3,5.7,13.7,24.9,23.7,10.9,15,14,12.2,24.1
119.9,Andrei Iosivas,CIN,5.6,14.7,16.2,3.9,4.9,5.6,0,0,8,4.9,7.6,,12.5,8.1,1.5,14.3,8.9,3.2
12.7,Jacob Cowing,SF,,,,0,,0,7,0,,0,0,,0,0,0,0,0,5.7
31.7,Malik Heath,GB,,,0,3.2,3.4,0,0,0,,,0,9.5,0,0,,,7.3,8.3
47.1,DJ Turner,LV,1.9,0.2,0,7.8,2.7,5.7,3.7,13.2,0,,5.9,2.5,3.5,,,,,
201.2,Calvin Ridley,TEN,8,24.7,1.9,2.5,,0.9,7.2,24.6,12.3,25.4,9.8,14.3,6.5,12.9,9,16.8,14.1,10.3
15,Parris Campbell,PHI,,0,3.3,11.7,,,0,,,,,,0,,,,,
1.7,Ramel Keyton,LV,,,,,,,,,1.7,,0,0,,,0,0,0,0
280.8,Drake London,ATL,3.5,17.4,18.7,12.4,33.4,19.4,18.3,7.4,10.7,17.7,9.1,,17.3,12,14.3,10.9,17.6,40.7
9.1,Devontez Walker,BLT,,,,,,,,,0,,,0,,,9.1,0,0,0
212.5,Jordan Addison,MIN,6.5,,,22.9,6.6,,9.6,4.2,16.1,4.9,15.1,30.2,9.4,39.3,13.3,14.5,18.9,1
66.3,Lil'Jordan Humphrey,DEN,0,9,9.7,0,6.8,1.8,3.2,6.2,3.1,4.3,15.2,2.4,0,,0,0,0,4.6
206.6,Puka Nacua,LA,8.2,,,,,,,18.1,2.1,18.8,25.3,20.7,17.3,41.8,17.8,13.6,22.9,
0,Dareke Young,SEA,0,,0,,,,0,0,0,,,,,,0,,0,0
41.9,Jahan Dotson,PHI,0,1.6,2.8,3.1,,3.3,0,0,4.6,3.7,1.8,1.4,1.7,1.5,0,0,0,16.4
174.6,Rashod Bateman,BLT,7.3,7,11.8,3.3,15.8,11.1,22.1,3.8,5.5,17.4,5,12.3,0,,23,8.4,2.2,18.6
237.1,Courtland Sutton,DEN,7.8,3.6,13.8,15,5.2,15.3,0,18,19.2,19,14.8,29.7,16.2,,12.2,10,16.5,20.8
403,Ja'Marr Chase,CIN,12.2,7.5,29.8,17.5,41.3,12.2,17.6,20.4,11.3,55.4,26.5,,20.6,45.1,18.4,22.4,19.2,25.6
1.1,Tyreik McAllister,LV,,,,1.1,,,,,,,,,,,,,,
105,Jalen Nailor,MIN,9.1,14.4,12.4,4.1,0,,11.6,3.6,7.7,1.4,0,7.5,2.8,0,1.5,1.5,19.1,8.3
0,Roman Wilson,PIT,,,,,,0,,,,,,,,,,,,
62.9,Justin Watson,KC,3.5,4.2,2.3,4.7,0,,1.8,6.3,7.3,2.6,4.6,2.5,7.6,0,0,0,14,1.5
0,Montrell Washington,KC,,,,,,,,0,,,,,,,,,,
89.1,Diontae Johnson,HST,3.9,4.5,26.2,21.3,5.9,19.8,2.7,,0,1.6,0,0,,,,,,3.2
