Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Darrius Heyward-Bey,PIT,1,1,100.00%,3,0,1.20%,1,1,100.00%,3,0,2.40%,All Darrius Heyward-Bey red zone receiving plays
Cole Hikutini,SFO,1,1,100.00%,10,0,1.20%,0,0,,0,0,0.00%,All Cole Hikutini red zone receiving plays
Gabe Holmes,ARI,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Gabe Holmes red zone receiving plays
Johnny Holton,OAK,1,1,100.00%,9,1,2.20%,1,1,100.00%,9,1,3.60%,All Johnny Holton red zone receiving plays
Akeem Hunt,KAN,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Akeem Hunt red zone receiving plays
Andy Janovich,DEN,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Andy Janovich red zone receiving plays
David Johnson,ARI,1,1,100.00%,2,0,1.40%,1,1,100.00%,2,0,4.20%,All David Johnson red zone receiving plays
Jeremy Kerley,NYJ,1,1,100.00%,10,0,2.10%,0,0,,0,0,0.00%,All Jeremy Kerley red zone receiving plays
Matt LaCosse,NYG,1,0,0.00%,0,0,1.90%,1,0,0.00%,0,0,3.80%,All Matt LaCosse red zone receiving plays
Cody Latimer,DEN,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,4.20%,All Cody Latimer red zone receiving plays
Marshawn Lynch,OAK,1,0,0.00%,0,0,2.20%,0,0,,0,0,0.00%,All Marshawn Lynch red zone receiving plays
Tre Madden,SEA,1,1,100.00%,-1,0,1.50%,1,1,100.00%,-1,0,2.50%,All Tre Madden red zone receiving plays
Josh Malone,CIN,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Josh Malone red zone receiving plays
Chris Manhertz,CAR,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.80%,All Chris Manhertz red zone receiving plays
Isaiah McKenzie,DEN,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Isaiah McKenzie red zone receiving plays
Brian Mihalik,DET,1,1,100.00%,-4,0,1.40%,1,1,100.00%,-4,0,3.10%,All Brian Mihalik red zone receiving plays
Ifeanyi Momah,ARI,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Ifeanyi Momah red zone receiving plays
David Morgan,MIN,1,1,100.00%,1,1,1.70%,1,1,100.00%,1,1,3.40%,All David Morgan red zone receiving plays
Roosevelt Nix,PIT,1,1,100.00%,1,1,1.20%,1,1,100.00%,1,1,2.40%,All Roosevelt Nix red zone receiving plays
Branden Oliver,LAC,1,1,100.00%,-2,0,1.50%,1,1,100.00%,-2,0,2.30%,All Branden Oliver red zone receiving plays
Samaje Perine,WAS,1,1,100.00%,3,1,1.60%,1,1,100.00%,3,1,4.00%,All Samaje Perine red zone receiving plays
C.J. Prosise,SEA,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.50%,All C.J. Prosise red zone receiving plays
Jay Prosch,HOU,1,1,100.00%,9,0,1.90%,0,0,,0,0,0.00%,All Jay Prosch red zone receiving plays
Brian Quick,WAS,1,1,100.00%,9,0,1.60%,0,0,,0,0,0.00%,All Brian Quick red zone receiving plays
Bobby Rainey,BAL,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.80%,All Bobby Rainey red zone receiving plays
Thomas Rawls,SEA,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.50%,All Thomas Rawls red zone receiving plays
Jalen Richard,OAK,1,1,100.00%,6,1,2.20%,1,1,100.00%,6,1,3.60%,All Jalen Richard red zone receiving plays
Aaron Ripkowski,GNB,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Aaron Ripkowski red zone receiving plays
Andre Roberts,ATL,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Andre Roberts red zone receiving plays
Michael Roberts,DET,1,1,100.00%,15,0,1.40%,0,0,,0,0,0.00%,All Michael Roberts red zone receiving plays
Jacquizz Rodgers,TAM,1,1,100.00%,6,0,1.50%,1,1,100.00%,6,0,3.40%,All Jacquizz Rodgers red zone receiving plays
Travis Rudolph,NYG,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Travis Rudolph red zone receiving plays
Ty Sambrailo,ATL,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.90%,All Ty Sambrailo red zone receiving plays
Hunter Sharp,NYG,1,1,100.00%,16,1,1.90%,0,0,,0,0,0.00%,All Hunter Sharp red zone receiving plays
Anthony Sherman,KAN,1,1,100.00%,11,0,1.40%,0,0,,0,0,0.00%,All Anthony Sherman red zone receiving plays
Jeremy Sprinkle,WAS,1,1,100.00%,7,1,1.60%,1,1,100.00%,7,1,4.00%,All Jeremy Sprinkle red zone receiving plays
Darren Sproles,PHI,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Darren Sproles red zone receiving plays
Neal Sterling,NYJ,1,0,0.00%,0,0,2.10%,0,0,,0,0,0.00%,All Neal Sterling red zone receiving plays
ArDarius Stewart,NYJ,1,1,100.00%,8,0,2.10%,1,1,100.00%,8,0,4.20%,All ArDarius Stewart red zone receiving plays
Jonathan Stewart,CAR,1,1,100.00%,9,1,1.80%,1,1,100.00%,9,1,3.80%,All Jonathan Stewart red zone receiving plays
Luke Stocker,TAM,1,1,100.00%,8,1,1.50%,1,1,100.00%,8,1,3.40%,All Luke Stocker red zone receiving plays
Jaelen Strong,JAX,1,1,100.00%,5,1,2.00%,1,1,100.00%,5,1,3.40%,All Jaelen Strong red zone receiving plays
Phillip Supernaw,TEN,1,1,100.00%,11,1,2.30%,0,0,,0,0,0.00%,All Phillip Supernaw red zone receiving plays
Ryan Switzer,DAL,1,1,100.00%,2,0,1.80%,0,0,,0,0,0.00%,All Ryan Switzer red zone receiving plays
Jordan Taylor,DEN,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,4.20%,All Jordan Taylor red zone receiving plays
Taywan Taylor,TEN,1,0,0.00%,0,0,2.30%,0,0,,0,0,0.00%,All Taywan Taylor red zone receiving plays
Randall Telfer,CLE,1,0,0.00%,0,0,2.30%,1,0,0.00%,0,0,4.00%,All Randall Telfer red zone receiving plays
Lawrence Thomas,NYJ,1,1,100.00%,5,0,2.10%,0,0,,0,0,0.00%,All Lawrence Thomas red zone receiving plays
Logan Thomas,BUF,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Logan Thomas red zone receiving plays
Austin Traylor,DEN,1,1,100.00%,14,0,1.70%,0,0,,0,0,0.00%,All Austin Traylor red zone receiving plays
Laquon Treadwell,MIN,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.40%,All Laquon Treadwell red zone receiving plays
Nick Vannett,SEA,1,1,100.00%,17,1,1.50%,0,0,,0,0,0.00%,All Nick Vannett red zone receiving plays
Clive Walford,OAK,1,0,0.00%,0,0,2.20%,0,0,,0,0,0.00%,All Clive Walford red zone receiving plays
Leonard Wester,TAM,1,1,100.00%,2,1,1.50%,1,1,100.00%,2,1,3.40%,All Leonard Wester red zone receiving plays
Kerwynn Williams,ARI,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Kerwynn Williams red zone receiving plays
Marquez Williams,CLE,1,0,0.00%,0,0,2.30%,1,0,0.00%,0,0,4.00%,All Marquez Williams red zone receiving plays
Tyrell Williams,LAC,1,1,100.00%,7,0,1.50%,0,0,,0,0,0.00%,All Tyrell Williams red zone receiving plays
Bobo Wilson,TAM,1,1,100.00%,18,1,1.50%,0,0,,0,0,0.00%,All Bobo Wilson red zone receiving plays
T.J. Yeldon,JAX,1,1,100.00%,2,0,2.00%,0,0,,0,0,0.00%,All T.J. Yeldon red zone receiving plays
