Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
192,Cincinnati Bengals,DST,9,DST10,,,,,,177.3
193,Adam Vinatieri,,,K9,,,,,,178
194,New York Jets,DST,11,DST11,,,,,,179.3
195,Blair Walsh,,,K10,,,,,,181.3
196,Charcandrick West,,,RB61,,,,,,185.7
197,Clive Walford,,,TE24,,,,,,186.3
198,Las Vegas Raiders,DST,,DST12,,,,,,195.7
199,Jordan Howard,,,RB62,,,,,,197
200,Cairo Santos,CHI,9,K11,,,,,,198.3
201,Green Bay Packers,DST,4,DST13,,,,,,199.7
202,Buffalo Bills,DST,10,DST14,,,,,,199.7
203,Philadelphia Eagles,DST,4,DST15,,,,,,200.7
204,Jesse James,,,TE25,,,,,,202.7
205,Jordan Cameron,,,TE26,,,,,,203
206,Joe Flacco,CLE,13,QB25,,,,,,204.3
207,Kendall Wright,,,WR68,,,,,,204.7
208,Nelson Agholor,,,WR69,,,,,,205.7
209,Terrance Williams,,,WR70,,,,,,205.7
210,Josh Ferguson,,,RB63,,,,,,206.3
211,Kyle Rudolph,,,TE27,,,,,,206.3
212,C.J. Spiller,,,RB64,,,,,,208
213,Anquan Boldin,,,WR71,,,,,,208.3
214,Wendell Smallwood,,,RB65,,,,,,209
215,Breshad Perriman,,,WR72,,,,,,209.3
216,Sebastian Janikowski,,,K12,,,,,,210
217,Josh Doctson,,,WR73,,,,,,211
218,Eli Rogers,,,WR74,,,,,,211
219,Chris Boswell,PIT,8,K13,,,,,,212.7
220,Trevor Siemian,,,QB26,,,,,,214
221,Jaelen Strong,,,WR75,,,,,,215
222,Shaun Draughn,,,RB66,,,,,,215.7
223,Tyler Gaffney,,,RB67,,,,,,217.3
224,Darren McFadden,,,RB68,,,,,,218.3
225,Paul Perkins,,,RB69,,,,,,218.7
226,Vance McDonald,,,TE28,,,,,,218.7
227,Robert Kelley,,,RB70,,,,,,218.7
228,Jay Cutler,,,QB27,,,,,,221.7
229,Davante Adams,LAR,8,WR76,,,,,,222.7
230,Charles Johnson,,,WR77,,,,,,223.3
231,Tim Hightower,,,RB71,,,,,,224.3
232,Keith Marshall,,,RB72,,,,,,225
233,Tony Romo,,,QB28,,,,,,180
234,Alex Smith,,,QB29,,,,,,227.7
235,Kenjon Barner,,,RB73,,,,,,227.7
236,Karlos Williams,,,RB74,,,,,,229
237,Ronnie Hillman,,,RB75,,,,,,231.7
238,Quinton Patton,,,WR78,,,,,,233.3
239,Robert Woods,PIT,8,WR79,,,,,,234.7
240,Braxton Miller,,,WR80,,,,,,235.3
241,Matt Prater,,,K14,,,,,,235.7
242,Jamison Crowder,,,WR81,,,,,,237.7
243,Dan Carpenter,,,K15,,,,,,196.5
244,Cameron Artis-Payne,,,RB76,,,,,,238.7
245,Will,Tye,,TE29,,,,,,239.3
246,Malcolm Mitchell,,,WR82,,,,,,241
247,Jermaine Kearse,,,WR83,,,,,,242
248,Carson Wentz,,,QB30,,,,,,243
249,Pittsburgh Steelers,DST,8,DST16,,,,,,210
250,Danny Amendola,,,WR84,,,,,,249
251,Andre Ellington,,,RB77,,,,,,249.3
252,Kenyan Drake,,,RB78,,,,,,249.7
253,Benjamin Watson,,,TE30,,,,,,215.5
254,Justin Hardy,,,WR85,,,,,,217
255,Zach Zenner,,,RB79,,,,,,252.7
256,Benny Cunningham Jr.,,,RB80,,,,,,254.7
257,Brandon LaFell,,,WR86,,,,,,254.7
258,Sam Bradford,,,QB31,,,,,,255
259,Pharoh Cooper,,,WR87,,,,,,255.7
260,Tyler Higbee,LAR,8,TE31,,,,,,256.3
261,Lance Dunbar,,,RB81,,,,,,225
262,Jacob Tamme,,,TE32,,,,,,274.3
263,Jonathan Williams,,,RB82,,,,,,259.3
264,New York Giants,DST,8,DST17,,,,,,229
