Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
147.7,Rhamondre Stevenson,NE,14.9,15,7.2,6,2.4,18,14.5,7,22.9,13.2,,21.7,4.9,,,,,
3.2,Jake Funk,IND,3.2,,,,,,,,,,,,,,,,,
5.2,Sean Tucker,TB,4.4,0.7,0.1,,,,,,,0,,,,,,,,
41.3,Jeff Wilson Jr.,MIA,,,,,,,1.4,5.7,6.8,,,10.3,1.1,0,1.6,3.5,6.4,4.5
91.2,D'Onta Foreman,CHI,4.4,,,,,7.7,33,4.6,8.3,17.2,7.4,,,9.2,-0.6,,,
236.8,James Cook,BUF,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,14.1,19.2,16,,25.1,36.1,7,5.4,8.2
288.5,Breece Hall,NYJ,15.7,0.9,3.7,9.9,28.4,20.3,,21.3,10,10.5,18.3,11.9,10.5,26.6,2.8,43.1,27.6,27
0,Justin Simmons,DEN,,,,,,,,,,,0,0,0,0,,,0,
167.5,Zack Moss,IND,,20.7,22.5,7,33.5,17.9,7.2,14.4,2.6,0.2,,9,7.6,9.6,12.3,,,3
21.3,Kevin Harris,NE,,,,,,,,,,,,,,,8.5,2.1,8.9,1.8
0,Godwin Igwebuike,PIT,0,0,,,,,,,,,,,,,,,,
227,Alvin Kamara,NO,,,,21.4,18.7,17.4,27.3,27,11,14.5,,15.9,28.9,13.5,16,8.5,6.9,
112.5,Khalil Herbert,CHI,9.4,6.8,5.5,22.2,7.6,,,,,,6.1,5.8,,0.8,2.2,19.1,20.9,6.1
4.4,Adam Prentice,NO,0,0,0,2,0,,,,,0,,0,0,0,0,0,2.4,0
102.1,Roschon Johnson,CHI,17.5,6.2,6.9,2.5,1.9,,,6.1,2.5,7.2,3,12.5,,0.6,10,8.3,14.9,2
15,Deuce Vaughn,DAL,0.8,6.2,,2.1,1.8,,,,,1.9,,,,,,,2.2,
14,Keaontay Ingram,KC,-0.4,0.6,3.1,,,7.1,,2.6,0.8,0.2,,,,,,,,
135.6,Tyler Allgeier,ATL,24.4,4.8,4.9,2.2,4,5.1,14.2,3.1,11,4.8,,6.4,2.6,4,6.1,15.8,15.8,6.4
75.9,Zamir White,LV,1.7,2.2,0,1.5,,2.9,5.8,0,-0.2,0.5,,0,,0.8,17.5,14.5,15.6,13.1
101,Ty Chandler,MIN,2.8,2.9,4.1,,,,2.2,0,,10.4,15,2.1,,7.2,24.7,7.7,9.4,11
163.1,Devin Singletary,HST,1.5,3.4,6.5,4.6,0,7.2,,6.3,4.6,23.1,19.8,13.2,5,12.5,21,9.3,11.6,13.5
0,Jordan Mims,NO,,,,,,,,,,,,,,,,,,0
106.1,Zach Charbonnet,SEA,1.1,5,5.5,5,,3.9,,8.4,2.3,10.2,12.9,9.8,16.9,5.8,1.6,0.6,9.1,8
238.1,Derrick Henry,TEN,13.9,18.5,2,20.3,9.2,19.3,,16.2,19.2,3,5.4,20.6,25,18.1,5,16.9,4.2,21.3
41,Ameer Abdullah,LV,0,1.5,3.6,3.4,2.5,0,0,2.9,4.5,1.4,1.4,2.3,,3.9,6.5,2.2,3.2,1.7
0,Nick Bellore,SEA,,,,,,,0,0,,,,,,,0,,,
10.6,Chris Brooks,MIA,,,6.6,,0,2.8,,,,,,,,,,,1.2,
18.3,Israel Abanikanda,NYJ,,,,,,,,,,,2.6,,,-0.1,3.9,4.3,7,0.6
111.3,Justice Hill,BLT,12.9,8.3,,3.3,14.5,6.5,5.8,9.5,4,0.7,1.7,3.1,,2.2,2.3,8.7,22.2,5.6
39.7,Chase Edmonds,TB,0.8,1.2,,,,,,4.1,0.4,1.7,2.9,1.1,1.9,7.8,1.3,2.5,10.6,3.4
15.1,Raheem Blackshear,CAR,,,,,,3.2,,5.1,1.5,2.3,0,,0.6,1.8,0,0,0,0.6
395.3,Christian McCaffrey,SF,25.9,22.5,22.9,48.7,15.8,14.2,24.6,29.8,,20.2,21.3,30.9,22.3,16.3,41.7,25.1,13.1,
44.2,Dalvin Cook,NYJ,8.9,2.2,5.9,2.8,2.3,2.4,,0.5,1.8,2.6,1.3,4.1,5.6,1.8,2,0,,
63.7,Joshua Kelley,LAC,15.1,3.9,2.7,6.5,,1.4,13.5,2.1,3.2,1.6,1.3,3.4,4.5,0.6,3.8,-0.2,0.2,0.1
265,Joe Mixon,CIN,10.3,13.5,14,8.6,13.4,9.2,,20,17.8,12.5,21,8,29.7,21.5,15.1,7,18.7,24.7
0,Jesse Luketa,ARZ,0,0,0,,0,,,,,,,,,,,,,
271.9,Rachaad White,TB,6.9,21.3,9.2,10.8,,6.8,15.9,17.9,27.9,17.8,17.8,13,19.6,21.5,21.9,19.7,10.6,13.3
5.1,Kenyan Drake,GB,,,5.1,,0,,,,,,,,,,0,,,
69.9,Keaton Mitchell,BLT,,,,,,,1.9,,20.4,13.6,5.1,10.9,,7.2,10.8,,,
215.9,Isiah Pacheco,KC,9.4,8,15.8,24.8,13.4,15.8,16,6.7,6.6,,10.1,25.9,21.3,,,12.6,29.5,
38.5,Kyle Juszczyk,SF,0,0,0.3,1.7,12.6,1.9,0,0,,10.6,0,0,0,0,4.6,1.5,5.3,0
4,Leonard Fournette,BUF,,,,,,,,,,,,,,,,2,,2
1,James Robinson,GB,,,,,,,,,,,,,1,,,,,
12.2,DeeJay Dallas,SEA,2.8,0.3,1.5,0,,0.9,1,,,,2.4,2.5,0.6,0,,0.2,,
0,Qadree Ollison,PIT,,,0,,,,,,,,,,,,,,,
0,Zaire Franklin,IND,,,,,,,,,,,,0,,0,,,,
53.5,Chase Brown,CIN,,0.2,0,0.7,1.2,2.2,,,,,,,6.1,19.5,8.1,4.4,4.8,6.3
33.6,Craig Reynolds,DET,,1.5,1.5,0,11.2,6.3,3.5,9.6,,0,0,0,0,0,,0,,0
2.1,Chris Evans,CIN,2.1,,,,0,0,,0,0,0,0,,,,,,,
34.8,D'Ernest Johnson,JAX,-0.4,2.7,3.2,-0.2,0,1.9,0,0.8,,6,6.4,7.1,1.9,4.8,0.5,0.2,0,-0.1
30,Patrick Taylor,GB,2.2,0.1,5.9,,2.7,,,,,,,2.5,2.9,7.2,2.2,1.3,3,0
46.9,Matt Breida,NYG,1.6,0.5,10.8,12.8,3.4,1.3,1.9,2.7,2.1,0.3,-0.1,2.6,,1.6,4.1,1.3,0,0
