Team,Season,Depth Chart,Name
GB,2020-21,RB1,aaron jones
GB,2020-21,RB2,aj dillon
GB,2020-21,RB3,jamaal williams
GB,2020-21,RB4,dexter williams
HOU,2020-21,RB1,david johnson
HOU,2020-21,RB2,duke johnson
HOU,2020-21,RB3,buddy howell
HOU,2020-21,RB4,karan higdon
IND,2020-21,RB1,marlon mack
IND,2020-21,RB2,jonathan taylor
IND,2020-21,RB3,nyheim hines
IND,2020-21,RB4,jordan wilkins
JAX,2020-21,RB1,devine ozigbo
JAX,2020-21,RB2,nathan cottrell
KC,2020-21,RB1,clyde edwards-helaire
KC,2020-21,RB2,darwin thompson
KC,2020-21,RB3,elijah mcguire
KC,2020-21,RB4,darrel williams
LAC,2020-21,RB1,austin ekeler
LAC,2020-21,RB2,justin jackson
LAC,2020-21,RB3,joshua kelley
LAC,2020-21,RB4,darius bradwell
LAR,2020-21,RB1,malcolm brown
LAR,2020-21,RB2,darrell henderson
LAR,2020-21,RB3,cam akers
LAR,2020-21,RB4,john kelly
LV,2020-21,RB1,josh jacobs
LV,2020-21,RB2,lynn bowden jr.
LV,2020-21,RB3,rod smith
LV,2020-21,RB4,jalen richard
MIA,2020-21,RB1,jordan howard
MIA,2020-21,RB2,kalen ballage
MIA,2020-21,RB3,salvon ahmed
MIN,2020-21,RB1,dalvin cook
MIN,2020-21,RB2,alexander mattison
MIN,2020-21,RB3,michael boone
MIN,2020-21,RB4,ameer abdullah
NE,2020-21,RB1,sony michel
NE,2020-21,RB2,damien harris
NE,2020-21,RB3,lamar miller
NO,2020-21,RB1,alvin kamara
NO,2020-21,RB2,latavius murray
NO,2020-21,RB3,ty montgomery
NO,2020-21,RB4,tony jones jr.
NYG,2020-21,RB1,saquon barkley
NYG,2020-21,RB2,dion lewis
NYG,2020-21,RB3,wayne gallman
NYG,2020-21,RB4,tavien feaster
NYJ,2020-21,RB1,frank gore
NYJ,2020-21,RB2,lamical perine
PIT,2020-21,RB1,james conner
PIT,2020-21,RB2,jaylen samuels
PIT,2020-21,RB3,benny snell jr.
PIT,2020-21,RB4,anthony mcfarland jr.
SEA,2020-21,RB1,chris carson
SEA,2020-21,RB2,carlos hyde
SEA,2020-21,RB3,rashaad penny
SEA,2020-21,RB4,deejay dallas
SF,2020-21,RB1,raheem mostert
SF,2020-21,RB2,tevin coleman
SF,2020-21,RB3,jerick mckinnon
SF,2020-21,RB4,jeffery wilson
TB,2020-21,RB1,lesean mccoy
TB,2020-21,RB2,ronald jones ii
TB,2020-21,RB3,ke'shawn vaughn
TB,2020-21,RB4,dare ogunbowale
TEN,2020-21,RB1,derrick henry
TEN,2020-21,RB2,darrynton evans
TEN,2020-21,RB3,khari blasingame
TEN,2020-21,RB4,senorise perry
WAS,2020-21,RB1,adrian peterson
WAS,2020-21,RB2,antonio gibson
WAS,2020-21,RB3,bryce love
WAS,2020-21,RB4,peyton barber
ARZ,2019-20,RB1,david johnson
ARZ,2019-20,RB2,chase edmonds
ARZ,2019-20,RB3,dj foster
ATL,2019-20,RB1,devonta freeman
ATL,2019-20,RB2,ito smith
ATL,2019-20,RB3,brian hill
ATL,2019-20,RB4,qadree ollison
BAL,2019-20,RB1,mark ingram
BAL,2019-20,RB2,gus edwards
BAL,2019-20,RB3,justice hill
BUF,2019-20,RB1,frank gore
BUF,2019-20,RB2,tj yeldon
BUF,2019-20,RB3,devin singletary
CAR,2019-20,RB1,christian mccaffrey
CAR,2019-20,RB2,reggie bonnafon
CAR,2019-20,RB3,jordan scarlett
CHI,2019-20,RB1,tarik cohen
CHI,2019-20,RB2,kerrith whyte jr.
CIN,2019-20,RB1,joe mixon
CIN,2019-20,RB2,giovani bernard
CIN,2019-20,RB3,trayveon williams
CIN,2019-20,RB4,samaje perine
CLE,2019-20,RB1,nick chubb
CLE,2019-20,RB2,dontrell hilliard
CLE,2019-20,RB3,d'ernest johnson
DAL,2019-20,RB1,tony pollard
DAL,2019-20,RB2,alfred morris
DEN,2019-20,RB1,phillip lindsay
DEN,2019-20,RB2,royce freeman
DEN,2019-20,RB3,devontae booker
DEN,2019-20,RB4,theo riddick
DET,2019-20,RB1,kerryon johnson
DET,2019-20,RB2,cj anderson
DET,2019-20,RB3,ty johnson
GB,2019-20,RB1,aaron jones
GB,2019-20,RB2,jamaal williams
GB,2019-20,RB3,dexter williams
HOU,2019-20,RB1,duke johnson
HOU,2019-20,RB2,carlos hyde
HOU,2019-20,RB3,buddy howell
HOU,2019-20,RB4,taiwan jones
IND,2019-20,RB1,marlon mack
IND,2019-20,RB2,nyheim hines
IND,2019-20,RB3,jordan wilkins
IND,2019-20,RB4,jonathan williams
JAX,2019-20,RB1,leonard fournette
JAX,2019-20,RB2,ryquell armstead
JAX,2019-20,RB3,tyler ervin
JAX,2019-20,RB4,devine ozigbo
KC,2019-20,RB1,damien williams
KC,2019-20,RB2,darrel williams
KC,2019-20,RB3,darwin thompson
KC,2019-20,RB4,tremon smith
LAC,2019-20,RB1,austin ekeler
LAC,2019-20,RB2,justin jackson
LAC,2019-20,RB3,troymaine pope
LAR,2019-20,RB1,todd gurley
LAR,2019-20,RB2,malcolm brown
LAR,2019-20,RB3,darrell henderson
LV,2019-20,RB1,josh jacobs
LV,2019-20,RB2,jalen richard
LV,2019-20,RB3,deandre washington
MIA,2019-20,RB1,kalen ballage
MIA,2019-20,RB2,kenyan drake
MIA,2019-20,RB3,mark walton
MIA,2019-20,RB4,patrick laird
MIN,2019-20,RB1,dalvin cook
MIN,2019-20,RB2,alexander mattison
MIN,2019-20,RB3,ameer abdullah
MIN,2019-20,RB4,michael boone
NE,2019-20,RB1,james white
NE,2019-20,RB2,rex burkhead
NE,2019-20,RB3,brandon bolden
NO,2019-20,RB1,alvin kamara
NO,2019-20,RB2,latavius murray
NO,2019-20,RB3,dwayne washington
NYG,2019-20,RB1,saquon barkley
NYG,2019-20,RB2,wayne gallman
NYG,2019-20,RB3,paul perkins
NYG,2019-20,RB4,elijhaa penny
NYJ,2019-20,RB1,le'veon bell
NYJ,2019-20,RB2,ty montgomery
PHI,2019-20,RB1,miles sanders
PHI,2019-20,RB2,darren sproles
PIT,2019-20,RB1,james conner
PIT,2019-20,RB2,jaylen samuels
PIT,2019-20,RB3,benny snell jr.
SEA,2019-20,RB1,chris carson
SEA,2019-20,RB2,rashaad penny
SEA,2019-20,RB3,cj prosise
SEA,2019-20,RB4,travis homer
SF,2019-20,RB1,tevin coleman
SF,2019-20,RB2,raheem mostert
TB,2019-20,RB1,peyton barber
TB,2019-20,RB2,ronald jones ii
TB,2019-20,RB3,dare ogunbowale
TEN,2019-20,RB1,derrick henry
TEN,2019-20,RB2,dion lewis
TEN,2019-20,RB3,david fluellen
TEN,2019-20,RB4,dalyn dawkins
WAS,2019-20,RB1,adrian peterson
WAS,2019-20,RB2,chris thompson
WAS,2019-20,RB3,shaun wilson
ARZ,2018-19,RB1,david johnson
ARZ,2018-19,RB2,chase edmonds
ARZ,2018-19,RB3,tj logan
ARZ,2018-19,RB4,sherman badie
ATL,2018-19,RB1,devonta freeman
ATL,2018-19,RB2,tevin coleman
ATL,2018-19,RB3,ito smith
ATL,2018-19,RB4,justin crawford
BAL,2018-19,RB1,alex collins
BAL,2018-19,RB2,javorius allen
BAL,2018-19,RB3,kenneth dixon
BAL,2018-19,RB4,gus edwards
CAR,2018-19,RB1,christian mccaffrey
CAR,2018-19,RB2,cj anderson
CAR,2018-19,RB3,cameron artis-payne
CAR,2018-19,RB4,kenjon barner
CLE,2018-19,RB1,carlos hyde
CLE,2018-19,RB2,duke johnson
CLE,2018-19,RB3,nick chubb
CLE,2018-19,RB4,matt dayes
DEN,2018-19,RB1,devontae booker
DEN,2018-19,RB2,royce freeman
DEN,2018-19,RB3,de'angelo henderson
DEN,2018-19,RB4,david williams
DET,2018-19,RB1,legarrette blount
DET,2018-19,RB2,ameer abdullah
DET,2018-19,RB3,dwayne washington
DET,2018-19,RB4,nick bellore
GB,2018-19,RB1,jamaal williams
GB,2018-19,RB2,ty montgomery
GB,2018-19,RB3,aaron jones
GB,2018-19,RB4,devante mays
HOU,2018-19,RB4,terry swanson
IND,2018-19,RB1,marlon mack
IND,2018-19,RB2,robert turbin
IND,2018-19,RB3,nyheim hines
IND,2018-19,RB4,jordan wilkins
JAX,2018-19,RB1,leonard fournette
JAX,2018-19,RB2,tj yeldon
JAX,2018-19,RB3,corey grant
JAX,2018-19,RB4,tim cook
LAC,2018-19,RB1,melvin gordon
LAC,2018-19,RB2,austin ekeler
LAC,2018-19,RB3,justin jackson
LAC,2018-19,RB4,russell hansbrough
LAR,2018-19,RB1,todd gurley
LAR,2018-19,RB2,malcolm brown
LAR,2018-19,RB3,justin davis
LAR,2018-19,RB4,john kelly
LV,2018-19,RB1,marshawn lynch
LV,2018-19,RB2,doug martin
LV,2018-19,RB3,jalen richard
LV,2018-19,RB4,chris warren
MIA,2018-19,RB1,frank gore
MIA,2018-19,RB2,kenyan drake
MIA,2018-19,RB3,senorise perry
MIA,2018-19,RB4,kalen ballage
MIN,2018-19,RB1,dalvin cook
MIN,2018-19,RB2,latavius murray
MIN,2018-19,RB3,mack brown
MIN,2018-19,RB4,roc thomas
