,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Bilal Powell,NYJ,7,4,57.14%,47,1,9.20%,0,0,,0,0,0.00%,All Bilal Powell red zone receiving plays
Denard Robinson,JAX,7,4,57.14%,34,0,7.90%,3,2,66.67%,12,0,5.90%,All Denard Robinson red zone receiving plays
Mohamed Sanu,CIN,7,4,57.14%,31,0,10.80%,2,0,0.00%,0,0,6.10%,All Mohamed Sanu red zone receiving plays
Cecil Shorts,HOU,7,5,71.43%,34,2,10.00%,2,2,100.00%,11,2,6.90%,All Cecil Shorts red zone receiving plays
De'Anthony Thomas,KAN,7,6,85.71%,33,1,12.10%,2,2,100.00%,-3,0,10.50%,All De'Anthony Thomas red zone receiving plays
Mike Tolbert,CAR,7,6,85.71%,32,3,10.10%,3,3,100.00%,7,2,10.00%,All Mike Tolbert red zone receiving plays
Clive Walford,OAK,7,2,28.57%,11,2,12.50%,2,2,100.00%,11,2,9.10%,All Clive Walford red zone receiving plays
Mike Wallace,MIN,7,3,42.86%,21,2,18.40%,4,2,50.00%,11,2,26.70%,All Mike Wallace red zone receiving plays
Robert Woods,BUF,7,4,57.14%,29,2,17.90%,3,2,66.67%,5,1,15.80%,All Robert Woods red zone receiving plays
Nelson Agholor,PHI,6,2,33.33%,23,0,11.50%,1,0,0.00%,0,0,4.30%,All Nelson Agholor red zone receiving plays
Keenan Allen,SDG,6,5,83.33%,52,2,8.60%,1,1,100.00%,9,0,3.80%,All Keenan Allen red zone receiving plays
Jaron Brown,ARI,6,3,50.00%,10,1,7.70%,5,3,60.00%,10,1,12.50%,All Jaron Brown red zone receiving plays
Corey Brown,CAR,6,3,50.00%,27,1,8.70%,3,2,66.67%,11,1,10.00%,All Corey Brown red zone receiving plays
Andre Caldwell,DEN,6,4,66.67%,21,2,8.70%,3,3,100.00%,15,2,10.30%,All Andre Caldwell red zone receiving plays
Ed Dickson,CAR,6,4,66.67%,7,2,8.70%,3,2,66.67%,5,2,10.00%,All Ed Dickson red zone receiving plays
Stefon Diggs,MIN,6,3,50.00%,23,1,15.80%,1,0,0.00%,0,0,6.70%,All Stefon Diggs red zone receiving plays
Harry Douglas,TEN,6,4,66.67%,32,2,10.90%,3,2,66.67%,8,1,9.70%,All Harry Douglas red zone receiving plays
Gavin Escobar,DAL,6,2,33.33%,15,1,8.50%,3,1,33.33%,2,1,7.90%,All Gavin Escobar red zone receiving plays
Anthony Fasano,TEN,6,3,50.00%,34,2,10.90%,4,1,25.00%,5,1,12.90%,All Anthony Fasano red zone receiving plays
Ryan Grant,WAS,6,3,50.00%,16,2,7.60%,3,2,66.67%,8,2,7.30%,All Ryan Grant red zone receiving plays
Rashad Greene,JAX,6,4,66.67%,9,2,6.70%,5,3,60.00%,3,2,9.80%,All Rashad Greene red zone receiving plays
Jonathan Grimes,HOU,6,5,83.33%,34,1,8.60%,3,2,66.67%,7,0,10.30%,All Jonathan Grimes red zone receiving plays
Justin Hardy,ATL,6,4,66.67%,26,0,8.30%,3,2,66.67%,9,0,8.30%,All Justin Hardy red zone receiving plays
