,,Inside 20,,,,,,Inside 10,,,,,,
River Cracraft,SFO,3,2,66.67%,11,0,4.00%,1,0,0.00%,0,0,2.60%,All River Cracraft red zone receiving plays
DeeJay Dallas,SEA,3,3,100.00%,9,1,3.80%,1,1,100.00%,2,1,2.30%,All DeeJay Dallas red zone receiving plays
Ross Dwelley,SFO,3,2,66.67%,17,1,4.00%,2,1,50.00%,1,0,5.10%,All Ross Dwelley red zone receiving plays
Royce Freeman,DEN,3,3,100.00%,20,0,5.30%,0,0,,0,0,0.00%,All Royce Freeman red zone receiving plays
Antonio Gibson,WAS,3,2,66.67%,12,0,5.70%,1,0,0.00%,0,0,5.00%,All Antonio Gibson red zone receiving plays
C.J. Ham,MIN,3,1,33.33%,12,1,5.40%,0,0,,0,0,0.00%,All C.J. Ham red zone receiving plays
Mecole Hardman,KAN,3,3,100.00%,18,2,3.80%,2,2,100.00%,11,2,4.00%,All Mecole Hardman red zone receiving plays
Demetrius Harris,CHI,3,1,33.33%,6,0,3.50%,1,0,0.00%,0,0,2.30%,All Demetrius Harris red zone receiving plays
Deonte Harty,NOR,3,3,100.00%,14,1,4.00%,1,1,100.00%,4,1,3.70%,All Deonte Harty red zone receiving plays
KhaDarel Hodge,CLE,3,3,100.00%,29,0,4.50%,1,1,100.00%,4,0,2.60%,All KhaDarel Hodge red zone receiving plays
O.J. Howard,TAM,3,2,66.67%,12,1,3.80%,1,1,100.00%,9,1,2.00%,All O.J. Howard red zone receiving plays
Alec Ingold,LVR,3,2,66.67%,3,1,4.50%,3,2,66.67%,3,1,7.30%,All Alec Ingold red zone receiving plays
Andy Isabella,ARI,3,2,66.67%,17,2,4.80%,1,1,100.00%,4,1,2.80%,All Andy Isabella red zone receiving plays
Josh Jacobs,LVR,3,0,0.00%,0,0,4.50%,1,0,0.00%,0,0,2.40%,All Josh Jacobs red zone receiving plays
Van Jefferson,LAR,3,1,33.33%,7,1,5.70%,2,1,50.00%,7,1,8.30%,All Van Jefferson red zone receiving plays
George Kittle,SFO,3,2,66.67%,7,1,4.00%,3,2,66.67%,7,1,7.70%,All George Kittle red zone receiving plays
Austin Mack,NYG,3,1,33.33%,8,0,4.80%,1,1,100.00%,8,0,4.30%,All Austin Mack red zone receiving plays
LeSean McCoy,TAM,3,2,66.67%,8,0,3.80%,0,0,,0,0,0.00%,All LeSean McCoy red zone receiving plays
Scott Miller,TAM,3,3,100.00%,35,1,3.80%,0,0,,0,0,0.00%,All Scott Miller red zone receiving plays
Joe Mixon,CIN,3,2,66.67%,9,1,4.30%,2,1,50.00%,9,1,6.10%,All Joe Mixon red zone receiving plays
Gabe Nabers,LAC,3,2,66.67%,6,2,4.10%,2,2,100.00%,6,2,5.70%,All Gabe Nabers red zone receiving plays
Brandon Powell,ATL,3,2,66.67%,13,2,3.90%,2,2,100.00%,13,2,5.10%,All Brandon Powell red zone receiving plays
Byron Pringle,KAN,3,3,100.00%,19,1,3.80%,2,2,100.00%,7,1,4.00%,All Byron Pringle red zone receiving plays
Patrick Ricard,BAL,3,3,100.00%,8,1,5.40%,3,3,100.00%,8,1,9.10%,All Patrick Ricard red zone receiving plays
Richard Rodgers,PHI,3,2,66.67%,37,1,5.40%,0,0,,0,0,0.00%,All Richard Rodgers red zone receiving plays
Cam Sims,WAS,3,2,66.67%,11,0,5.70%,2,1,50.00%,5,0,10.00%,All Cam Sims red zone receiving plays
Kaden Smith,NYG,3,1,33.33%,2,0,4.80%,1,1,100.00%,2,0,4.30%,All Kaden Smith red zone receiving plays
Lee Smith,BUF,3,2,66.67%,5,2,3.90%,3,2,66.67%,5,2,7.30%,All Lee Smith red zone receiving plays
Jace Sternberger,GNB,3,3,100.00%,16,1,4.00%,2,2,100.00%,4,1,4.40%,All Jace Sternberger red zone receiving plays
Chris Thompson,JAX,3,2,66.67%,16,1,4.80%,0,0,,0,0,0.00%,All Chris Thompson red zone receiving plays
Ian Thomas,CAR,3,2,66.67%,13,1,5.50%,1,1,100.00%,2,1,4.00%,All Ian Thomas red zone receiving plays
Adam Trautman,NOR,3,3,100.00%,19,1,4.00%,2,2,100.00%,15,1,7.40%,All Adam Trautman red zone receiving plays
Laquon Treadwell,ATL,3,2,66.67%,14,2,3.90%,3,2,66.67%,14,2,7.70%,All Laquon Treadwell red zone receiving plays
Nick Vannett,DEN,3,2,66.67%,17,1,5.30%,2,1,50.00%,2,1,7.10%,All Nick Vannett red zone receiving plays
Jamaal Williams,GNB,3,3,100.00%,8,1,4.00%,2,2,100.00%,3,1,4.40%,All Jamaal Williams red zone receiving plays
Maxx Williams,ARI,3,3,100.00%,18,1,4.80%,3,3,100.00%,18,1,8.30%,All Maxx Williams red zone receiving plays
Cam Akers,LAR,2,2,100.00%,6,1,3.80%,2,2,100.00%,6,1,8.30%,All Cam Akers red zone receiving plays
Saquon Barkley,NYG,2,1,50.00%,7,0,3.20%,1,0,0.00%,0,0,4.30%,All Saquon Barkley red zone receiving plays
Noah Brown,DAL,2,2,100.00%,15,0,2.60%,0,0,,0,0,0.00%,All Noah Brown red zone receiving plays
Dez Bryant,BAL,2,2,100.00%,19,2,3.60%,1,1,100.00%,8,1,3.00%,All Dez Bryant red zone receiving plays
Damiere Byrd,NWE,2,1,50.00%,8,0,5.00%,1,0,0.00%,0,0,5.90%,All Damiere Byrd red zone receiving plays
Austin Carr,NOR,2,1,50.00%,11,1,2.70%,0,0,,0,0,0.00%,All Austin Carr red zone receiving plays
Nick Chubb,CLE,2,2,100.00%,11,0,3.00%,1,1,100.00%,8,0,2.60%,All Nick Chubb red zone receiving plays
Tarik Cohen,CHI,2,2,100.00%,-5,0,2.40%,1,1,100.00%,-8,0,2.30%,All Tarik Cohen red zone receiving plays
Tevin Coleman,SFO,2,2,100.00%,10,0,2.70%,0,0,,0,0,0.00%,All Tevin Coleman red zone receiving plays
Dalvin Cook,MIN,2,2,100.00%,16,0,3.60%,1,1,100.00%,3,0,2.90%,All Dalvin Cook red zone receiving plays
Kenyan Drake,ARI,2,1,50.00%,3,0,3.20%,0,0,,0,0,0.00%,All Kenyan Drake red zone receiving plays
Devin Duvernay,BAL,2,2,100.00%,7,0,3.60%,1,1,100.00%,0,0,3.00%,All Devin Duvernay red zone receiving plays
Devonta Freeman,NYG,2,2,100.00%,-6,0,3.20%,2,2,100.00%,-6,0,8.70%,All Devonta Freeman red zone receiving plays
Frank Gore,NYJ,2,1,50.00%,6,0,5.70%,0,0,,0,0,0.00%,All Frank Gore red zone receiving plays
Marvin Hall,DET,2,0,0.00%,0,0,2.90%,1,0,0.00%,0,0,3.30%,All Marvin Hall red zone receiving plays
John Hightower,PHI,2,1,50.00%,-2,0,3.60%,0,0,,0,0,0.00%,All John Hightower red zone receiving plays
Justice Hill,BAL,2,2,100.00%,7,0,3.60%,1,1,100.00%,3,0,3.00%,All Justice Hill red zone receiving plays
Chris Hogan,NYJ,2,0,0.00%,0,0,5.70%,2,0,0.00%,0,0,12.50%,All Chris Hogan red zone receiving plays
Mack Hollins,MIA,2,1,50.00%,11,1,3.10%,1,0,0.00%,0,0,2.30%,All Mack Hollins red zone receiving plays
Mark Ingram,BAL,2,1,50.00%,4,0,3.60%,0,0,,0,0,0.00%,All Mark Ingram red zone receiving plays
Dontrelle Inman,WAS,2,2,100.00%,28,2,3.80%,0,0,,0,0,0.00%,All Dontrelle Inman red zone receiving plays
DeSean Jackson,PHI,2,0,0.00%,0,0,3.60%,0,0,,0,0,0.00%,All DeSean Jackson red zone receiving plays
Richie James,SFO,2,2,100.00%,14,0,2.70%,1,1,100.00%,5,0,2.60%,All Richie James red zone receiving plays
Alshon Jeffery,PHI,2,1,50.00%,15,1,3.60%,1,0,0.00%,0,0,4.50%,All Alshon Jeffery red zone receiving plays
Jakob Johnson,NWE,2,2,100.00%,1,1,5.00%,1,1,100.00%,1,1,5.90%,All Jakob Johnson red zone receiving plays
Kerryon Johnson,DET,2,1,50.00%,9,1,2.90%,1,1,100.00%,9,1,3.30%,All Kerryon Johnson red zone receiving plays
KeeSean Johnson,ARI,2,1,50.00%,7,0,3.20%,2,1,50.00%,7,0,5.60%,All KeeSean Johnson red zone receiving plays
Joshua Kelley,LAC,2,2,100.00%,1,0,2.70%,1,1,100.00%,-7,0,2.90%,All Joshua Kelley red zone receiving plays
Vance McDonald,PIT,2,2,100.00%,5,0,2.60%,1,1,100.00%,2,0,2.70%,All Vance McDonald red zone receiving plays
Denzel Mims,NYJ,2,0,0.00%,0,0,5.70%,1,0,0.00%,0,0,6.30%,All Denzel Mims red zone receiving plays
Steven Mitchell,HOU,2,2,100.00%,14,0,2.60%,1,1,100.00%,2,0,2.40%,All Steven Mitchell red zone receiving plays
Zack Moss,BUF,2,1,50.00%,4,1,2.60%,2,1,50.00%,4,1,4.90%,All Zack Moss red zone receiving plays
Ryan Nall,CHI,2,2,100.00%,8,1,2.40%,1,1,100.00%,6,1,2.30%,All Ryan Nall red zone receiving plays
Cordarrelle Patterson,CHI,2,2,100.00%,13,0,2.40%,0,0,,0,0,0.00%,All Cordarrelle Patterson red zone receiving plays
Troymaine Pope,LAC,2,2,100.00%,10,0,2.70%,1,1,100.00%,4,0,2.90%,All Troymaine Pope red zone receiving plays
MyCole Pruitt,TEN,2,1,50.00%,1,1,3.10%,2,1,50.00%,1,1,6.50%,All MyCole Pruitt red zone receiving plays
Henry Ruggs,LVR,2,0,0.00%,0,0,3.00%,2,0,0.00%,0,0,4.90%,All Henry Ruggs red zone receiving plays
Deebo Samuel,SFO,2,2,100.00%,20,1,2.70%,1,1,100.00%,6,1,2.60%,All Deebo Samuel red zone receiving plays
Mohamed Sanu,2TM,2,2,100.00%,23,1,,0,0,,0,0,,All Mohamed Sanu red zone receiving plays
Steven Sims,WAS,2,2,100.00%,20,1,3.80%,1,1,100.00%,3,1,5.00%,All Steven Sims red zone receiving plays
Jeff Smith,NYJ,2,0,0.00%,0,0,5.70%,2,0,0.00%,0,0,12.50%,All Jeff Smith red zone receiving plays
Benny Snell,PIT,2,0,0.00%,0,0,2.60%,2,0,0.00%,0,0,5.40%,All Benny Snell red zone receiving plays
Geoff Swaim,TEN,2,2,100.00%,21,1,3.10%,1,1,100.00%,5,1,3.20%,All Geoff Swaim red zone receiving plays
Darwin Thompson,KAN,2,2,100.00%,11,1,2.50%,1,1,100.00%,8,1,2.00%,All Darwin Thompson red zone receiving plays
C.J. Uzomah,CIN,2,1,50.00%,6,0,2.90%,1,0,0.00%,0,0,3.00%,All C.J. Uzomah red zone receiving plays
Ke'Shawn Vaughn,TAM,2,1,50.00%,9,1,2.60%,2,1,50.00%,9,1,4.10%,All Ke'Shawn Vaughn red zone receiving plays
Kahale Warring,HOU,2,0,0.00%,0,0,2.60%,1,0,0.00%,0,0,2.40%,All Kahale Warring red zone receiving plays
Quez Watkins,PHI,2,1,50.00%,5,0,3.60%,1,0,0.00%,0,0,4.50%,All Quez Watkins red zone receiving plays
Jordan Wilkins,IND,2,1,50.00%,4,0,2.80%,1,0,0.00%,0,0,4.20%,All Jordan Wilkins red zone receiving plays
Darrel Williams,KAN,2,1,50.00%,2,0,2.50%,1,1,100.00%,2,0,2.00%,All Darrel Williams red zone receiving plays
Deon Yelder,KAN,2,1,50.00%,6,0,2.50%,1,0,0.00%,0,0,2.00%,All Deon Yelder red zone receiving plays
Olamide Zaccheaus,ATL,2,0,0.00%,0,0,2.60%,1,0,0.00%,0,0,2.60%,All Olamide Zaccheaus red zone receiving plays
Salvon Ahmed,MIA,1,1,100.00%,5,0,1.60%,1,1,100.00%,5,0,2.30%,All Salvon Ahmed red zone receiving plays
Josh Allen,BUF,1,1,100.00%,12,1,1.30%,0,0,,0,0,0.00%,All Josh Allen red zone receiving plays
JJ Arcega-Whiteside,PHI,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All JJ Arcega-Whiteside red zone receiving plays
Devin Asiasi,NWE,1,0,0.00%,0,0,2.50%,0,0,,0,0,0.00%,All Devin Asiasi red zone receiving plays
Cameron Batson,TEN,1,1,100.00%,8,1,1.60%,1,1,100.00%,8,1,3.20%,All Cameron Batson red zone receiving plays
Marcus Baugh,WAS,1,1,100.00%,2,0,1.90%,0,0,,0,0,0.00%,All Marcus Baugh red zone receiving plays
Christian Blake,ATL,1,1,100.00%,-1,0,1.30%,0,0,,0,0,0.00%,All Christian Blake red zone receiving plays
Reggie Bonnafon,CAR,1,1,100.00%,3,1,1.80%,1,1,100.00%,3,1,4.00%,All Reggie Bonnafon red zone receiving plays
Lynn Bowden,MIA,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,2.30%,All Lynn Bowden red zone receiving plays
Hunter Bryant,DET,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Hunter Bryant red zone receiving plays
Deontay Burnett,PHI,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Deontay Burnett red zone receiving plays
Michael Burton,NOR,1,1,100.00%,4,0,1.30%,1,1,100.00%,4,0,3.70%,All Michael Burton red zone receiving plays
Hakeem Butler,PHI,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,4.50%,All Hakeem Butler red zone receiving plays
Jake Butt,DEN,1,1,100.00%,0,0,1.80%,1,1,100.00%,0,0,3.60%,All Jake Butt red zone receiving plays
Lawrence Cager,NYJ,1,0,0.00%,0,0,2.90%,1,0,0.00%,0,0,6.30%,All Lawrence Cager red zone receiving plays
Cethan Carter,CIN,1,1,100.00%,1,0,1.40%,1,1,100.00%,1,0,3.00%,All Cethan Carter red zone receiving plays
DeAndre Carter,HOU,1,1,100.00%,8,0,1.30%,1,1,100.00%,8,0,2.40%,All DeAndre Carter red zone receiving plays
Jason Croom,PHI,1,1,100.00%,3,1,1.80%,1,1,100.00%,3,1,4.50%,All Jason Croom red zone receiving plays
Dominique Dafney,GNB,1,1,100.00%,13,1,1.30%,0,0,,0,0,0.00%,All Dominique Dafney red zone receiving plays
Tyler Davis,JAX,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Tyler Davis red zone receiving plays
Gehrig Dieter,KAN,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Gehrig Dieter red zone receiving plays
AJ Dillon,GNB,1,1,100.00%,5,0,1.30%,0,0,,0,0,0.00%,All AJ Dillon red zone receiving plays
J.K. Dobbins,BAL,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.00%,All J.K. Dobbins red zone receiving plays
Bryan Edwards,LVR,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.40%,All Bryan Edwards red zone receiving plays
Gus Edwards,BAL,1,1,100.00%,2,0,1.80%,0,0,,0,0,0.00%,All Gus Edwards red zone receiving plays
Alex Erickson,CIN,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Alex Erickson red zone receiving plays
Darrynton Evans,TEN,1,1,100.00%,3,1,1.60%,1,1,100.00%,3,1,3.20%,All Darrynton Evans red zone receiving plays
Eric Fisher,KAN,1,1,100.00%,2,1,1.30%,1,1,100.00%,2,1,2.00%,All Eric Fisher red zone receiving plays
D'Onta Foreman,TEN,1,1,100.00%,5,1,1.60%,1,1,100.00%,5,1,3.20%,All D'Onta Foreman red zone receiving plays
Robert Foster,WAS,1,0,0.00%,0,0,1.90%,1,0,0.00%,0,0,5.00%,All Robert Foster red zone receiving plays
Nick Gates,NYG,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,4.30%,All Nick Gates red zone receiving plays
Reggie Gilliam,BUF,1,1,100.00%,1,1,1.30%,1,1,100.00%,1,1,2.40%,All Reggie Gilliam red zone receiving plays
Damien Harris,NWE,1,0,0.00%,0,0,2.50%,0,0,,0,0,0.00%,All Damien Harris red zone receiving plays
Jerald Hawkins,PIT,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.70%,All Jerald Hawkins red zone receiving plays
Derrick Henry,TEN,1,1,100.00%,5,0,1.60%,1,1,100.00%,5,0,3.20%,All Derrick Henry red zone receiving plays
Brian Hill,ATL,1,1,100.00%,4,0,1.30%,0,0,,0,0,0.00%,All Brian Hill red zone receiving plays
Josh Hill,NOR,1,1,100.00%,3,1,1.30%,1,1,100.00%,3,1,3.70%,All Josh Hill red zone receiving plays
K.J. Hill,LAC,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All K.J. Hill red zone receiving plays
Taysom Hill,NOR,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,3.70%,All Taysom Hill red zone receiving plays
J.P. Holtz,CHI,1,0,0.00%,0,0,1.20%,1,0,0.00%,0,0,2.30%,All J.P. Holtz red zone receiving plays
Travis Homer,SEA,1,1,100.00%,3,1,1.30%,1,1,100.00%,3,1,2.30%,All Travis Homer red zone receiving plays
Lil'Jordan Humphrey,NOR,1,1,100.00%,17,1,1.30%,0,0,,0,0,0.00%,All Lil'Jordan Humphrey red zone receiving plays
Trenton Irwin,CIN,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Trenton Irwin red zone receiving plays
Ryan Izzo,NWE,1,0,0.00%,0,0,2.50%,1,0,0.00%,0,0,5.90%,All Ryan Izzo red zone receiving plays
D'Ernest Johnson,CLE,1,1,100.00%,5,0,1.50%,0,0,,0,0,0.00%,All D'Ernest Johnson red zone receiving plays
Juwan Johnson,NOR,1,1,100.00%,5,0,1.30%,0,0,,0,0,0.00%,All Juwan Johnson red zone receiving plays
Marcus Johnson,IND,1,1,100.00%,4,0,1.40%,0,0,,0,0,0.00%,All Marcus Johnson red zone receiving plays
Ty Johnson,NYJ,1,1,100.00%,18,1,2.90%,0,0,,0,0,0.00%,All Ty Johnson red zone receiving plays
Tyron Johnson,LAC,1,1,100.00%,12,1,1.40%,0,0,,0,0,0.00%,All Tyron Johnson red zone receiving plays
Patrick Laird,MIA,1,1,100.00%,4,0,1.60%,0,0,,0,0,0.00%,All Patrick Laird red zone receiving plays
Kendall Lamm,CLE,1,1,100.00%,1,1,1.50%,1,1,100.00%,1,1,2.60%,All Kendall Lamm red zone receiving plays
Phillip Lindsay,DEN,1,1,100.00%,11,0,1.80%,0,0,,0,0,0.00%,All Phillip Lindsay red zone receiving plays
Patrick Mahomes,KAN,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.00%,All Patrick Mahomes red zone receiving plays
Christian McCaffrey,CAR,1,1,100.00%,9,1,1.80%,1,1,100.00%,9,1,4.00%,All Christian McCaffrey red zone receiving plays
Ray-Ray McCloud,PIT,1,1,100.00%,0,0,1.30%,0,0,,0,0,0.00%,All Ray-Ray McCloud red zone receiving plays
Jaydon Mickens,TAM,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Jaydon Mickens red zone receiving plays
Ty Montgomery,NOR,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Ty Montgomery red zone receiving plays
Foster Moreau,LVR,1,1,100.00%,1,1,1.50%,1,1,100.00%,1,1,2.40%,All Foster Moreau red zone receiving plays
Alfred Morris,NYG,1,1,100.00%,6,1,1.60%,1,1,100.00%,6,1,4.30%,All Alfred Morris red zone receiving plays
Johnny Mundt,LAR,1,1,100.00%,7,0,1.90%,0,0,,0,0,0.00%,All Johnny Mundt red zone receiving plays
Cam Newton,NWE,1,1,100.00%,19,1,2.50%,0,0,,0,0,0.00%,All Cam Newton red zone receiving plays
James O'Shaughnessy,JAX,1,1,100.00%,7,0,1.60%,0,0,,0,0,0.00%,All James O'Shaughnessy red zone receiving plays
Devine Ozigbo,JAX,1,1,100.00%,4,0,1.60%,0,0,,0,0,0.00%,All Devine Ozigbo red zone receiving plays
Colby Parkinson,SEA,1,1,100.00%,6,0,1.30%,0,0,,0,0,0.00%,All Colby Parkinson red zone receiving plays
Elijhaa Penny,NYG,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Elijhaa Penny red zone receiving plays
Donovan Peoples-Jones,CLE,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Donovan Peoples-Jones red zone receiving plays
La'Mical Perine,NYJ,1,1,100.00%,7,0,2.90%,0,0,,0,0,0.00%,All La'Mical Perine red zone receiving plays
Adrian Peterson,DET,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.30%,All Adrian Peterson red zone receiving plays
Scottie Phillips,HOU,1,1,100.00%,7,0,1.30%,0,0,,0,0,0.00%,All Scottie Phillips red zone receiving plays
Dak Prescott,DAL,1,1,100.00%,11,1,1.30%,0,0,,0,0,0.00%,All Dak Prescott red zone receiving plays
C.J. Prosise,HOU,1,1,100.00%,2,1,1.30%,1,1,100.00%,2,1,2.40%,All C.J. Prosise red zone receiving plays
Theo Riddick,LVR,1,1,100.00%,8,0,1.50%,1,1,100.00%,8,0,2.40%,All Theo Riddick red zone receiving plays
Riley Ridley,CHI,1,1,100.00%,5,0,1.20%,0,0,,0,0,0.00%,All Riley Ridley red zone receiving plays
Andre Roberts,BUF,1,1,100.00%,2,0,1.30%,1,1,100.00%,2,0,2.40%,All Andre Roberts red zone receiving plays
Miles Sanders,PHI,1,1,100.00%,11,0,1.80%,0,0,,0,0,0.00%,All Miles Sanders red zone receiving plays
Darrius Shepherd,GNB,1,1,100.00%,2,0,1.30%,1,1,100.00%,2,0,2.20%,All Darrius Shepherd red zone receiving plays
Anthony Sherman,KAN,1,1,100.00%,5,1,1.30%,1,1,100.00%,5,1,2.00%,All Anthony Sherman red zone receiving plays
Trent Sherfield,ARI,1,1,100.00%,3,0,1.60%,0,0,,0,0,0.00%,All Trent Sherfield red zone receiving plays
Keith Smith,ATL,1,1,100.00%,4,0,1.30%,0,0,,0,0,0.00%,All Keith Smith red zone receiving plays
Rodney Smith,CAR,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Rodney Smith red zone receiving plays
Vyncint Smith,NYJ,1,0,0.00%,0,0,2.90%,0,0,,0,0,0.00%,All Vyncint Smith red zone receiving plays
Matthew Stafford,DET,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Matthew Stafford red zone receiving plays
Kenny Stills,HOU,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.40%,All Kenny Stills red zone receiving plays
Luke Stocker,ATL,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.60%,All Luke Stocker red zone receiving plays
J.J. Taylor,NWE,1,0,0.00%,0,0,2.50%,0,0,,0,0,0.00%,All J.J. Taylor red zone receiving plays
Malik Taylor,GNB,1,1,100.00%,1,1,1.30%,1,1,100.00%,1,1,2.20%,All Malik Taylor red zone receiving plays
Colin Thompson,CAR,1,1,100.00%,7,1,1.80%,1,1,100.00%,7,1,4.00%,All Colin Thompson red zone receiving plays
Jordan Thomas,ARI,1,1,100.00%,3,1,1.60%,1,1,100.00%,3,1,2.80%,All Jordan Thomas red zone receiving plays
Mike Thomas,CIN,1,1,100.00%,4,1,1.40%,1,1,100.00%,4,1,3.00%,All Mike Thomas red zone receiving plays
Jonathan Ward,ARI,1,1,100.00%,11,1,1.60%,0,0,,0,0,0.00%,All Jonathan Ward red zone receiving plays
DeAndre Washington,KAN,1,1,100.00%,2,0,1.30%,0,0,,0,0,0.00%,All DeAndre Washington red zone receiving plays
Trevon Wesco,NYJ,1,1,100.00%,5,0,2.90%,0,0,,0,0,0.00%,All Trevon Wesco red zone receiving plays
Dede Westbrook,JAX,1,1,100.00%,4,0,1.60%,1,1,100.00%,4,0,4.20%,All Dede Westbrook red zone receiving plays
Nick Westbrook-Ikhine,TEN,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Nick Westbrook-Ikhine red zone receiving plays
Luke Willson,BAL,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.00%,All Luke Willson red zone receiving plays
Javon Wims,CHI,1,1,100.00%,1,1,1.20%,1,1,100.00%,1,1,2.30%,All Javon Wims red zone receiving plays
Charlie Woerner,SFO,1,1,100.00%,18,0,1.30%,0,0,,0,0,0.00%,All Charlie Woerner red zone receiving plays
Brandon Zylstra,CAR,1,1,100.00%,4,0,1.80%,0,0,,0,0,0.00%,All Brandon Zylstra red zone receiving plays
