,,Inside 20,,,,,,Inside 10,,,,,,
Kyle Pitts,ATL,14,4,28.57%,24,1,17.90%,7,3,42.86%,16,1,20.00%,All Kyle Pitts red zone receiving plays
Dalton Schultz,DAL,14,9,64.29%,71,6,14.10%,7,5,71.43%,27,5,20.00%,All Dalton Schultz red zone receiving plays
Amon-Ra St. Brown,DET,14,9,64.29%,62,3,23.30%,5,3,60.00%,11,2,20.00%,All Amon-Ra St. Brown red zone receiving plays
Cole Beasley,BUF,13,8,61.54%,39,0,11.40%,3,2,66.67%,4,0,6.00%,All Cole Beasley red zone receiving plays
Chase Claypool,PIT,13,6,46.15%,50,2,13.70%,7,2,28.57%,10,1,15.90%,All Chase Claypool red zone receiving plays
Jared Cook,LAC,13,6,46.15%,35,4,13.30%,6,3,50.00%,12,3,12.20%,All Jared Cook red zone receiving plays
Russell Gage,ATL,13,8,61.54%,85,3,16.70%,4,2,50.00%,9,1,11.40%,All Russell Gage red zone receiving plays
Jakobi Meyers,NWE,13,8,61.54%,40,2,18.60%,6,3,50.00%,17,1,20.70%,All Jakobi Meyers red zone receiving plays
D.J. Moore,CAR,13,5,38.46%,35,4,26.00%,9,5,55.56%,35,4,34.60%,All D.J. Moore red zone receiving plays
Zach Pascal,IND,13,6,46.15%,35,3,20.60%,9,3,33.33%,16,2,25.00%,All Zach Pascal red zone receiving plays
Adam Thielen,MIN,13,11,84.62%,65,7,18.60%,8,8,100.00%,35,6,25.00%,All Adam Thielen red zone receiving plays
Darren Waller,LVR,13,6,46.15%,31,2,17.60%,6,3,50.00%,11,2,17.60%,All Darren Waller red zone receiving plays
Odell Beckham,2TM,12,5,41.67%,22,4,,6,4,66.67%,17,4,,All Odell Beckham red zone receiving plays
Ja'Marr Chase,CIN,12,7,58.33%,64,5,21.40%,7,3,42.86%,17,3,24.10%,All Ja'Marr Chase red zone receiving plays
Randall Cobb,GNB,12,4,33.33%,16,4,10.50%,11,4,36.36%,16,4,22.00%,All Randall Cobb red zone receiving plays
Noah Fant,DEN,12,7,58.33%,48,4,20.70%,4,3,75.00%,12,3,12.50%,All Noah Fant red zone receiving plays
Alvin Kamara,NOR,12,9,75.00%,70,5,19.40%,5,3,60.00%,9,1,19.20%,All Alvin Kamara red zone receiving plays
Cole Kmet,CHI,12,5,41.67%,36,0,21.10%,4,0,0.00%,0,0,15.40%,All Cole Kmet red zone receiving plays
Cordarrelle Patterson,ATL,12,9,75.00%,86,4,15.40%,2,1,50.00%,7,1,5.70%,All Cordarrelle Patterson red zone receiving plays
Ricky Seals-Jones,WAS,12,6,50.00%,55,1,23.10%,5,0,0.00%,0,0,21.70%,All Ricky Seals-Jones red zone receiving plays
A.J. Brown,TEN,11,5,45.45%,58,3,14.10%,4,1,25.00%,6,0,11.80%,All A.J. Brown red zone receiving plays
Jamison Crowder,NYJ,11,8,72.73%,45,2,18.00%,2,2,100.00%,5,2,8.70%,All Jamison Crowder red zone receiving plays
Rob Gronkowski,TAM,11,5,45.45%,34,4,9.50%,6,2,33.33%,3,2,10.30%,All Rob Gronkowski red zone receiving plays
Tee Higgins,CIN,11,5,45.45%,34,4,19.60%,7,4,57.14%,20,4,24.10%,All Tee Higgins red zone receiving plays
Austin Hooper,CLE,11,9,81.82%,63,3,19.60%,5,3,60.00%,7,2,17.90%,All Austin Hooper red zone receiving plays
Tim Patrick,DEN,11,4,36.36%,38,2,19.00%,7,1,14.29%,2,1,21.90%,All Tim Patrick red zone receiving plays
Brandon Aiyuk,SFO,10,5,50.00%,39,5,17.50%,7,3,42.86%,16,3,23.30%,All Brandon Aiyuk red zone receiving plays
Brandin Cooks,HOU,10,7,70.00%,55,2,21.30%,3,3,100.00%,19,2,12.50%,All Brandin Cooks red zone receiving plays
Kenny Golladay,NYG,10,1,10.00%,5,0,17.90%,2,0,0.00%,0,0,7.10%,All Kenny Golladay red zone receiving plays
Christian Kirk,ARI,10,6,60.00%,42,2,12.70%,6,3,50.00%,14,1,15.80%,All Christian Kirk red zone receiving plays
CeeDee Lamb,DAL,10,4,40.00%,36,3,10.10%,4,2,50.00%,10,2,11.40%,All CeeDee Lamb red zone receiving plays
Jarvis Landry,CLE,10,6,60.00%,42,1,17.90%,4,2,50.00%,14,1,14.30%,All Jarvis Landry red zone receiving plays
Ray-Ray McCloud,PIT,10,3,30.00%,13,0,10.50%,3,1,33.33%,1,0,6.80%,All Ray-Ray McCloud red zone receiving plays
Darnell Mooney,CHI,10,5,50.00%,31,3,17.50%,6,3,50.00%,9,2,23.10%,All Darnell Mooney red zone receiving plays
Calvin Ridley,ATL,10,7,70.00%,28,2,12.80%,5,4,80.00%,12,2,14.30%,All Calvin Ridley red zone receiving plays
Emmanuel Sanders,BUF,10,4,40.00%,33,2,8.80%,6,2,33.33%,13,2,12.00%,All Emmanuel Sanders red zone receiving plays
Jonnu Smith,NWE,10,5,50.00%,25,1,14.30%,5,2,40.00%,5,1,17.20%,All Jonnu Smith red zone receiving plays
Courtland Sutton,DEN,10,6,60.00%,34,1,17.20%,5,2,40.00%,8,0,15.60%,All Courtland Sutton red zone receiving plays
Nick Westbrook-Ikhine,TEN,10,9,90.00%,68,4,12.80%,5,4,80.00%,15,3,14.70%,All Nick Westbrook-Ikhine red zone receiving plays
Darrel Williams,KAN,10,6,60.00%,20,0,10.50%,5,4,80.00%,12,0,10.60%,All Darrel Williams red zone receiving plays
Mo Alie-Cox,IND,9,5,55.56%,29,3,14.30%,4,2,50.00%,3,1,11.10%,All Mo Alie-Cox red zone receiving plays
Brandon Bolden,NWE,9,9,100.00%,74,2,12.90%,2,2,100.00%,4,0,6.90%,All Brandon Bolden red zone receiving plays
Marquez Callaway,NOR,9,5,55.56%,52,4,14.50%,3,2,66.67%,12,2,11.50%,All Marquez Callaway red zone receiving plays
Kenneth Gainwell,PHI,9,7,77.78%,36,1,15.50%,1,0,0.00%,0,0,3.70%,All Kenneth Gainwell red zone receiving plays
Myles Gaskin,MIA,9,6,66.67%,20,3,12.20%,6,5,83.33%,19,3,15.80%,All Myles Gaskin red zone receiving plays
Mike Gesicki,MIA,9,5,55.56%,22,2,12.20%,4,2,50.00%,7,2,10.50%,All Mike Gesicki red zone receiving plays
Darrell Henderson,LAR,9,3,33.33%,26,2,8.10%,4,2,50.00%,9,2,7.70%,All Darrell Henderson red zone receiving plays
T.J. Hockenson,DET,9,6,66.67%,51,4,15.00%,4,3,75.00%,23,3,16.00%,All T.J. Hockenson red zone receiving plays
George Kittle,SFO,9,8,88.89%,54,4,15.80%,5,4,80.00%,16,3,16.70%,All George Kittle red zone receiving plays
Terry McLaurin,WAS,9,6,66.67%,53,3,17.30%,4,1,25.00%,1,0,17.40%,All Terry McLaurin red zone receiving plays
K.J. Osborn,MIN,9,6,66.67%,52,3,12.90%,5,3,60.00%,16,2,15.60%,All K.J. Osborn red zone receiving plays
Deebo Samuel,SFO,9,4,44.44%,29,2,15.80%,5,2,40.00%,15,1,16.70%,All Deebo Samuel red zone receiving plays
Laviska Shenault,JAX,9,4,44.44%,14,0,17.00%,5,2,40.00%,5,0,17.20%,All Laviska Shenault red zone receiving plays
Sterling Shepard,NYG,9,6,66.67%,35,0,16.10%,3,2,66.67%,5,0,10.70%,All Sterling Shepard red zone receiving plays
Cedrick Wilson,DAL,9,6,66.67%,44,3,9.10%,2,2,100.00%,4,2,5.70%,All Cedrick Wilson red zone receiving plays
Robbie Chosen,CAR,8,4,50.00%,33,4,16.00%,5,3,60.00%,14,3,19.20%,All Robbie Chosen red zone receiving plays
Braxton Berrios,NYJ,8,6,75.00%,40,2,13.10%,5,4,80.00%,30,2,21.70%,All Braxton Berrios red zone receiving plays
Devin Duvernay,BAL,8,6,75.00%,52,2,11.00%,5,3,60.00%,9,1,14.70%,All Devin Duvernay red zone receiving plays
Bryan Edwards,LVR,8,3,37.50%,14,2,10.80%,5,2,40.00%,6,2,14.70%,All Bryan Edwards red zone receiving plays
Gerald Everett,SEA,8,4,50.00%,16,3,15.40%,7,4,57.14%,16,3,36.80%,All Gerald Everett red zone receiving plays
Devonta Freeman,BAL,8,6,75.00%,28,1,11.00%,3,2,66.67%,6,1,8.80%,All Devonta Freeman red zone receiving plays
Michael Gallup,DAL,8,2,25.00%,14,1,8.10%,2,1,50.00%,1,1,5.70%,All Michael Gallup red zone receiving plays
Jimmy Graham,CHI,8,4,50.00%,44,3,14.00%,4,1,25.00%,1,1,15.40%,All Jimmy Graham red zone receiving plays
Mack Hollins,MIA,8,4,50.00%,21,3,10.80%,5,3,60.00%,14,3,13.20%,All Mack Hollins red zone receiving plays
Tyler Johnson,TAM,8,4,50.00%,34,0,6.90%,5,1,20.00%,7,0,8.60%,All Tyler Johnson red zone receiving plays
Rondale Moore,ARI,8,7,87.50%,13,0,10.10%,2,2,100.00%,3,0,5.30%,All Rondale Moore red zone receiving plays
David Njoku,CLE,8,4,50.00%,31,2,14.30%,5,1,20.00%,3,1,17.90%,All David Njoku red zone receiving plays
Josh Palmer,LAC,8,6,75.00%,30,2,8.20%,5,3,60.00%,8,1,10.20%,All Josh Palmer red zone receiving plays
Kyle Rudolph,NYG,8,3,37.50%,9,1,14.30%,5,2,40.00%,2,1,17.90%,All Kyle Rudolph red zone receiving plays
DeVonta Smith,PHI,8,4,50.00%,37,3,13.80%,5,2,40.00%,9,2,18.50%,All DeVonta Smith red zone receiving plays
Tre'Quan Smith,NOR,8,4,50.00%,42,3,12.90%,4,1,25.00%,2,0,15.40%,All Tre'Quan Smith red zone receiving plays
Geoff Swaim,TEN,8,5,62.50%,15,3,10.30%,4,4,100.00%,7,3,11.80%,All Geoff Swaim red zone receiving plays
D'Andre Swift,DET,8,4,50.00%,30,0,13.30%,3,2,66.67%,9,0,12.00%,All D'Andre Swift red zone receiving plays
Adam Trautman,NOR,8,4,50.00%,38,2,12.90%,3,1,33.33%,-1,0,11.50%,All Adam Trautman red zone receiving plays
Marquez Valdes-Scantling,GNB,8,3,37.50%,29,2,7.00%,3,1,33.33%,6,0,6.00%,All Marquez Valdes-Scantling red zone receiving plays
James Washington,PIT,8,5,62.50%,38,1,8.40%,3,1,33.33%,9,1,6.80%,All James Washington red zone receiving plays
Olamide Zaccheaus,ATL,8,5,62.50%,22,3,10.30%,5,3,60.00%,13,3,14.30%,All Olamide Zaccheaus red zone receiving plays
Kendrick Bourne,NWE,7,5,71.43%,25,1,10.00%,2,1,50.00%,4,1,6.90%,All Kendrick Bourne red zone receiving plays
Tyler Boyd,CIN,7,5,71.43%,50,3,12.50%,4,2,50.00%,15,2,13.80%,All Tyler Boyd red zone receiving plays
Josiah Deguara,GNB,7,3,42.86%,13,0,6.10%,1,0,0.00%,0,0,2.00%,All Josiah Deguara red zone receiving plays
Jack Doyle,IND,7,4,57.14%,26,3,11.10%,4,2,50.00%,6,2,11.10%,All Jack Doyle red zone receiving plays
Jalen Guyton,LAC,7,4,57.14%,18,1,7.10%,3,2,66.67%,9,1,6.10%,All Jalen Guyton red zone receiving plays
Hayden Hurst,ATL,7,6,85.71%,62,3,9.00%,1,1,100.00%,3,1,2.90%,All Hayden Hurst red zone receiving plays
Jauan Jennings,SFO,7,6,85.71%,45,4,12.30%,3,3,100.00%,11,2,10.00%,All Jauan Jennings red zone receiving plays
David Johnson,HOU,7,3,42.86%,15,1,14.90%,5,2,40.00%,10,1,20.80%,All David Johnson red zone receiving plays
Juwan Johnson,NOR,7,5,71.43%,33,4,11.30%,3,3,100.00%,14,3,11.50%,All Juwan Johnson red zone receiving plays
Marcedes Lewis,GNB,7,4,57.14%,28,0,6.10%,5,2,40.00%,14,0,10.00%,All Marcedes Lewis red zone receiving plays
Tyler Lockett,SEA,7,4,57.14%,20,3,13.50%,2,2,100.00%,6,2,10.50%,All Tyler Lockett red zone receiving plays
Alexander Mattison,MIN,7,3,42.86%,15,1,10.00%,3,1,33.33%,-3,0,9.40%,All Alexander Mattison red zone receiving plays
Joe Mixon,CIN,7,6,85.71%,24,2,12.50%,5,4,80.00%,19,2,17.20%,All Joe Mixon red zone receiving plays
David Montgomery,CHI,7,6,85.71%,38,0,12.30%,2,2,100.00%,11,0,7.70%,All David Montgomery red zone receiving plays
Elijah Moore,NYJ,7,5,71.43%,53,4,11.50%,2,1,50.00%,3,1,8.70%,All Elijah Moore red zone receiving plays
Tony Pollard,DAL,7,6,85.71%,37,0,7.10%,0,0,,0,0,0.00%,All Tony Pollard red zone receiving plays
Durham Smythe,MIA,7,4,57.14%,16,0,9.50%,4,3,75.00%,7,0,10.50%,All Durham Smythe red zone receiving plays
C.J. Uzomah,CIN,7,3,42.86%,7,1,12.50%,3,1,33.33%,2,1,10.30%,All C.J. Uzomah red zone receiving plays
Quez Watkins,PHI,7,4,57.14%,5,0,12.10%,4,2,50.00%,-4,0,14.80%,All Quez Watkins red zone receiving plays
Javonte Williams,DEN,7,6,85.71%,58,3,12.10%,3,2,66.67%,20,2,9.40%,All Javonte Williams red zone receiving plays
Ameer Abdullah,CAR,6,4,66.67%,11,0,12.00%,2,1,50.00%,0,0,7.70%,All Ameer Abdullah red zone receiving plays
Nelson Agholor,NWE,6,5,83.33%,42,2,8.60%,1,1,100.00%,7,1,3.40%,All Nelson Agholor red zone receiving plays
Giovani Bernard,TAM,6,4,66.67%,27,3,5.20%,6,4,66.67%,27,3,10.30%,All Giovani Bernard red zone receiving plays
Harrison Bryant,CLE,6,4,66.67%,13,3,10.70%,3,3,100.00%,8,3,10.70%,All Harrison Bryant red zone receiving plays
Tevin Coleman,NYJ,6,5,83.33%,24,0,9.80%,2,2,100.00%,12,0,8.70%,All Tevin Coleman red zone receiving plays
Nico Collins,HOU,6,1,16.67%,13,1,12.80%,5,0,0.00%,0,0,20.80%,All Nico Collins red zone receiving plays
Chase Edmonds,ARI,6,6,100.00%,17,0,7.60%,1,1,100.00%,5,0,2.60%,All Chase Edmonds red zone receiving plays
Anthony Firkser,TEN,6,5,83.33%,42,2,7.70%,3,3,100.00%,16,1,8.80%,All Anthony Firkser red zone receiving plays
Antonio Gibson,WAS,6,5,83.33%,24,2,11.50%,4,3,75.00%,15,2,17.40%,All Antonio Gibson red zone receiving plays
Dallas Goedert,PHI,6,5,83.33%,52,2,10.30%,3,2,66.67%,12,2,11.10%,All Dallas Goedert red zone receiving plays
Ryan Griffin,NYJ,6,3,50.00%,14,2,9.80%,3,1,33.33%,1,1,13.00%,All Ryan Griffin red zone receiving plays
Blake Jarwin,DAL,6,3,50.00%,25,2,6.10%,3,1,33.33%,1,1,8.60%,All Blake Jarwin red zone receiving plays
Julio Jones,TEN,6,2,33.33%,11,1,7.70%,3,1,33.33%,3,1,8.80%,All Julio Jones red zone receiving plays
Donald Parham,LAC,6,2,33.33%,12,2,6.10%,6,2,33.33%,12,2,12.20%,All Donald Parham red zone receiving plays
DeVante Parker,MIA,6,3,50.00%,23,2,8.10%,2,1,50.00%,3,1,5.30%,All DeVante Parker red zone receiving plays
Byron Pringle,KAN,6,4,66.67%,29,3,6.30%,3,2,66.67%,10,2,6.40%,All Byron Pringle red zone receiving plays
MyCole Pruitt,TEN,6,3,50.00%,21,3,7.70%,4,2,50.00%,7,2,11.80%,All MyCole Pruitt red zone receiving plays
Kalif Raymond,DET,6,4,66.67%,25,2,10.00%,3,2,66.67%,11,2,12.00%,All Kalif Raymond red zone receiving plays
Josh Reynolds,2TM,6,0,0.00%,0,0,,2,0,0.00%,0,0,,All Josh Reynolds red zone receiving plays
Devin Singletary,BUF,6,6,100.00%,19,1,5.30%,2,2,100.00%,3,1,4.00%,All Devin Singletary red zone receiving plays
Laquon Treadwell,JAX,6,3,50.00%,18,1,11.30%,4,2,50.00%,10,1,13.80%,All Laquon Treadwell red zone receiving plays
Greg Ward,PHI,6,3,50.00%,49,3,10.30%,3,0,0.00%,0,0,11.10%,All Greg Ward red zone receiving plays
Jordan Akins,HOU,5,1,20.00%,3,0,10.60%,3,1,33.33%,3,0,12.50%,All Jordan Akins red zone receiving plays
Rashod Bateman,BAL,5,4,80.00%,25,1,6.80%,2,1,50.00%,4,1,5.90%,All Rashod Bateman red zone receiving plays
Keelan Cole,NYJ,5,1,20.00%,11,0,8.20%,1,0,0.00%,0,0,4.30%,All Keelan Cole red zone receiving plays
Mike Davis,ATL,5,2,40.00%,5,1,6.40%,4,1,25.00%,7,1,11.40%,All Mike Davis red zone receiving plays
AJ Dillon,GNB,5,5,100.00%,36,2,4.40%,1,1,100.00%,5,1,2.00%,All AJ Dillon red zone receiving plays
Kenyan Drake,LVR,5,4,80.00%,25,0,6.80%,0,0,,0,0,0.00%,All Kenyan Drake red zone receiving plays
Zach Gentry,PIT,5,2,40.00%,17,0,5.30%,3,1,33.33%,5,0,6.80%,All Zach Gentry red zone receiving plays
Melvin Gordon,DEN,5,5,100.00%,42,2,8.60%,3,3,100.00%,19,1,9.40%,All Melvin Gordon red zone receiving plays
Noah Gray,KAN,5,2,40.00%,6,1,5.30%,5,2,40.00%,6,1,10.60%,All Noah Gray red zone receiving plays
Deonte Harty,NOR,5,4,80.00%,27,0,8.10%,0,0,,0,0,0.00%,All Deonte Harty red zone receiving plays
Jamycal Hasty,SFO,5,3,60.00%,10,0,8.80%,1,0,0.00%,0,0,3.30%,All Jamycal Hasty red zone receiving plays
Rashard Higgins,CLE,5,3,60.00%,33,1,8.90%,2,1,50.00%,7,1,7.10%,All Rashard Higgins red zone receiving plays
Dontrell Hilliard,TEN,5,4,80.00%,22,0,6.40%,1,1,100.00%,4,0,2.90%,All Dontrell Hilliard red zone receiving plays
KhaDarel Hodge,DET,5,2,40.00%,13,0,8.30%,1,0,0.00%,0,0,4.00%,All KhaDarel Hodge red zone receiving plays
Mark Ingram,2TM,5,1,20.00%,5,0,,1,0,0.00%,0,0,,All Mark Ingram red zone receiving plays
Josh Jacobs,LVR,5,3,60.00%,6,0,6.80%,3,2,66.67%,1,0,8.80%,All Josh Jacobs red zone receiving plays
Zay Jones,LVR,5,1,20.00%,2,0,6.80%,1,0,0.00%,0,0,2.90%,All Zay Jones red zone receiving plays
Kyle Juszczyk,SFO,5,3,60.00%,28,1,8.80%,2,0,0.00%,0,0,6.70%,All Kyle Juszczyk red zone receiving plays
Jeremy McNichols,TEN,5,4,80.00%,27,1,6.40%,3,2,66.67%,15,1,8.80%,All Jeremy McNichols red zone receiving plays
Foster Moreau,LVR,5,4,80.00%,45,3,6.80%,1,1,100.00%,9,1,2.90%,All Foster Moreau red zone receiving plays
Albert Okwuegbunam,DEN,5,4,80.00%,13,2,8.60%,4,4,100.00%,13,2,12.50%,All Albert Okwuegbunam red zone receiving plays
Samaje Perine,CIN,5,5,100.00%,31,1,8.90%,1,1,100.00%,4,1,3.40%,All Samaje Perine red zone receiving plays
Jalen Reagor,PHI,5,3,60.00%,23,1,8.60%,2,2,100.00%,6,0,7.40%,All Jalen Reagor red zone receiving plays
Logan Thomas,WAS,5,4,80.00%,34,3,9.60%,3,2,66.67%,9,2,13.00%,All Logan Thomas red zone receiving plays
Kadarius Toney,NYG,5,1,20.00%,6,0,8.90%,2,0,0.00%,0,0,7.10%,All Kadarius Toney red zone receiving plays
Malik Turner,DAL,5,4,80.00%,29,3,5.10%,4,3,75.00%,18,3,11.40%,All Malik Turner red zone receiving plays
Antoine Wesley,ARI,5,2,40.00%,20,2,6.30%,4,1,25.00%,1,1,10.50%,All Antoine Wesley red zone receiving plays
Dan Arnold,2TM,4,2,50.00%,26,0,,1,0,0.00%,0,0,,All Dan Arnold red zone receiving plays
Damiere Byrd,CHI,4,2,50.00%,17,0,7.00%,1,0,0.00%,0,0,3.80%,All Damiere Byrd red zone receiving plays
Corey Clement,DAL,4,4,100.00%,17,1,4.00%,1,1,100.00%,8,1,2.90%,All Corey Clement red zone receiving plays
Corey Davis,NYJ,4,3,75.00%,14,2,6.60%,2,2,100.00%,11,2,8.70%,All Corey Davis red zone receiving plays
Evan Engram,NYG,4,2,50.00%,14,2,7.10%,4,2,50.00%,14,2,14.30%,All Evan Engram red zone receiving plays
Chris Evans,CIN,4,3,75.00%,27,1,7.10%,1,1,100.00%,4,1,3.40%,All Chris Evans red zone receiving plays
Kylen Granson,IND,4,3,75.00%,14,0,6.30%,3,3,100.00%,14,0,8.30%,All Kylen Granson red zone receiving plays
T.Y. Hilton,IND,4,3,75.00%,15,2,6.30%,2,2,100.00%,5,2,5.60%,All T.Y. Hilton red zone receiving plays
Nyheim Hines,IND,4,4,100.00%,28,1,6.30%,1,1,100.00%,8,1,2.80%,All Nyheim Hines red zone receiving plays
Jacob Hollister,JAX,4,3,75.00%,14,1,7.50%,2,2,100.00%,8,1,6.90%,All Jacob Hollister red zone receiving plays
Adam Humphries,WAS,4,1,25.00%,6,0,7.70%,2,0,0.00%,0,0,8.70%,All Adam Humphries red zone receiving plays
Kareem Hunt,CLE,4,2,50.00%,10,0,7.10%,1,0,0.00%,0,0,3.60%,All Kareem Hunt red zone receiving plays
Ty Johnson,NYJ,4,3,75.00%,37,1,6.60%,0,0,,0,0,0.00%,All Ty Johnson red zone receiving plays
Brevin Jordan,HOU,4,4,100.00%,31,3,8.50%,2,2,100.00%,14,2,8.30%,All Brevin Jordan red zone receiving plays
Isaiah McKenzie,BUF,4,4,100.00%,21,1,3.50%,2,2,100.00%,9,1,4.00%,All Isaiah McKenzie red zone receiving plays
Jerick McKinnon,KAN,4,3,75.00%,33,1,4.20%,0,0,,0,0,0.00%,All Jerick McKinnon red zone receiving plays
Zack Moss,BUF,4,2,50.00%,9,1,3.50%,3,1,33.33%,7,1,6.00%,All Zack Moss red zone receiving plays
Allen Robinson,CHI,4,3,75.00%,16,1,7.00%,1,0,0.00%,0,0,3.80%,All Allen Robinson red zone receiving plays
Chester Rogers,TEN,4,2,50.00%,6,1,5.10%,2,2,100.00%,6,1,5.90%,All Chester Rogers red zone receiving plays
Adam Shaheen,MIA,4,2,50.00%,13,0,5.40%,2,0,0.00%,0,0,5.30%,All Adam Shaheen red zone receiving plays
Tajae Sharpe,ATL,4,0,0.00%,0,0,5.10%,2,0,0.00%,0,0,5.70%,All Tajae Sharpe red zone receiving plays
Trent Sherfield,SFO,4,1,25.00%,5,1,7.00%,3,1,33.33%,5,1,10.00%,All Trent Sherfield red zone receiving plays
Cam Sims,WAS,4,3,75.00%,12,1,7.70%,2,1,50.00%,6,1,8.70%,All Cam Sims red zone receiving plays
Equanimeous St. Brown,GNB,4,2,50.00%,12,0,3.50%,1,1,100.00%,5,0,2.00%,All Equanimeous St. Brown red zone receiving plays
Freddie Swain,SEA,4,1,25.00%,13,1,7.70%,1,0,0.00%,0,0,5.30%,All Freddie Swain red zone receiving plays
