Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Ben Skowronek,LAR,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.40%,All Ben Skowronek red zone receiving plays
Keith Smith,ATL,1,1,100.00%,-1,0,1.90%,1,1,100.00%,-1,0,3.60%,All Keith Smith red zone receiving plays
Willie Snead,SFO,1,1,100.00%,5,0,1.40%,0,0,,0,0,0.00%,All Willie Snead red zone receiving plays
Isaiah Spiller,LAC,1,1,100.00%,10,0,1.40%,0,0,,0,0,0.00%,All Isaiah Spiller red zone receiving plays
Ian Thomas,CAR,1,0,0.00%,0,0,2.80%,1,0,0.00%,0,0,4.50%,All Ian Thomas red zone receiving plays
Ke'Shawn Vaughn,TAM,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Ke'Shawn Vaughn red zone receiving plays
Darnell Washington,PIT,1,0,0.00%,0,0,2.40%,1,0,0.00%,0,0,5.60%,All Darnell Washington red zone receiving plays
Zamir White,LVR,1,1,100.00%,5,0,1.40%,1,1,100.00%,5,0,2.90%,All Zamir White red zone receiving plays
Jamaal Williams,NOR,1,1,100.00%,3,0,1.50%,0,0,,0,0,0.00%,All Jamaal Williams red zone receiving plays
Trayveon Williams,CIN,1,1,100.00%,3,0,1.40%,0,0,,0,0,0.00%,All Trayveon Williams red zone receiving plays
Jeff Wilson,MIA,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.30%,All Jeff Wilson red zone receiving plays
Charlie Woerner,SFO,1,1,100.00%,3,0,1.40%,0,0,,0,0,0.00%,All Charlie Woerner red zone receiving plays
Brock Wright,DET,1,1,100.00%,2,0,1.50%,1,1,100.00%,2,0,2.90%,All Brock Wright red zone receiving plays
