Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Corey Davis,NYJ,8,2,25.00%,10,1,12.70%,3,2,66.67%,10,1,10.70%,All Corey Davis red zone receiving plays
Romeo Doubs,GNB,8,6,75.00%,55,3,10.80%,1,1,100.00%,5,1,3.10%,All Romeo Doubs red zone receiving plays
Devin Duvernay,BAL,8,5,62.50%,36,2,11.40%,4,2,50.00%,13,1,13.80%,All Devin Duvernay red zone receiving plays
Evan Engram,JAX,8,3,37.50%,23,2,10.50%,3,1,33.33%,3,1,9.40%,All Evan Engram red zone receiving plays
Noah Fant,SEA,8,6,75.00%,25,4,11.90%,7,6,85.71%,25,4,25.90%,All Noah Fant red zone receiving plays
Dallas Goedert,PHI,8,6,75.00%,34,2,17.00%,3,2,66.67%,10,2,15.00%,All Dallas Goedert red zone receiving plays
Tyler Lockett,SEA,8,5,62.50%,34,2,11.90%,4,2,50.00%,13,2,14.80%,All Tyler Lockett red zone receiving plays
Josh Palmer,LAC,8,4,50.00%,20,2,8.30%,4,2,50.00%,13,2,8.70%,All Josh Palmer red zone receiving plays
Tony Pollard,DAL,8,4,50.00%,25,1,11.90%,5,2,40.00%,10,1,14.30%,All Tony Pollard red zone receiving plays
MyCole Pruitt,ATL,8,7,87.50%,29,4,16.70%,5,5,100.00%,21,4,17.90%,All MyCole Pruitt red zone receiving plays
Trent Sherfield,MIA,8,6,75.00%,48,1,12.90%,2,1,50.00%,5,0,6.50%,All Trent Sherfield red zone receiving plays
Jaylen Waddle,MIA,8,4,50.00%,36,4,12.90%,5,3,60.00%,18,3,16.10%,All Jaylen Waddle red zone receiving plays
Rachaad White,TAM,8,6,75.00%,19,2,8.30%,2,2,100.00%,9,2,4.10%,All Rachaad White red zone receiving plays
Randall Cobb,GNB,7,3,42.86%,25,1,9.50%,2,0,0.00%,0,0,6.30%,All Randall Cobb red zone receiving plays
Jahan Dotson,WAS,7,6,85.71%,55,5,13.00%,5,4,80.00%,22,4,17.90%,All Jahan Dotson red zone receiving plays
Najee Harris,PIT,7,4,57.14%,19,3,12.50%,5,3,60.00%,17,3,17.20%,All Najee Harris red zone receiving plays
Hunter Henry,NWE,7,1,14.29%,13,0,15.20%,3,0,0.00%,0,0,10.70%,All Hunter Henry red zone receiving plays
Dontrell Hilliard,TEN,7,5,71.43%,46,3,12.50%,2,1,50.00%,7,1,8.30%,All Dontrell Hilliard red zone receiving plays
Nyheim Hines,2TM,7,6,85.71%,45,1,,1,1,100.00%,10,1,,All Nyheim Hines red zone receiving plays
Kareem Hunt,CLE,7,3,42.86%,8,1,10.00%,3,2,66.67%,6,1,10.00%,All Kareem Hunt red zone receiving plays
Richie James,NYG,7,7,100.00%,55,4,17.90%,4,4,100.00%,18,3,20.00%,All Richie James red zone receiving plays
Jakobi Meyers,NWE,7,5,71.43%,23,3,15.20%,5,4,80.00%,14,3,17.90%,All Jakobi Meyers red zone receiving plays
Elijah Moore,NYJ,7,3,42.86%,12,0,11.10%,1,0,0.00%,0,0,3.60%,All Elijah Moore red zone receiving plays
Raheem Mostert,MIA,7,6,85.71%,13,2,11.30%,4,3,75.00%,19,2,12.90%,All Raheem Mostert red zone receiving plays
Samaje Perine,CIN,7,5,71.43%,33,3,8.00%,2,1,50.00%,6,1,5.70%,All Samaje Perine red zone receiving plays
Devin Singletary,BUF,7,4,57.14%,15,1,9.10%,3,2,66.67%,3,1,8.60%,All Devin Singletary red zone receiving plays
Logan Thomas,WAS,7,4,57.14%,15,0,13.00%,3,1,33.33%,0,0,10.70%,All Logan Thomas red zone receiving plays
Tommy Tremble,CAR,7,4,57.14%,26,2,18.40%,6,3,50.00%,9,1,35.30%,All Tommy Tremble red zone receiving plays
Nick Westbrook-Ikhine,TEN,7,3,42.86%,24,2,12.50%,3,2,66.67%,11,2,12.50%,All Nick Westbrook-Ikhine red zone receiving plays
Ameer Abdullah,LVR,6,5,83.33%,48,1,8.70%,1,1,100.00%,2,0,3.00%,All Ameer Abdullah red zone receiving plays
Jamal Agnew,JAX,6,5,83.33%,26,3,7.90%,3,3,100.00%,13,3,9.40%,All Jamal Agnew red zone receiving plays
Daniel Bellinger,NYG,6,5,83.33%,47,2,15.40%,1,1,100.00%,8,1,5.00%,All Daniel Bellinger red zone receiving plays
Chase Claypool,2TM,6,2,33.33%,10,1,,3,2,66.67%,10,1,,All Chase Claypool red zone receiving plays
James Cook,BUF,6,3,50.00%,24,1,7.80%,2,1,50.00%,4,1,5.70%,All James Cook red zone receiving plays
Will Dissly,SEA,6,5,83.33%,47,2,9.00%,2,1,50.00%,3,0,7.40%,All Will Dissly red zone receiving plays
Clyde Edwards-Helaire,KAN,6,6,100.00%,28,3,5.60%,5,5,100.00%,19,3,7.80%,All Clyde Edwards-Helaire red zone receiving plays
Antonio Gibson,WAS,6,3,50.00%,29,2,11.10%,2,2,100.00%,18,2,7.10%,All Antonio Gibson red zone receiving plays
A.J. Green,ARI,6,1,16.67%,6,1,9.80%,4,1,25.00%,6,1,14.30%,All A.J. Green red zone receiving plays
Damien Harris,NWE,6,3,50.00%,3,0,13.00%,6,3,50.00%,3,0,21.40%,All Damien Harris red zone receiving plays
Derrick Henry,TEN,6,4,66.67%,17,0,10.70%,3,2,66.67%,8,0,12.50%,All Derrick Henry red zone receiving plays
Isaiah Hodgins,2TM,6,6,100.00%,35,4,,4,4,100.00%,21,4,,All Isaiah Hodgins red zone receiving plays
Austin Hooper,TEN,6,4,66.67%,35,2,10.70%,2,2,100.00%,10,1,8.30%,All Austin Hooper red zone receiving plays
DeAndre Hopkins,ARI,6,3,50.00%,18,1,9.80%,2,1,50.00%,6,1,7.10%,All DeAndre Hopkins red zone receiving plays
Julio Jones,TAM,6,4,66.67%,36,1,6.30%,3,1,33.33%,8,1,6.10%,All Julio Jones red zone receiving plays
Jarvis Landry,NOR,6,2,33.33%,15,1,9.80%,2,1,50.00%,7,1,9.50%,All Jarvis Landry red zone receiving plays
Terrace Marshall,CAR,6,0,0.00%,0,0,15.80%,3,0,0.00%,0,0,17.60%,All Terrace Marshall red zone receiving plays
Darnell Mooney,CHI,6,5,83.33%,51,2,16.20%,3,2,66.67%,6,0,17.60%,All Darnell Mooney red zone receiving plays
Rondale Moore,ARI,6,2,33.33%,4,0,9.80%,2,0,0.00%,0,0,7.10%,All Rondale Moore red zone receiving plays
Chigoziem Okonkwo,TEN,6,3,50.00%,28,2,10.70%,3,2,66.67%,18,2,12.50%,All Chigoziem Okonkwo red zone receiving plays
George Pickens,PIT,6,2,33.33%,21,2,10.70%,4,1,25.00%,7,1,13.80%,All George Pickens red zone receiving plays
Alec Pierce,IND,6,1,16.67%,15,1,9.50%,3,0,0.00%,0,0,9.40%,All Alec Pierce red zone receiving plays
Irv Smith,MIN,6,4,66.67%,22,2,6.10%,3,2,66.67%,3,2,5.80%,All Irv Smith red zone receiving plays
Rhamondre Stevenson,NWE,6,5,83.33%,19,1,13.00%,2,2,100.00%,8,1,7.10%,All Rhamondre Stevenson red zone receiving plays
Javonte Williams,DEN,6,3,50.00%,12,0,12.20%,3,1,33.33%,6,0,11.10%,All Javonte Williams red zone receiving plays
Jeff Wilson,2TM,6,5,83.33%,33,1,,3,3,100.00%,19,1,,All Jeff Wilson red zone receiving plays
Jelani Woods,IND,6,4,66.67%,29,3,9.50%,3,2,66.67%,11,2,9.40%,All Jelani Woods red zone receiving plays
Olamide Zaccheaus,ATL,6,4,66.67%,33,3,12.50%,3,1,33.33%,3,1,10.70%,All Olamide Zaccheaus red zone receiving plays
Braxton Berrios,NYJ,5,2,40.00%,7,0,7.90%,3,1,33.33%,1,0,10.70%,All Braxton Berrios red zone receiving plays
Marquez Callaway,NOR,5,2,40.00%,16,1,8.20%,2,1,50.00%,4,1,9.50%,All Marquez Callaway red zone receiving plays
Greg Dortch,ARI,5,4,80.00%,15,2,8.20%,3,3,100.00%,15,2,10.70%,All Greg Dortch red zone receiving plays
Kenyan Drake,BAL,5,3,60.00%,29,1,7.10%,1,1,100.00%,5,1,3.40%,All Kenyan Drake red zone receiving plays
Travis Etienne,JAX,5,3,60.00%,2,0,6.60%,2,1,50.00%,2,0,6.30%,All Travis Etienne red zone receiving plays
Jody Fortson,KAN,5,2,40.00%,11,2,4.70%,5,2,40.00%,11,2,7.80%,All Jody Fortson red zone receiving plays
Breece Hall,NYJ,5,3,60.00%,17,1,7.90%,2,2,100.00%,14,1,7.10%,All Breece Hall red zone receiving plays
Mark Ingram,NOR,5,4,80.00%,11,0,8.20%,3,2,66.67%,6,0,14.30%,All Mark Ingram red zone receiving plays
Trenton Irwin,CIN,5,3,60.00%,18,2,5.70%,3,2,66.67%,5,2,8.60%,All Trenton Irwin red zone receiving plays
Van Jefferson,LAR,5,4,80.00%,20,2,7.60%,3,2,66.67%,10,2,7.70%,All Van Jefferson red zone receiving plays
Alexander Mattison,MIN,5,5,100.00%,33,1,5.10%,1,1,100.00%,-1,0,1.90%,All Alexander Mattison red zone receiving plays
Foster Moreau,LVR,5,2,40.00%,9,2,7.20%,3,2,66.67%,9,2,9.10%,All Foster Moreau red zone receiving plays
Colby Parkinson,SEA,5,2,40.00%,19,1,7.50%,1,0,0.00%,0,0,3.70%,All Colby Parkinson red zone receiving plays
Kyle Pitts,ATL,5,3,60.00%,9,2,10.40%,4,3,75.00%,9,2,14.30%,All Kyle Pitts red zone receiving plays
Teagan Quitoriano,HOU,5,2,40.00%,10,2,7.60%,3,2,66.67%,10,2,12.00%,All Teagan Quitoriano red zone receiving plays
Hunter Renfrow,LVR,5,3,60.00%,34,2,7.20%,1,0,0.00%,0,0,3.00%,All Hunter Renfrow red zone receiving plays
Shi Smith,CAR,5,2,40.00%,32,2,13.20%,1,0,0.00%,0,0,5.90%,All Shi Smith red zone receiving plays
Geoff Swaim,TEN,5,3,60.00%,7,1,8.90%,2,2,100.00%,4,1,8.30%,All Geoff Swaim red zone receiving plays
Tyquan Thornton,NWE,5,3,60.00%,17,2,10.90%,4,2,50.00%,9,2,14.30%,All Tyquan Thornton red zone receiving plays
Kadarius Toney,KAN,5,5,100.00%,28,2,4.70%,4,4,100.00%,25,2,6.30%,All Kadarius Toney red zone receiving plays
Robert Tonyan,GNB,5,2,40.00%,14,0,6.80%,0,0,,0,0,0.00%,All Robert Tonyan red zone receiving plays
Sammy Watkins,GNB,5,2,40.00%,13,0,6.80%,2,0,0.00%,0,0,6.30%,All Sammy Watkins red zone receiving plays
Brock Wright,DET,5,5,100.00%,34,3,5.80%,4,4,100.00%,17,3,9.80%,All Brock Wright red zone receiving plays
Mo Alie-Cox,IND,4,3,75.00%,25,3,6.30%,3,2,66.67%,11,2,9.40%,All Mo Alie-Cox red zone receiving plays
Eno Benjamin,ARI,4,3,75.00%,18,0,6.60%,1,0,0.00%,0,0,3.60%,All Eno Benjamin red zone receiving plays
Kendrick Bourne,NWE,4,3,75.00%,23,1,8.70%,2,1,50.00%,5,1,7.10%,All Kendrick Bourne red zone receiving plays
Cameron Brate,TAM,4,1,25.00%,8,0,4.20%,2,0,0.00%,0,0,4.10%,All Cameron Brate red zone receiving plays
Treylon Burks,TEN,4,2,50.00%,19,0,7.10%,3,1,33.33%,6,0,12.50%,All Treylon Burks red zone receiving plays
DJ Chark,DET,4,2,50.00%,10,1,4.70%,2,1,50.00%,1,1,4.90%,All DJ Chark red zone receiving plays
Tyler Conklin,NYJ,4,3,75.00%,20,3,6.30%,3,3,100.00%,20,3,10.70%,All Tyler Conklin red zone receiving plays
James Conner,ARI,4,3,75.00%,19,1,6.60%,2,1,50.00%,6,1,7.10%,All James Conner red zone receiving plays
AJ Dillon,GNB,4,2,50.00%,12,0,5.40%,2,1,50.00%,6,0,6.30%,All AJ Dillon red zone receiving plays
Ashton Dulin,IND,4,3,75.00%,34,1,6.30%,2,1,50.00%,7,0,6.30%,All Ashton Dulin red zone receiving plays
Chase Edmonds,MIA,4,3,75.00%,28,1,6.50%,2,1,50.00%,7,1,6.50%,All Chase Edmonds red zone receiving plays
Marquise Goodwin,SEA,4,3,75.00%,27,1,6.00%,0,0,,0,0,0.00%,All Marquise Goodwin red zone receiving plays
Noah Gray,KAN,4,3,75.00%,28,1,3.70%,2,1,50.00%,5,0,3.10%,All Noah Gray red zone receiving plays
Kendall Hinton,DEN,4,3,75.00%,22,0,8.20%,2,2,100.00%,8,0,7.40%,All Kendall Hinton red zone receiving plays
Justin Jackson,DET,4,3,75.00%,19,1,4.70%,1,1,100.00%,2,1,2.40%,All Justin Jackson red zone receiving plays
Josh Jacobs,LVR,4,2,50.00%,7,0,5.80%,1,0,0.00%,0,0,3.00%,All Josh Jacobs red zone receiving plays
J.D. McKissic,WAS,4,0,0.00%,0,0,7.40%,4,0,0.00%,0,0,14.30%,All J.D. McKissic red zone receiving plays
Tre' McKitty,LAC,4,1,25.00%,3,0,4.20%,4,1,25.00%,3,0,8.70%,All Tre' McKitty red zone receiving plays
Scott Miller,TAM,4,2,50.00%,12,0,4.20%,3,1,33.33%,5,0,6.10%,All Scott Miller red zone receiving plays
DeVante Parker,NWE,4,3,75.00%,12,1,8.70%,2,1,50.00%,2,1,7.10%,All DeVante Parker red zone receiving plays
Dante Pettis,CHI,4,2,50.00%,8,1,10.80%,2,1,50.00%,6,1,11.80%,All Dante Pettis red zone receiving plays
Brandon Powell,LAR,4,4,100.00%,17,0,6.10%,2,2,100.00%,4,0,5.10%,All Brandon Powell red zone receiving plays
Jonnu Smith,NWE,4,3,75.00%,14,0,8.70%,2,1,50.00%,8,0,7.10%,All Jonnu Smith red zone receiving plays
Mike Strachan,IND,4,0,0.00%,0,0,6.30%,3,0,0.00%,0,0,9.40%,All Mike Strachan red zone receiving plays
Eric Tomlinson,DEN,4,2,50.00%,6,2,8.20%,4,2,50.00%,6,2,14.80%,All Eric Tomlinson red zone receiving plays
Jaylen Warren,PIT,4,4,100.00%,23,0,7.10%,1,1,100.00%,3,0,3.40%,All Jaylen Warren red zone receiving plays
Quez Watkins,PHI,4,2,50.00%,1,0,8.50%,1,0,0.00%,0,0,5.00%,All Quez Watkins red zone receiving plays
Shane Zylstra,DET,4,4,100.00%,12,4,4.70%,4,4,100.00%,12,4,9.80%,All Shane Zylstra red zone receiving plays
Cam Akers,LAR,3,2,66.67%,4,0,4.50%,3,2,66.67%,4,0,7.70%,All Cam Akers red zone receiving plays
Robbie Chosen,2TM,3,1,33.33%,9,0,,1,0,0.00%,0,0,,All Robbie Chosen red zone receiving plays
Gary Brightwell,NYG,3,2,66.67%,18,0,7.70%,1,1,100.00%,6,0,5.00%,All Gary Brightwell red zone receiving plays
Keelan Cole,LVR,3,0,0.00%,0,0,4.30%,1,0,0.00%,0,0,3.00%,All Keelan Cole red zone receiving plays
River Cracraft,MIA,3,2,66.67%,13,2,4.80%,2,1,50.00%,2,1,6.50%,All River Cracraft red zone receiving plays
Bryan Edwards,ATL,3,2,66.67%,5,0,6.30%,2,1,50.00%,3,0,7.10%,All Bryan Edwards red zone receiving plays
Jake Ferguson,DAL,3,3,100.00%,15,2,4.50%,2,2,100.00%,8,2,5.70%,All Jake Ferguson red zone receiving plays
Kenneth Gainwell,PHI,3,1,33.33%,5,0,6.40%,3,1,33.33%,5,0,15.00%,All Kenneth Gainwell red zone receiving plays
Myles Gaskin,MIA,3,1,33.33%,2,0,4.80%,0,0,,0,0,0.00%,All Myles Gaskin red zone receiving plays
Reggie Gilliam,BUF,3,3,100.00%,26,1,3.90%,0,0,,0,0,0.00%,All Reggie Gilliam red zone receiving plays
Kylen Granson,IND,3,2,66.67%,3,0,4.80%,0,0,,0,0,0.00%,All Kylen Granson red zone receiving plays
Connor Heyward,PIT,3,2,66.67%,26,1,5.40%,1,0,0.00%,0,0,3.40%,All Connor Heyward red zone receiving plays
