Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Eric Ebron,IND,18,10,55.56%,106,10,20.50%,6,4,66.67%,22,4,14.00%,All Eric Ebron red zone receiving plays
George Kittle,SFO,18,9,50.00%,67,2,26.10%,8,3,37.50%,22,2,27.60%,All George Kittle red zone receiving plays
Jarvis Landry,CLE,18,9,50.00%,63,2,33.30%,7,4,57.14%,13,1,30.40%,All Jarvis Landry red zone receiving plays
Stefon Diggs,MIN,17,12,70.59%,58,6,25.80%,8,6,75.00%,18,5,27.60%,All Stefon Diggs red zone receiving plays
Julio Jones,ATL,17,10,58.82%,100,5,24.30%,7,3,42.86%,3,2,18.40%,All Julio Jones red zone receiving plays
Ezekiel Elliott,DAL,16,11,68.75%,64,2,23.90%,6,4,66.67%,18,1,20.00%,All Ezekiel Elliott red zone receiving plays
Chris Godwin,TAM,16,6,37.50%,62,6,20.00%,11,4,36.36%,30,4,31.40%,All Chris Godwin red zone receiving plays
Brandin Cooks,LAR,15,13,86.67%,91,4,16.90%,8,6,75.00%,21,2,17.80%,All Brandin Cooks red zone receiving plays
Corey Davis,TEN,15,6,40.00%,47,2,30.00%,9,2,22.22%,11,1,36.00%,All Corey Davis red zone receiving plays
Kenny Golladay,DET,15,5,33.33%,38,4,21.70%,6,3,50.00%,14,3,21.40%,All Kenny Golladay red zone receiving plays
Zay Jones,BUF,15,7,46.67%,79,4,40.50%,4,2,50.00%,12,1,36.40%,All Zay Jones red zone receiving plays
Keenan Allen,LAC,14,10,71.43%,82,5,21.20%,7,4,57.14%,27,3,18.40%,All Keenan Allen red zone receiving plays
Tarik Cohen,CHI,14,11,78.57%,76,4,20.30%,7,4,57.14%,25,2,18.90%,All Tarik Cohen red zone receiving plays
Jared Cook,OAK,14,9,64.29%,56,3,26.40%,11,7,63.64%,31,2,29.70%,All Jared Cook red zone receiving plays
Larry Fitzgerald,ARI,14,8,57.14%,78,5,31.80%,6,3,50.00%,11,2,26.10%,All Larry Fitzgerald red zone receiving plays
Tyreek Hill,KAN,14,9,64.29%,46,5,15.20%,7,4,57.14%,6,3,15.60%,All Tyreek Hill red zone receiving plays
T.Y. Hilton,IND,14,6,42.86%,35,5,15.90%,10,4,40.00%,14,4,23.30%,All T.Y. Hilton red zone receiving plays
Doug Baldwin,SEA,13,5,38.46%,19,3,23.60%,9,4,44.44%,16,3,30.00%,All Doug Baldwin red zone receiving plays
Saquon Barkley,NYG,13,9,69.23%,62,3,16.90%,5,3,60.00%,8,1,14.70%,All Saquon Barkley red zone receiving plays
John Brown,BAL,13,5,38.46%,46,3,21.00%,7,2,28.57%,16,2,22.60%,All John Brown red zone receiving plays
Trey Burton,CHI,13,10,76.92%,64,5,18.80%,7,6,85.71%,16,3,18.90%,All Trey Burton red zone receiving plays
Melvin Gordon,LAC,13,8,61.54%,33,3,19.70%,8,6,75.00%,33,3,21.10%,All Melvin Gordon red zone receiving plays
A.J. Green,CIN,13,6,46.15%,49,4,21.70%,6,2,33.33%,11,2,21.40%,All A.J. Green red zone receiving plays
Jeff Heuerman,DEN,13,4,30.77%,25,2,22.00%,8,2,25.00%,8,1,23.50%,All Jeff Heuerman red zone receiving plays
Austin Hooper,ATL,13,9,69.23%,49,4,18.60%,10,7,70.00%,34,4,26.30%,All Austin Hooper red zone receiving plays
Adam Humphries,TAM,13,9,69.23%,73,3,16.30%,6,4,66.67%,25,3,17.10%,All Adam Humphries red zone receiving plays
Alshon Jeffery,PHI,13,7,53.85%,52,6,16.70%,7,4,57.14%,12,3,18.90%,All Alshon Jeffery red zone receiving plays
Christian McCaffrey,CAR,13,11,84.62%,55,4,20.60%,6,6,100.00%,20,3,18.80%,All Christian McCaffrey red zone receiving plays
Josh Reynolds,LAR,13,6,46.15%,42,4,14.60%,5,3,60.00%,7,3,11.10%,All Josh Reynolds red zone receiving plays
Kyle Rudolph,MIN,13,6,46.15%,29,3,19.70%,8,2,25.00%,8,2,27.60%,All Kyle Rudolph red zone receiving plays
Dede Westbrook,JAX,13,7,53.85%,52,3,27.10%,7,3,42.86%,10,1,29.20%,All Dede Westbrook red zone receiving plays
Mike Williams,LAC,13,7,53.85%,31,6,19.70%,9,6,66.67%,28,6,23.70%,All Mike Williams red zone receiving plays
Kendrick Bourne,SFO,12,9,75.00%,43,4,17.40%,6,4,66.67%,12,4,20.70%,All Kendrick Bourne red zone receiving plays
Cameron Brate,TAM,12,8,66.67%,72,6,15.00%,4,3,75.00%,11,3,11.40%,All Cameron Brate red zone receiving plays
Mike Evans,TAM,12,6,50.00%,59,4,15.00%,6,3,50.00%,21,3,17.10%,All Mike Evans red zone receiving plays
Devin Funchess,CAR,12,7,58.33%,52,3,19.00%,7,4,57.14%,16,2,21.90%,All Devin Funchess red zone receiving plays
Robert Woods,LAR,12,7,58.33%,44,4,13.50%,8,4,50.00%,24,4,17.80%,All Robert Woods red zone receiving plays
Nelson Agholor,PHI,11,7,63.64%,19,2,14.10%,6,5,83.33%,10,2,16.20%,All Nelson Agholor red zone receiving plays
Amari Cooper,2TM,11,5,45.45%,25,3,,8,3,37.50%,5,2,,All Amari Cooper red zone receiving plays
Michael Crabtree,BAL,11,5,45.45%,28,3,17.70%,6,2,33.33%,12,2,19.40%,All Michael Crabtree red zone receiving plays
Gerald Everett,LAR,11,6,54.55%,32,2,12.40%,6,2,33.33%,17,2,13.30%,All Gerald Everett red zone receiving plays
Anthony Miller,CHI,11,7,63.64%,44,5,15.90%,6,4,66.67%,19,4,16.20%,All Anthony Miller red zone receiving plays
Allen Robinson,CHI,11,4,36.36%,35,2,15.90%,5,1,20.00%,8,0,13.50%,All Allen Robinson red zone receiving plays
John Ross,CIN,11,8,72.73%,45,5,18.30%,7,6,85.71%,25,5,25.00%,All John Ross red zone receiving plays
Cole Beasley,DAL,10,6,60.00%,56,2,14.90%,5,3,60.00%,22,1,16.70%,All Cole Beasley red zone receiving plays
Chris Conley,KAN,10,7,70.00%,48,5,10.90%,7,5,71.43%,27,4,15.60%,All Chris Conley red zone receiving plays
Ryan Griffin,HOU,10,2,20.00%,17,0,14.70%,5,1,20.00%,4,0,12.80%,All Ryan Griffin red zone receiving plays
Nyheim Hines,IND,10,9,90.00%,49,2,11.40%,4,3,75.00%,20,1,9.30%,All Nyheim Hines red zone receiving plays
David Johnson,ARI,10,6,60.00%,32,1,22.70%,8,5,62.50%,17,1,34.80%,All David Johnson red zone receiving plays
Marvin Jones,DET,10,4,40.00%,42,3,14.50%,6,2,33.33%,13,2,21.40%,All Marvin Jones red zone receiving plays
Cooper Kupp,LAR,10,8,80.00%,40,3,11.20%,6,4,66.67%,22,2,13.30%,All Cooper Kupp red zone receiving plays
Vance McDonald,PIT,10,5,50.00%,38,3,12.00%,4,2,50.00%,5,1,11.10%,All Vance McDonald red zone receiving plays
Theo Riddick,DET,10,8,80.00%,39,0,14.50%,1,0,0.00%,0,0,3.60%,All Theo Riddick red zone receiving plays
Tre'Quan Smith,NOR,10,4,40.00%,34,3,11.10%,6,2,33.33%,13,2,13.60%,All Tre'Quan Smith red zone receiving plays
Golden Tate,2TM,10,4,40.00%,25,1,,7,2,28.57%,11,1,,All Golden Tate red zone receiving plays
Demaryius Thomas,2TM,10,9,90.00%,64,4,,4,4,100.00%,18,3,,All Demaryius Thomas red zone receiving plays
Robbie Chosen,NYJ,9,4,44.44%,29,2,18.00%,5,2,40.00%,12,2,33.30%,All Robbie Chosen red zone receiving plays
Kelvin Benjamin,2TM,9,4,44.44%,23,1,,4,1,25.00%,3,1,,All Kelvin Benjamin red zone receiving plays
Tevin Coleman,ATL,9,7,77.78%,42,4,12.90%,4,4,100.00%,25,4,10.50%,All Tevin Coleman red zone receiving plays
Quincy Enunwa,NYJ,9,4,44.44%,17,0,18.00%,2,0,0.00%,0,0,13.30%,All Quincy Enunwa red zone receiving plays
David Moore,SEA,9,3,33.33%,37,3,16.40%,4,1,25.00%,3,1,13.30%,All David Moore red zone receiving plays
Curtis Samuel,CAR,9,4,44.44%,46,3,14.30%,5,1,20.00%,7,1,15.60%,All Curtis Samuel red zone receiving plays
Emmanuel Sanders,DEN,9,6,66.67%,34,1,15.30%,5,3,60.00%,14,1,14.70%,All Emmanuel Sanders red zone receiving plays
Tajae Sharpe,TEN,9,4,44.44%,21,2,18.00%,4,2,50.00%,7,1,16.00%,All Tajae Sharpe red zone receiving plays
Sammy Watkins,KAN,9,4,44.44%,45,3,9.80%,4,1,25.00%,10,1,8.90%,All Sammy Watkins red zone receiving plays
Ben Watson,NOR,9,6,66.67%,36,2,10.00%,6,3,50.00%,9,1,13.60%,All Ben Watson red zone receiving plays
Devontae Booker,DEN,8,6,75.00%,26,0,13.60%,3,3,100.00%,5,0,8.80%,All Devontae Booker red zone receiving plays
Tyler Boyd,CIN,8,8,100.00%,66,5,13.30%,3,3,100.00%,18,3,10.70%,All Tyler Boyd red zone receiving plays
Antonio Callaway,CLE,8,6,75.00%,20,4,14.80%,5,4,80.00%,-2,3,21.70%,All Antonio Callaway red zone receiving plays
Phillip Dorsett,NWE,8,7,87.50%,50,3,9.90%,3,3,100.00%,22,3,8.30%,All Phillip Dorsett red zone receiving plays
Taylor Gabriel,CHI,8,5,62.50%,13,2,11.60%,5,3,60.00%,1,2,13.50%,All Taylor Gabriel red zone receiving plays
Michael Gallup,DAL,8,3,37.50%,14,1,11.90%,3,2,66.67%,8,1,10.00%,All Michael Gallup red zone receiving plays
Antonio Gates,LAC,8,2,25.00%,11,2,12.10%,7,2,28.57%,11,2,18.40%,All Antonio Gates red zone receiving plays
Josh Gordon,2TM,8,3,37.50%,40,1,,4,0,0.00%,0,0,,All Josh Gordon red zone receiving plays
Jimmy Graham,GNB,8,3,37.50%,31,2,14.00%,5,1,20.00%,3,1,22.70%,All Jimmy Graham red zone receiving plays
Rob Gronkowski,NWE,8,3,37.50%,37,1,9.90%,2,0,0.00%,0,0,5.60%,All Rob Gronkowski red zone receiving plays
Chris Herndon,NYJ,8,6,75.00%,78,3,16.00%,1,1,100.00%,5,1,6.70%,All Chris Herndon red zone receiving plays
Kareem Hunt,KAN,8,6,75.00%,54,3,8.70%,5,3,60.00%,15,2,11.10%,All Kareem Hunt red zone receiving plays
Jermaine Kearse,NYJ,8,4,50.00%,40,1,16.00%,3,0,0.00%,0,0,20.00%,All Jermaine Kearse red zone receiving plays
David Njoku,CLE,8,5,62.50%,30,4,14.80%,5,3,60.00%,10,3,21.70%,All David Njoku red zone receiving plays
Calvin Ridley,ATL,8,7,87.50%,65,6,11.40%,4,3,75.00%,18,3,10.50%,All Calvin Ridley red zone receiving plays
Courtland Sutton,DEN,8,2,25.00%,27,2,13.60%,4,1,25.00%,8,1,11.80%,All Courtland Sutton red zone receiving plays
Jordan Thomas,HOU,8,6,75.00%,47,4,11.80%,4,3,75.00%,17,2,10.30%,All Jordan Thomas red zone receiving plays
James Conner,PIT,7,6,85.71%,36,1,8.40%,3,2,66.67%,12,1,8.30%,All James Conner red zone receiving plays
Evan Engram,NYG,7,4,57.14%,35,3,9.10%,3,2,66.67%,8,2,8.80%,All Evan Engram red zone receiving plays
Dallas Goedert,PHI,7,5,71.43%,28,3,9.00%,3,3,100.00%,10,2,8.10%,All Dallas Goedert red zone receiving plays
Duke Johnson,CLE,7,5,71.43%,42,3,13.00%,3,1,33.33%,5,1,13.00%,All Duke Johnson red zone receiving plays
Dion Lewis,TEN,7,6,85.71%,29,1,14.00%,2,1,50.00%,7,0,8.00%,All Dion Lewis red zone receiving plays
D.J. Moore,CAR,7,4,57.14%,23,1,11.10%,3,1,33.33%,8,1,9.40%,All D.J. Moore red zone receiving plays
Jordy Nelson,OAK,7,5,71.43%,45,3,13.20%,4,2,50.00%,4,1,10.80%,All Jordy Nelson red zone receiving plays
Zach Pascal,IND,7,6,85.71%,50,2,8.00%,2,2,100.00%,11,1,4.70%,All Zach Pascal red zone receiving plays
Jordan Reed,WAS,7,3,42.86%,20,2,18.90%,5,3,60.00%,20,2,26.30%,All Jordan Reed red zone receiving plays
Michael Roberts,DET,7,3,42.86%,34,3,10.10%,4,1,25.00%,4,1,14.30%,All Michael Roberts red zone receiving plays
Chester Rogers,IND,7,3,42.86%,28,2,8.00%,1,1,100.00%,1,1,2.30%,All Chester Rogers red zone receiving plays
Willie Snead,BAL,7,5,71.43%,39,1,11.30%,0,0,,0,0,0.00%,All Willie Snead red zone receiving plays
Ryan Switzer,PIT,7,6,85.71%,23,1,8.40%,4,4,100.00%,8,1,11.10%,All Ryan Switzer red zone receiving plays
Ian Thomas,CAR,7,5,71.43%,31,2,11.10%,3,3,100.00%,16,2,9.40%,All Ian Thomas red zone receiving plays
Marquez Valdes-Scantling,GNB,7,2,28.57%,15,1,12.30%,3,1,33.33%,3,1,13.60%,All Marquez Valdes-Scantling red zone receiving plays
Damien Williams,KAN,7,7,100.00%,24,2,7.60%,3,3,100.00%,6,2,6.70%,All Damien Williams red zone receiving plays
Javorius Allen,BAL,6,6,100.00%,36,2,9.70%,2,2,100.00%,13,1,6.50%,All Javorius Allen red zone receiving plays
Mark Andrews,BAL,6,2,33.33%,9,2,9.70%,3,2,66.67%,9,2,9.70%,All Mark Andrews red zone receiving plays
Nick Boyle,BAL,6,2,33.33%,6,0,9.70%,5,1,20.00%,2,0,16.10%,All Nick Boyle red zone receiving plays
Jaron Brown,SEA,6,6,100.00%,60,5,10.90%,4,4,100.00%,26,3,13.30%,All Jaron Brown red zone receiving plays
Keelan Cole,JAX,6,3,50.00%,23,0,12.50%,0,0,,0,0,0.00%,All Keelan Cole red zone receiving plays
Josh Doctson,WAS,6,2,33.33%,8,2,16.20%,3,2,66.67%,8,2,15.80%,All Josh Doctson red zone receiving plays
Jack Doyle,IND,6,5,83.33%,29,2,6.80%,4,4,100.00%,20,2,9.30%,All Jack Doyle red zone receiving plays
Kenyan Drake,MIA,6,2,33.33%,3,1,15.40%,3,1,33.33%,3,1,16.70%,All Kenyan Drake red zone receiving plays
Mike Gesicki,MIA,6,3,50.00%,21,0,15.40%,2,1,50.00%,-1,0,11.10%,All Mike Gesicki red zone receiving plays
Justin Hardy,ATL,6,4,66.67%,35,2,8.60%,3,1,33.33%,5,1,7.90%,All Justin Hardy red zone receiving plays
Chris Hogan,NWE,6,2,33.33%,12,1,7.40%,4,1,25.00%,7,1,11.10%,All Chris Hogan red zone receiving plays
O.J. Howard,TAM,6,4,66.67%,35,4,7.50%,4,3,75.00%,17,3,11.40%,All O.J. Howard red zone receiving plays
Dontrelle Inman,IND,6,4,66.67%,26,3,6.80%,4,2,50.00%,9,2,9.30%,All Dontrelle Inman red zone receiving plays
Kerryon Johnson,DET,6,3,50.00%,19,1,8.70%,2,0,0.00%,0,0,7.10%,All Kerryon Johnson red zone receiving plays
Kyle Juszczyk,SFO,6,3,50.00%,19,0,8.70%,2,1,50.00%,8,0,6.90%,All Kyle Juszczyk red zone receiving plays
Zach Line,NOR,6,5,83.33%,14,2,6.70%,3,3,100.00%,5,2,6.80%,All Zach Line red zone receiving plays
Tyler Lockett,SEA,6,5,83.33%,39,3,10.90%,3,2,66.67%,10,1,10.00%,All Tyler Lockett red zone receiving plays
Joe Mixon,CIN,6,4,66.67%,30,1,10.00%,4,2,50.00%,8,0,14.30%,All Joe Mixon red zone receiving plays
Donte Moncrief,JAX,6,2,33.33%,7,1,12.50%,4,1,25.00%,4,1,16.70%,All Donte Moncrief red zone receiving plays
Demarcus Robinson,KAN,6,5,83.33%,33,3,6.50%,3,2,66.67%,8,2,6.70%,All Demarcus Robinson red zone receiving plays
Jacquizz Rodgers,TAM,6,5,83.33%,28,0,7.50%,0,0,,0,0,0.00%,All Jacquizz Rodgers red zone receiving plays
Scott Simonson,NYG,6,3,50.00%,17,1,7.80%,4,1,25.00%,3,1,11.80%,All Scott Simonson red zone receiving plays
Wendell Smallwood,PHI,6,4,66.67%,33,1,7.70%,2,1,50.00%,5,0,5.40%,All Wendell Smallwood red zone receiving plays
Nick Vannett,SEA,6,5,83.33%,40,3,10.90%,4,3,75.00%,15,3,13.30%,All Nick Vannett red zone receiving plays
Tyrell Williams,LAC,6,5,83.33%,28,2,9.10%,3,3,100.00%,13,1,7.90%,All Tyrell Williams red zone receiving plays
T.J. Yeldon,JAX,6,3,50.00%,21,3,12.50%,4,2,50.00%,7,2,16.70%,All T.J. Yeldon red zone receiving plays
Rex Burkhead,NWE,5,2,40.00%,24,1,6.20%,0,0,,0,0,0.00%,All Rex Burkhead red zone receiving plays
Keke Coutee,HOU,5,4,80.00%,10,1,7.40%,2,2,100.00%,0,1,5.10%,All Keke Coutee red zone receiving plays
Ed Dickson,SEA,5,4,80.00%,37,3,9.10%,2,1,50.00%,2,1,6.70%,All Ed Dickson red zone receiving plays
Austin Ekeler,LAC,5,4,80.00%,28,1,7.60%,0,0,,0,0,0.00%,All Austin Ekeler red zone receiving plays
Virgil Green,LAC,5,3,60.00%,22,1,7.60%,2,1,50.00%,-1,0,5.30%,All Virgil Green red zone receiving plays
Tyler Higbee,LAR,5,2,40.00%,13,2,5.60%,2,2,100.00%,13,2,4.40%,All Tyler Higbee red zone receiving plays
Allen Hurns,DAL,5,2,40.00%,20,1,7.50%,2,1,50.00%,3,1,6.70%,All Allen Hurns red zone receiving plays
Jesse James,PIT,5,3,60.00%,29,1,6.00%,2,1,50.00%,8,1,5.60%,All Jesse James red zone receiving plays
Brandon LaFell,OAK,5,3,60.00%,21,2,9.40%,2,2,100.00%,11,2,5.40%,All Brandon LaFell red zone receiving plays
Marshawn Lynch,OAK,5,4,80.00%,5,0,9.40%,4,3,75.00%,3,0,10.80%,All Marshawn Lynch red zone receiving plays
Greg Olsen,CAR,5,4,80.00%,30,4,7.90%,3,2,66.67%,2,2,9.40%,All Greg Olsen red zone receiving plays
DeVante Parker,MIA,5,2,40.00%,24,1,12.80%,2,1,50.00%,6,0,11.10%,All DeVante Parker red zone receiving plays
Dante Pettis,SFO,5,3,60.00%,31,3,7.20%,1,1,100.00%,1,1,3.40%,All Dante Pettis red zone receiving plays
Jaylen Samuels,PIT,5,4,80.00%,25,3,6.00%,3,3,100.00%,19,3,8.30%,All Jaylen Samuels red zone receiving plays
Mohamed Sanu,ATL,5,3,60.00%,29,1,7.10%,3,1,33.33%,5,1,7.90%,All Mohamed Sanu red zone receiving plays
Jonnu Smith,TEN,5,3,60.00%,14,2,10.00%,5,3,60.00%,14,2,20.00%,All Jonnu Smith red zone receiving plays
Taywan Taylor,TEN,5,4,80.00%,39,1,10.00%,1,0,0.00%,0,0,4.00%,All Taywan Taylor red zone receiving plays
C.J. Uzomah,CIN,5,3,60.00%,19,3,8.30%,3,2,66.67%,5,2,10.70%,All C.J. Uzomah red zone receiving plays
Chad Williams,ARI,5,1,20.00%,7,0,11.40%,2,0,0.00%,0,0,8.70%,All Chad Williams red zone receiving plays
Jeff Wilson,SFO,5,4,80.00%,18,0,7.20%,2,1,50.00%,6,0,6.90%,All Jeff Wilson red zone receiving plays
Jarius Wright,CAR,5,3,60.00%,10,1,7.90%,2,1,50.00%,5,1,6.30%,All Jarius Wright red zone receiving plays
Peyton Barber,TAM,4,2,50.00%,12,1,5.00%,1,1,100.00%,5,1,2.90%,All Peyton Barber red zone receiving plays
Alfred Blue,HOU,4,2,50.00%,8,0,5.90%,2,1,50.00%,5,0,5.10%,All Alfred Blue red zone receiving plays
Matt Breida,SFO,4,4,100.00%,37,2,5.80%,1,1,100.00%,5,1,3.40%,All Matt Breida red zone receiving plays
Nick Chubb,CLE,4,3,75.00%,34,2,7.40%,1,1,100.00%,7,0,4.30%,All Nick Chubb red zone receiving plays
Randall Cobb,GNB,4,1,25.00%,3,0,7.00%,0,0,,0,0,0.00%,All Randall Cobb red zone receiving plays
Alex Collins,BAL,4,2,50.00%,9,1,6.50%,2,1,50.00%,3,1,6.50%,All Alex Collins red zone receiving plays
Jamison Crowder,WAS,4,4,100.00%,38,1,10.80%,1,1,100.00%,9,1,5.30%,All Jamison Crowder red zone receiving plays
Bruce Ellington,2TM,4,4,100.00%,19,1,,2,2,100.00%,2,1,,All Bruce Ellington red zone receiving plays
Rhett Ellison,NYG,4,3,75.00%,27,1,5.20%,1,1,100.00%,7,0,2.90%,All Rhett Ellison red zone receiving plays
Robert Foster,BUF,4,3,75.00%,11,1,10.80%,1,1,100.00%,5,1,9.10%,All Robert Foster red zone receiving plays
Bennie Fowler,NYG,4,2,50.00%,19,1,5.20%,3,1,33.33%,6,1,8.80%,All Bennie Fowler red zone receiving plays
Will Fuller,HOU,4,3,75.00%,13,2,5.90%,3,2,66.67%,9,2,7.70%,All Will Fuller red zone receiving plays
Ted Ginn,NOR,4,1,25.00%,4,1,4.40%,1,1,100.00%,4,1,2.30%,All Ted Ginn red zone receiving plays
Marquise Goodwin,SFO,4,1,25.00%,11,1,5.80%,1,0,0.00%,0,0,3.40%,All Marquise Goodwin red zone receiving plays
Ryan Grant,IND,4,3,75.00%,16,1,4.50%,1,1,100.00%,5,1,2.30%,All Ryan Grant red zone receiving plays
Demetrius Harris,KAN,4,3,75.00%,43,3,4.30%,0,0,,0,0,0.00%,All Demetrius Harris red zone receiving plays
Rashard Higgins,CLE,4,4,100.00%,55,3,7.40%,0,0,,0,0,0.00%,All Rashard Higgins red zone receiving plays
Jordan Howard,CHI,4,2,50.00%,5,0,5.80%,2,1,50.00%,4,0,5.40%,All Jordan Howard red zone receiving plays
DeSean Jackson,TAM,4,0,0.00%,0,0,5.00%,1,0,0.00%,0,0,2.90%,All DeSean Jackson red zone receiving plays
Christian Kirk,ARI,4,3,75.00%,24,1,9.10%,2,1,50.00%,9,1,8.70%,All Christian Kirk red zone receiving plays
Matt LaCosse,DEN,4,1,25.00%,10,1,6.80%,4,1,25.00%,10,1,11.80%,All Matt LaCosse red zone receiving plays
Jordan Matthews,PHI,4,2,50.00%,10,1,5.10%,2,1,50.00%,4,1,5.40%,All Jordan Matthews red zone receiving plays
Terrelle Pryor,2TM,4,2,50.00%,24,1,,2,1,50.00%,7,1,,All Terrelle Pryor red zone receiving plays
Andre Roberts,NYJ,4,3,75.00%,26,1,8.00%,0,0,,0,0,0.00%,All Andre Roberts red zone receiving plays
Aldrick Robinson,MIN,4,3,75.00%,46,3,6.10%,0,0,,0,0,0.00%,All Aldrick Robinson red zone receiving plays
Ricky Seals-Jones,ARI,4,0,0.00%,0,0,9.10%,3,0,0.00%,0,0,13.00%,All Ricky Seals-Jones red zone receiving plays
Lee Smith,OAK,4,4,100.00%,7,3,7.50%,4,4,100.00%,7,3,10.80%,All Lee Smith red zone receiving plays
Jeremy Sprinkle,WAS,4,2,50.00%,15,1,10.80%,3,1,33.33%,6,1,15.80%,All Jeremy Sprinkle red zone receiving plays
Kenny Stills,MIA,4,4,100.00%,35,4,10.30%,3,3,100.00%,22,3,16.70%,All Kenny Stills red zone receiving plays
Geoff Swaim,DAL,4,3,75.00%,5,1,6.00%,2,1,50.00%,1,1,6.70%,All Geoff Swaim red zone receiving plays
Erik Swoope,IND,4,4,100.00%,39,3,4.50%,1,1,100.00%,2,1,2.30%,All Erik Swoope red zone receiving plays
Trent Taylor,SFO,4,3,75.00%,9,1,5.80%,3,3,100.00%,9,1,10.30%,All Trent Taylor red zone receiving plays
Chris Thompson,WAS,4,3,75.00%,24,1,10.80%,1,0,0.00%,0,0,5.30%,All Chris Thompson red zone receiving plays
Laquon Treadwell,MIN,4,3,75.00%,26,1,6.10%,2,1,50.00%,5,0,6.90%,All Laquon Treadwell red zone receiving plays
Jordan Wilkins,IND,4,4,100.00%,11,0,4.50%,4,4,100.00%,11,0,9.30%,All Jordan Wilkins red zone receiving plays
Maxx Williams,BAL,4,4,100.00%,22,1,6.50%,4,4,100.00%,22,1,12.90%,All Maxx Williams red zone receiving plays
Mo Alie-Cox,IND,3,2,66.67%,8,1,3.40%,2,1,50.00%,1,1,4.70%,All Mo Alie-Cox red zone receiving plays
Geronimo Allison,GNB,3,2,66.67%,8,0,5.30%,1,1,100.00%,2,0,4.50%,All Geronimo Allison red zone receiving plays
Martavis Bryant,OAK,3,2,66.67%,3,0,5.70%,1,1,100.00%,-3,0,2.70%,All Martavis Bryant red zone receiving plays
Austin Carr,NOR,3,2,66.67%,15,2,3.30%,2,1,50.00%,3,1,4.50%,All Austin Carr red zone receiving plays
Chris Carson,SEA,3,3,100.00%,15,0,5.50%,0,0,,0,0,0.00%,All Chris Carson red zone receiving plays
DJ Chark,JAX,3,0,0.00%,0,0,6.30%,2,0,0.00%,0,0,8.30%,All DJ Chark red zone receiving plays
Dalvin Cook,MIN,3,3,100.00%,11,1,4.50%,2,2,100.00%,11,1,6.90%,All Dalvin Cook red zone receiving plays
Alex Erickson,CIN,3,1,33.33%,6,0,5.00%,1,1,100.00%,6,0,3.60%,All Alex Erickson red zone receiving plays
Anthony Firkser,TEN,3,3,100.00%,27,1,6.00%,0,0,,0,0,0.00%,All Anthony Firkser red zone receiving plays
Leonard Fournette,JAX,3,3,100.00%,17,1,6.30%,1,1,100.00%,1,1,4.20%,All Leonard Fournette red zone receiving plays
Wayne Gallman,NYG,3,0,0.00%,0,0,3.90%,1,0,0.00%,0,0,2.90%,All Wayne Gallman red zone receiving plays
Pierre Garcon,SFO,3,1,33.33%,4,0,4.30%,1,1,100.00%,4,0,3.40%,All Pierre Garcon red zone receiving plays
Frank Gore,MIA,3,3,100.00%,22,1,7.70%,1,1,100.00%,6,1,5.60%,All Frank Gore red zone receiving plays
DaeSean Hamilton,DEN,3,2,66.67%,8,2,5.10%,3,2,66.67%,8,2,8.80%,All DaeSean Hamilton red zone receiving plays
Maurice Harris,WAS,3,1,33.33%,2,0,8.10%,1,0,0.00%,0,0,5.30%,All Maurice Harris red zone receiving plays
