,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
270,Alshon Jeffery,CHI,2016-17,26,53,17.633333333333333,16.35,CHI,15.5,58.7,92.0,92.1,95.3,26.4,73.6,0.0,2.87,92.7,89.4,74.5,CHI,84.2,0.07849133537206919,12.174999999999999,32.77777777777778,6.0,31.22222222222222,10.222222222222221,0.4444444444444444,89.66666666666667,21.88888888888889,1.6666666666666667,32.6875,20.875,1.3125,228.75
271,Chris Hogan,NE,2016-17,29,54,5.85,6.475,BUF,13.9,62.1,60.3,58.9,94.2,56.3,43.4,0.3,1.21,55.8,59.9,66.1,NE,81.6,-0.09652509652509653,8.593333333333334,26.266666666666666,2.4,24.733333333333334,3.8666666666666667,0.13333333333333333,30.0,7.133333333333334,0.3333333333333333,39.3125,25.25,2.25,286.6875
272,Mohamed Sanu,ATL,2016-17,27,55,5.71875,11.20625,CIN,7.5,68.8,56.9,55.2,92.0,87.7,11.6,0.0,0.98,53.8,58.1,80.3,ATL,86.6,-0.4896820970440603,9.92,27.4375,2.0625,25.25,3.0,0.0,24.625,13.0625,0.4375,38.8125,25.625,1.3125,273.6875
273,Tavon Austin,LAR,2016-17,26,56,12.41875,6.373333333333333,LAR,7.7,64.2,69.5,63.1,93.5,21.3,75.5,0.2,1.14,57.0,64.8,70.3,LAR,83.0,0.948548640167364,9.786666666666667,27.8125,3.25,26.0,5.0625,0.3125,29.5625,21.5625,0.5625,29.5625,17.0625,0.6875,175.3125
274,Randall Cobb,GB,2016-17,26,57,13.05625,18.3375,GB,7.5,64.2,67.3,66.9,89.4,86.2,8.1,0.4,1.3,64.8,66.6,70.6,GB,83.8,-0.28800272665303334,11.407692307692308,44.6875,4.9375,39.9375,7.6875,0.375,51.8125,28.25,1.3125,35.8125,21.75,1.9375,218.9375
275,Travis Benjamin,LAC,2016-17,27,58,12.3625,4.28125,CLE,12.7,58.6,67.0,67.5,93.3,11.3,88.6,0.0,1.65,71.4,64.4,70.6,LAC,77.0,1.8875912408759126,9.457142857142857,39.3125,4.25,36.6875,7.25,0.3125,60.375,20.25,0.875,41.6875,27.625,1.875,286.9375
276,Jeremy Kerley,SF,2016-17,28,60,2.7,5.84375,NYJ,5.2,61.5,63.4,62.8,97.7,74.3,24.0,0.0,0.89,70.6,54.0,61.7,SF,82.5,-0.5379679144385027,9.16875,11.666666666666666,1.0666666666666667,11.4,1.7333333333333334,0.13333333333333333,10.133333333333333,6.666666666666667,0.13333333333333333,32.875,20.125,1.0,207.25
283,Brian Quick,LAR,2016-17,27,66,1.5538461538461539,11.5,LAR,16.4,31.3,53.9,51.4,95.3,7.1,92.9,0.0,0.63,55.6,51.1,70.3,LAR,83.0,-0.8648829431438128,7.2125,13.0,0.7692307692307693,12.384615384615385,2.4615384615384617,0.0,7.846153846153846,3.3076923076923075,0.15384615384615385,29.5625,17.0625,0.6875,175.3125
286,Donte Moncrief,IND,2016-17,23,69,10.83125,6.00625,IND,10.9,64.0,72.1,71.2,94.5,14.2,85.8,0.0,1.38,70.6,68.5,47.9,IND,82.8,0.8033298647242458,11.399999999999999,35.125,4.0,33.1875,6.25,0.375,45.8125,16.375,0.75,38.6875,22.1875,1.625,231.5
290,Robert Woods,BUF,2016-17,24,72,8.442857142857143,10.30625,BUF,10.9,59.5,61.8,61.0,92.5,30.8,68.6,0.6,1.25,57.2,63.2,73.8,BUF,85.8,-0.18080221779433422,9.146153846153847,34.142857142857146,3.357142857142857,31.571428571428573,5.642857142857143,0.21428571428571427,39.42857142857143,10.428571428571429,0.5,29.0625,18.4375,1.4375,208.9375
