player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Melvin Gordon III,9448,HB,DEN,10,30,0,10,3.0,1,100.0,,0,0,0.0,0,1,0,64.7,54.6,0,17,21.7,10,46,1,69.6,32,118.8,1,3.1,0,17,14,14.0,17.0,0.53,0,0.0,0,77.3,,0,0,15.0,3,7,1,41.6,41.8,0,24,8.0,8,100,17,88.0,88,93.0,22,25.0,0,140,139,8.2,8.2,1.59
Breece Hall,97636,HB,NYJ,7,30,0,22,5.0,2,40.0,,0,0,42.9,3,4,0,27.0,38.5,0,79,18.0,9,50,4,74.0,37,87.1,10,27.0,0,124,86,21.5,31.0,3.35,0,5.6,6,70.6,0.0,0,2,14.3,2,3,1,48.0,56.0,1,16,13.9,10,72,12,81.9,59,55.0,17,28.8,0,76,56,4.7,6.3,1.29
Wan'Dale Robinson,101735,WR,NYG,6,30,0,21,6.3,0,75.0,50.0,2,4,10.0,1,5,0,56.7,66.6,0,15,0.0,0,48,9,87.5,42,112.5,12,28.6,1,58,34,3.8,6.4,1.38,0,6.2,3,76.5,50.0,2,4,7.1,1,8,0,48.0,73.4,0,19,0.0,0,69,13,94.2,65,105.0,17,26.2,0,160,86,6.6,12.3,2.46
Ian Thomas,42130,TE,CAR,17,29,0,5,3.2,0,20.0,0.0,0,2,50.0,1,1,0,28.8,36.9,0,12,23.2,13,56,1,69.6,39,39.6,5,12.8,0,12,12,12.0,12.0,0.31,0,1.5,4,82.6,0.0,0,1,5.0,1,7,0,58.3,63.8,0,50,22.7,39,172,19,73.3,126,99.5,23,18.3,0,181,169,8.9,9.5,1.44
Kenneth Gainwell,77737,HB,PHI,17,28,0,24,0.7,0,33.3,,0,0,50.0,1,0,0,30.0,42.8,0,0,23.5,19,81,1,67.9,55,42.4,3,5.5,0,0,0,0.0,0.0,0.0,0,1.3,5,91.3,100.0,1,1,8.7,2,7,0,60.3,58.7,1,20,10.1,14,139,21,86.3,120,78.4,23,19.2,0,165,137,6.5,7.9,1.38
Dontrell Hilliard,45691,HB,TEN,12,28,0,31,4.7,0,83.3,100.0,1,1,0.0,0,3,0,73.4,70.8,0,31,18.8,9,48,5,77.1,37,138.9,6,16.2,1,47,36,7.2,9.4,1.27,0,0.6,0,87.5,,0,0,6.7,1,5,0,65.6,60.5,0,30,11.6,10,86,14,84.9,73,137.5,16,21.9,3,120,110,7.9,8.6,1.64
Rashod Bateman,84296,WR,BLT,6,28,0,3,11.2,1,54.5,,0,0,0.0,0,4,0,74.6,72.4,1,75,0.0,0,56,6,91.1,51,87.7,11,21.6,1,126,87,14.5,21.0,2.47,0,10.2,2,58.3,0.0,0,1,36.4,4,3,1,27.1,55.1,0,55,0.0,0,57,7,100.0,57,130.6,12,21.1,1,151,50,7.1,21.6,2.65
Mo Alie-Cox,12078,TE,IND,17,27,0,14,8.5,0,33.3,,0,0,0.0,0,2,0,68.3,48.5,0,14,13.5,13,96,2,85.4,82,86.8,6,7.3,1,25,11,5.5,12.5,0.3,0,4.5,4,86.7,100.0,3,3,7.1,1,6,1,63.2,48.9,0,34,10.7,19,178,13,84.8,151,127.2,15,9.9,1,138,80,6.2,10.6,0.91
Brevin Jordan,77887,TE,HST,11,27,0,13,7.0,0,33.3,0.0,0,1,0.0,0,0,0,64.7,47.3,1,3,16.1,5,31,1,77.4,24,2.8,3,12.5,0,3,3,3.0,3.0,0.13,0,7.7,2,54.5,66.7,2,3,7.7,1,7,0,61.8,66.3,1,20,12.3,14,114,12,86.8,99,51.3,22,22.2,0,120,75,6.3,10.0,1.21
Sammy Watkins,8639,WR,BLT,12,27,0,3,14.1,0,75.0,50.0,1,2,25.0,2,5,0,29.7,64.2,0,55,0.0,0,67,6,89.6,60,116.7,8,13.3,0,148,38,6.3,24.7,2.47,0,13.2,1,58.8,50.0,1,2,0.0,0,6,1,78.0,64.7,0,47,0.0,0,115,10,95.7,110,94.5,17,15.5,0,177,88,8.8,17.7,1.61
JaMycal Hasty,25582,HB,JAX,15,26,0,15,0.3,3,100.0,,0,0,0.0,0,2,0,70.5,64.9,0,24,34.3,12,35,3,62.9,22,111.1,3,13.6,0,32,31,10.3,10.7,1.45,0,-2.7,2,71.4,50.0,1,2,11.8,2,4,0,51.2,61.0,0,15,14.7,15,102,15,85.3,87,75.5,21,24.1,0,70,95,6.3,4.7,0.8
C.J. Uzomah,9590,TE,NYJ,15,26,0,22,7.8,0,83.3,100.0,1,1,0.0,0,3,0,73.4,57.2,0,30,15.1,13,86,5,84.9,73,135.4,6,8.2,1,42,9,1.8,8.4,0.58,0,4.9,4,85.7,100.0,2,2,0.0,0,5,0,79.4,64.1,0,40,15.2,22,145,12,82.8,120,125.9,14,11.7,1,119,68,5.7,9.9,0.99
Miles Sanders,40555,HB,PHI,17,26,0,24,13.7,1,66.7,,0,0,0.0,0,0,0,68.3,44.2,0,7,19.2,19,99,2,74.7,74,75.7,3,4.1,0,13,7,3.5,6.5,0.18,0,-1.0,4,77.3,,0,0,10.5,2,2,1,54.3,38.6,0,16,8.5,16,188,17,87.2,164,79.0,22,13.4,0,61,95,5.6,3.6,0.37
Tre'Quan Smith,48228,WR,NO,14,26,0,20,11.9,1,63.6,60.0,3,5,12.5,1,7,0,54.5,73.5,1,20,0.0,0,63,7,93.7,59,87.3,11,18.6,1,105,28,4.0,15.0,1.78,0,15.3,1,83.3,100.0,1,1,0.0,0,6,0,78.0,65.5,0,48,1.0,1,102,10,94.1,96,117.7,12,12.5,0,147,27,2.7,14.7,1.53
Denzel Mims,47800,WR,NYJ,10,25,0,22,11.0,2,33.3,33.3,2,6,0.0,0,2,0,72.1,60.5,1,13,0.0,0,59,4,96.6,57,7.6,12,21.1,0,35,20,5.0,8.8,0.61,0,14.4,2,60.0,0.0,0,1,14.3,1,4,0,49.2,62.1,0,63,0.0,0,90,6,100.0,90,104.2,10,11.1,0,139,58,9.7,23.2,1.54
Dare Ogunbowale,12329,HB,HST,11,24,0,13,,0,,,0,0,,0,0,0,,51.8,0,0,37.5,12,32,0,56.3,18,0.0,0,0.0,0,0,0,,,0.0,0,-1.1,1,81.8,100.0,1,1,0.0,0,5,0,83.6,72.8,1,23,9.9,8,81,18,87.7,71,65.0,22,31.0,0,91,123,6.8,5.1,1.28
Kenyan Drake,10707,HB,BLT,12,24,0,3,-1.7,0,83.3,,0,0,16.7,1,3,0,45.8,63.3,0,8,20.6,13,63,5,76.2,48,120.8,6,12.5,1,21,34,6.8,4.2,0.44,0,0.5,1,62.5,0.0,0,1,28.6,4,3,0,28.4,33.4,1,15,15.8,21,133,10,77.4,103,42.7,16,15.5,0,56,80,8.0,5.6,0.54
